x,y,z,A,B,C,T,delta_ms
343.868,-383.224,-1226.7,1.57509,0.0287348,-0.703494,1749198210147,0
343.88,-383.215,-1226.64,1.57504,0.0287813,-0.70349,1749198210153,6
343.888,-383.208,-1226.64,1.57509,0.0287439,-0.703513,1749198210162,9
343.797,-383.111,-1226.45,1.57515,0.0287756,-0.703455,1749198210170,8
343.795,-383.11,-1226.48,1.57514,0.0287543,-0.703523,1749198210179,9
343.798,-383.111,-1226.51,1.57507,0.0287807,-0.703492,1749198210188,9
343.73,-383.218,-1226.69,1.57509,0.0288511,-0.703511,1749198210195,7
343.792,-383.188,-1226.63,1.57503,0.028791,-0.703554,1749198210203,8
343.858,-383.222,-1226.66,1.57501,0.0287531,-0.703502,1749198210250,47
343.778,-383.202,-1226.6,1.57497,0.0288854,-0.703562,1749198210255,5
343.846,-383.201,-1226.55,1.57502,0.0286913,-0.703545,1749198210268,13
343.87,-383.211,-1226.59,1.57503,0.0286646,-0.703556,1749198210289,21
343.919,-383.354,-1226.92,1.57491,0.0288665,-0.703561,1749198210294,5
343.926,-383.355,-1226.94,1.57496,0.0287879,-0.703431,1749198210299,5
343.946,-383.365,-1226.95,1.57497,0.0288178,-0.703489,1749198210304,5
343.914,-383.272,-1226.76,1.57493,0.0288003,-0.703524,1749198210313,9
343.946,-383.297,-1226.75,1.5749,0.0288421,-0.703558,1749198210320,7
343.922,-383.248,-1226.74,1.57498,0.0286955,-0.703528,1749198210329,9
343.938,-383.251,-1226.73,1.57493,0.0287477,-0.703526,1749198210337,8
343.954,-383.253,-1226.74,1.575,0.0287563,-0.703502,1749198210346,9
343.905,-383.293,-1226.82,1.57492,0.0287393,-0.703481,1749198210353,7
343.905,-383.295,-1226.85,1.57495,0.0286999,-0.70353,1749198210363,10
343.876,-383.216,-1226.72,1.57502,0.0287621,-0.703492,1749198210370,7
343.875,-383.211,-1226.75,1.57506,0.0288896,-0.703551,1749198210379,9
343.849,-383.26,-1226.83,1.57512,0.0288672,-0.703461,1749198210386,7
343.883,-383.297,-1226.88,1.57499,0.0289231,-0.703496,1749198210396,10
343.899,-383.303,-1226.88,1.57495,0.0289501,-0.703381,1749198210402,6
343.808,-383.17,-1226.57,1.57501,0.0289626,-0.703488,1749198210413,11
343.817,-383.184,-1226.55,1.57505,0.028897,-0.703455,1749198210420,7
343.683,-383.052,-1226.26,1.57509,0.0289738,-0.703528,1749198210429,9
343.685,-383.042,-1226.25,1.57505,0.0289488,-0.703553,1749198210436,7
343.681,-383.037,-1226.25,1.57507,0.0290187,-0.703529,1749198210445,9
343.607,-383.025,-1226.19,1.57505,0.0290712,-0.703534,1749198210453,8
343.602,-383.026,-1226.21,1.57505,0.0288891,-0.703496,1749198210463,10
343.599,-383,-1226.06,1.5751,0.02886,-0.703627,1749198210469,6
343.595,-383,-1226.07,1.57502,0.0289154,-0.703613,1749198210478,9
343.595,-382.992,-1226.06,1.57502,0.0288696,-0.703648,1749198210486,8
343.682,-383.037,-1226.19,1.57496,0.0287899,-0.703579,1749198210494,8
343.69,-383.042,-1226.18,1.575,0.0287909,-0.703539,1749198210503,9
343.739,-383.15,-1226.32,1.57506,0.0287054,-0.703563,1749198210513,10
343.751,-383.163,-1226.31,1.57506,0.0286759,-0.70353,1749198210520,7
343.662,-383.061,-1226.11,1.57503,0.0287972,-0.70354,1749198210528,8
343.662,-383.072,-1226.11,1.57501,0.0287493,-0.703494,1749198210536,8
343.668,-383.082,-1226.12,1.57497,0.0287372,-0.703533,1749198210546,10
343.673,-383.022,-1226.07,1.57506,0.0287306,-0.703657,1749198210553,7
343.677,-383.122,-1226.35,1.57492,0.0288606,-0.703554,1749198210562,9
343.657,-383.098,-1226.38,1.57492,0.0288691,-0.703596,1749198210591,29
343.699,-383.064,-1226.16,1.57484,0.028902,-0.703644,1749198210619,28
343.784,-383.141,-1226.34,1.5749,0.0288303,-0.703663,1749198210665,46
343.783,-383.143,-1226.36,1.57496,0.028791,-0.703663,1749198210724,59
343.628,-383.012,-1226.04,1.57496,0.0287966,-0.703691,1749198210732,8
343.629,-383.028,-1226.08,1.57498,0.0288516,-0.703755,1749198210755,23
343.633,-383.03,-1226.08,1.57495,0.028723,-0.703728,1749198210760,5
343.639,-383.029,-1226.08,1.57492,0.0287705,-0.703649,1749198210766,6
343.699,-383.009,-1226.12,1.5749,0.0287121,-0.703721,1749198210774,8
343.713,-383.016,-1226.11,1.57481,0.0287531,-0.703716,1749198210783,9
343.682,-383.03,-1226.14,1.5749,0.0285954,-0.703703,1749198210791,8
343.69,-383.041,-1226.15,1.57485,0.0285946,-0.703707,1749198210799,8
