x,y,z,A,B,C,T,delta_ms
988.007,-196.259,577.783,-3.12379,0.0246059,-2.6124,1749200675691,0
987.918,-196.178,577.771,-3.12353,0.0241843,-2.61285,1749200675699,8
987.86,-196.108,577.725,-3.12337,0.0239649,-2.61309,1749200675707,8
987.677,-196.049,577.721,-3.12321,0.0230088,-2.61368,1749200675715,8
987.592,-196.021,577.804,-3.12297,0.0222598,-2.61385,1749200675723,8
987.448,-195.902,577.818,-3.12266,0.0215251,-2.61414,1749200675733,10
987.398,-195.78,577.834,-3.12234,0.0212149,-2.61411,1749200675740,7
987.313,-195.745,577.959,-3.12211,0.0213271,-2.6137,1749200675749,9
987.46,-195.683,577.988,-3.12195,0.0219809,-2.613,1749200675756,7
987.342,-195.709,578.028,-3.12181,0.0222384,-2.61268,1749200675764,8
987.556,-195.646,578.095,-3.12162,0.0231517,-2.61228,1749200675773,9
987.736,-195.588,578.128,-3.12169,0.023723,-2.61213,1749200675781,8
987.783,-195.758,578.239,-3.12171,0.0241442,-2.61224,1749200675789,8
987.884,-195.781,578.301,-3.12196,0.0244434,-2.61231,1749200675798,9
987.858,-195.969,578.367,-3.12233,0.0243822,-2.61253,1749200675806,8
987.894,-196.04,578.416,-3.12285,0.0244099,-2.61263,1749200675814,8
987.9,-196.166,578.416,-3.12345,0.0244604,-2.61253,1749200675822,8
987.929,-196.315,578.411,-3.12423,0.024432,-2.6124,1749200675831,9
987.959,-196.41,578.419,-3.12476,0.0244452,-2.61219,1749200675839,8
987.9,-196.595,578.356,-3.12533,0.0244202,-2.61176,1749200675849,10
987.882,-196.686,578.312,-3.12563,0.0242086,-2.61116,1749200675857,8
987.919,-196.747,578.117,-3.12603,0.0243165,-2.61092,1749200675865,8
987.881,-196.843,578.087,-3.12634,0.0239775,-2.61073,1749200675873,8
987.825,-196.945,578.059,-3.12673,0.0236116,-2.61059,1749200675881,8
987.872,-197.004,578.017,-3.12718,0.0233341,-2.61052,1749200675889,8
987.851,-197.087,577.996,-3.12747,0.0230402,-2.61063,1749200675898,9
987.877,-197.232,578.022,-3.12764,0.0229965,-2.611,1749200675906,8
987.901,-197.304,578.003,-3.12787,0.0229846,-2.61112,1749200675915,9
987.938,-197.356,577.986,-3.12827,0.0231247,-2.61122,1749200675923,8
987.934,-197.48,577.952,-3.12873,0.0231943,-2.61115,1749200675932,9
987.973,-197.625,577.913,-3.12917,0.0234149,-2.61098,1749200675939,7
988.067,-197.648,577.851,-3.12958,0.0235137,-2.61092,1749200675948,9
988.067,-197.775,577.821,-3.12996,0.0235018,-2.6109,1749200675956,8
988.099,-197.845,577.723,-3.13035,0.023478,-2.61117,1749200675965,9
988.134,-197.942,577.71,-3.13055,0.0235115,-2.61125,1749200675973,8
988.235,-198.019,577.788,-3.13031,0.0235855,-2.61147,1749200675982,9
988.329,-198.063,577.786,-3.13034,0.0239013,-2.61151,1749200675990,8
988.429,-198.073,577.788,-3.13024,0.024233,-2.61143,1749200675998,8
988.412,-198.208,577.939,-3.13013,0.0246221,-2.61132,1749200676006,8
988.5,-198.252,577.952,-3.13009,0.0249005,-2.61114,1749200676016,10
988.468,-198.309,577.93,-3.13011,0.0250204,-2.61113,1749200676023,7
988.487,-198.368,577.93,-3.13004,0.0249124,-2.6111,1749200676032,9
988.551,-198.409,577.936,-3.12998,0.0249848,-2.61105,1749200676040,8
988.598,-198.18,577.664,-3.12987,0.0244354,-2.61138,1749200676048,8
988.548,-198.166,577.646,-3.12968,0.023867,-2.61168,1749200676056,8
988.646,-198.053,577.472,-3.12963,0.0235747,-2.6119,1749200676065,9
988.527,-197.928,577.456,-3.12922,0.0228144,-2.61241,1749200676073,8
988.476,-198.08,577.669,-3.12915,0.0225983,-2.61243,1749200676081,8
988.493,-198.087,577.659,-3.12931,0.0226215,-2.61245,1749200676089,8
988.593,-198.112,577.648,-3.12954,0.023082,-2.61228,1749200676098,9
988.751,-198.115,577.66,-3.12977,0.0240564,-2.61186,1749200676106,8
988.862,-198.117,577.654,-3.12993,0.0245614,-2.61169,1749200676115,9
989.015,-198.177,577.575,-3.13016,0.0253692,-2.61174,1749200676122,7
989.103,-198.117,577.548,-3.13008,0.0257004,-2.61177,1749200676131,9
989.182,-198.078,577.52,-3.13006,0.0259895,-2.61184,1749200676139,8
989.115,-198.122,577.551,-3.1298,0.0255186,-2.61206,1749200676148,9
989.06,-198.081,577.5,-3.12962,0.0251302,-2.61205,1749200676156,8
