x,y,z,A,B,C,T,delta_ms
988.007,-196.259,577.783,-3.12379,0.0246059,-2.6124,1749200675691,0
987.963,-196.219,577.777,-3.12366,0.0243951,-2.61263,1749200675695,4
987.918,-196.178,577.771,-3.12353,0.0241843,-2.61285,1749200675699,4
987.889,-196.143,577.748,-3.12345,0.0240746,-2.61297,1749200675703,4
987.86,-196.108,577.725,-3.12337,0.0239649,-2.61309,1749200675707,4
987.769,-196.079,577.723,-3.12329,0.0234868,-2.61339,1749200675711,4
987.677,-196.049,577.721,-3.12321,0.0230088,-2.61368,1749200675715,4
987.634,-196.035,577.763,-3.12309,0.0226343,-2.61377,1749200675719,4
987.592,-196.021,577.804,-3.12297,0.0222598,-2.61385,1749200675723,4
987.534,-195.973,577.81,-3.12284,0.0219659,-2.61397,1749200675727,4
987.477,-195.926,577.815,-3.12272,0.0216721,-2.61409,1749200675731,4
987.434,-195.867,577.822,-3.12257,0.0214365,-2.61413,1749200675735,4
987.405,-195.797,577.831,-3.12239,0.0212592,-2.61411,1749200675739,4
987.37,-195.768,577.875,-3.12226,0.0212523,-2.61397,1749200675743,4
987.332,-195.752,577.931,-3.12216,0.0213022,-2.61379,1749200675747,4
987.355,-195.727,577.967,-3.12206,0.0215139,-2.6135,1749200675751,4
987.439,-195.692,577.984,-3.12197,0.0218875,-2.6131,1749200675755,4
987.416,-195.693,578.003,-3.1219,0.0220775,-2.61288,1749200675759,4
987.356,-195.706,578.023,-3.12183,0.0222062,-2.61272,1749200675763,4
987.413,-195.688,578.05,-3.12175,0.0225428,-2.61255,1749200675767,4
987.508,-195.66,578.08,-3.12166,0.0229487,-2.61237,1749200675771,4
987.601,-195.631,578.104,-3.12164,0.0232945,-2.61224,1749200675775,4
987.691,-195.602,578.12,-3.12167,0.0235801,-2.61216,1749200675779,4
987.748,-195.63,578.156,-3.12169,0.0238283,-2.61216,1749200675783,4
987.771,-195.715,578.211,-3.12171,0.0240389,-2.61221,1749200675787,4
987.805,-195.763,578.253,-3.12177,0.0242107,-2.61226,1749200675791,4
987.85,-195.773,578.28,-3.12188,0.0243437,-2.61229,1749200675795,4
987.881,-195.804,578.31,-3.12201,0.0244357,-2.61233,1749200675799,4
987.868,-195.898,578.343,-3.12219,0.0244051,-2.61245,1749200675803,4
987.863,-195.978,578.374,-3.1224,0.0243856,-2.61255,1749200675807,4
987.881,-196.013,578.398,-3.12265,0.0243995,-2.6126,1749200675811,4
987.895,-196.056,578.416,-3.12292,0.0244162,-2.61262,1749200675815,4
987.898,-196.119,578.416,-3.12323,0.0244414,-2.61257,1749200675819,4
987.904,-196.182,578.415,-3.12354,0.0244572,-2.61251,1749200675823,4
987.916,-196.249,578.413,-3.12388,0.0244446,-2.61246,1749200675827,4
987.929,-196.315,578.411,-3.12423,0.024432,-2.6124,1749200675831,4
987.944,-196.362,578.415,-3.12449,0.0244386,-2.61229,1749200675835,4
987.959,-196.41,578.419,-3.12476,0.0244452,-2.61219,1749200675839,4
987.936,-196.484,578.393,-3.12499,0.0244352,-2.61202,1749200675843,4
987.912,-196.558,578.368,-3.12522,0.0244252,-2.61185,1749200675847,4
987.896,-196.618,578.345,-3.12541,0.0243673,-2.61161,1749200675851,4
987.887,-196.664,578.323,-3.12556,0.0242615,-2.61131,1749200675855,4
987.891,-196.701,578.263,-3.12573,0.0242356,-2.6111,1749200675859,4
987.91,-196.732,578.166,-3.12593,0.0242895,-2.61098,1749200675863,4
987.91,-196.771,578.11,-3.12611,0.0242317,-2.61087,1749200675867,4
987.891,-196.819,578.095,-3.12626,0.0240622,-2.61078,1749200675871,4
987.867,-196.869,578.08,-3.12644,0.023886,-2.6107,1749200675875,4
987.839,-196.92,578.066,-3.12664,0.0237031,-2.61062,1749200675879,4
987.836,-196.96,578.048,-3.12684,0.0235422,-2.61057,1749200675883,4
987.86,-196.989,578.028,-3.12707,0.0234035,-2.61054,1749200675887,4
987.867,-197.022,578.013,-3.12724,0.0232688,-2.61055,1749200675891,4
987.858,-197.059,578.003,-3.12737,0.0231382,-2.61059,1749200675895,4
987.854,-197.105,577.999,-3.12749,0.0230347,-2.61067,1749200675899,4
987.867,-197.177,578.012,-3.12757,0.0230128,-2.61086,1749200675903,4
987.88,-197.24,578.02,-3.12766,0.0229951,-2.61102,1749200675907,4
987.891,-197.272,578.012,-3.12777,0.0229898,-2.61107,1749200675911,4
987.901,-197.304,578.003,-3.12787,0.0229846,-2.61112,1749200675915,4
987.919,-197.33,577.995,-3.12807,0.0230546,-2.61117,1749200675919,4
987.938,-197.356,577.986,-3.12827,0.0231247,-2.61122,1749200675923,4
987.936,-197.411,577.971,-3.12847,0.0231557,-2.61119,1749200675927,4
987.935,-197.466,577.956,-3.12868,0.0231866,-2.61116,1749200675931,4
987.951,-197.542,577.935,-3.12892,0.0232889,-2.61108,1749200675935,4
987.973,-197.625,577.913,-3.12917,0.0234149,-2.61098,1749200675939,4
988.015,-197.635,577.886,-3.12936,0.0234588,-2.61095,1749200675943,4
988.057,-197.646,577.858,-3.12954,0.0235028,-2.61092,1749200675947,4
988.067,-197.696,577.84,-3.12972,0.0235093,-2.61091,1749200675951,4
988.067,-197.759,577.825,-3.12991,0.0235033,-2.6109,1749200675955,4
988.077,-197.798,577.788,-3.13009,0.0234939,-2.61099,1749200675959,4
988.091,-197.829,577.745,-3.13026,0.0234833,-2.61111,1749200675963,4
988.107,-197.869,577.719,-3.1304,0.0234864,-2.61119,1749200675967,4
988.125,-197.918,577.713,-3.1305,0.0235031,-2.61123,1749200675971,4
988.157,-197.959,577.727,-3.1305,0.023528,-2.6113,1749200675975,4
988.201,-197.993,577.762,-3.13039,0.0235608,-2.61139,1749200675979,4
988.246,-198.025,577.788,-3.13031,0.0236249,-2.61147,1749200675983,4
988.294,-198.046,577.786,-3.13033,0.0237828,-2.61149,1749200675987,4
988.342,-198.064,577.786,-3.13032,0.0239427,-2.6115,1749200675991,4
988.392,-198.069,577.787,-3.13028,0.0241086,-2.61146,1749200675995,4
988.427,-198.09,577.807,-3.13023,0.0242816,-2.61141,1749200675999,4
988.418,-198.157,577.882,-3.13017,0.0244762,-2.61136,1749200676003,4
988.42,-198.212,577.94,-3.13013,0.02465,-2.6113,1749200676007,4
988.456,-198.23,577.945,-3.13011,0.0247613,-2.61123,1749200676011,4
988.491,-198.248,577.951,-3.1301,0.0248726,-2.61116,1749200676015,4
988.487,-198.277,577.942,-3.1301,0.0249519,-2.61114,1749200676019,4
988.468,-198.309,577.93,-3.13011,0.0250204,-2.61113,1749200676023,4
988.477,-198.335,577.93,-3.13008,0.0249724,-2.61112,1749200676027,4
988.485,-198.361,577.93,-3.13004,0.0249244,-2.6111,1749200676031,4
988.511,-198.383,577.932,-3.13001,0.0249395,-2.61108,1749200676035,4
988.543,-198.404,577.935,-3.12999,0.0249757,-2.61105,1749200676039,4
988.568,-198.323,577.834,-3.12994,0.0247788,-2.61117,1749200676043,4
988.592,-198.208,577.698,-3.12988,0.0245041,-2.61134,1749200676047,4
988.579,-198.174,577.657,-3.1298,0.0242223,-2.61149,1749200676051,4
988.554,-198.167,577.649,-3.12971,0.023938,-2.61164,1749200676055,4
988.581,-198.128,577.588,-3.12967,0.0237695,-2.61175,1749200676059,4
988.625,-198.078,577.511,-3.12964,0.0236396,-2.61185,1749200676063,4
988.616,-198.022,577.468,-3.12953,0.0233846,-2.61203,1749200676067,4
988.557,-197.959,577.46,-3.12932,0.0230045,-2.61228,1749200676071,4
988.514,-197.966,577.509,-3.1292,0.0227604,-2.61241,1749200676075,4
988.489,-198.042,577.616,-3.12916,0.0226523,-2.61242,1749200676079,4
988.48,-198.082,577.666,-3.12919,0.0226041,-2.61243,1749200676083,4
988.488,-198.085,577.661,-3.12927,0.0226157,-2.61244,1749200676087,4
988.515,-198.092,577.657,-3.12936,0.0227238,-2.61241,1749200676091,4
988.56,-198.103,577.652,-3.12946,0.0229285,-2.61234,1749200676095,4
988.613,-198.112,577.65,-3.12957,0.0232038,-2.61223,1749200676099,4
988.692,-198.114,577.655,-3.12968,0.023691,-2.61202,1749200676103,4
988.764,-198.115,577.659,-3.12979,0.0241125,-2.61184,1749200676107,4
988.813,-198.116,577.656,-3.12986,0.0243369,-2.61177,1749200676111,4
988.862,-198.117,577.654,-3.12993,0.0245614,-2.61169,1749200676115,4
988.95,-198.152,577.609,-3.13007,0.025023,-2.61172,1749200676119,4
989.025,-198.171,577.572,-3.13015,0.025406,-2.61174,1749200676123,4
989.064,-198.144,577.56,-3.13012,0.0255532,-2.61176,1749200676127,4
989.103,-198.117,577.548,-3.13008,0.0257004,-2.61177,1749200676131,4
989.143,-198.097,577.534,-3.13007,0.025845,-2.61181,1749200676135,4
989.182,-198.078,577.52,-3.13006,0.0259895,-2.61184,1749200676139,4
989.153,-198.098,577.534,-3.12994,0.0257802,-2.61194,1749200676143,4
989.123,-198.117,577.547,-3.12983,0.0255709,-2.61204,1749200676147,4
989.094,-198.107,577.532,-3.12973,0.0253729,-2.61206,1749200676151,4
989.067,-198.086,577.507,-3.12964,0.0251787,-2.61205,1749200676155,4
989.045,-198.071,577.488,-3.12957,0.025006,-2.61206,1749200676159,4
989.025,-198.058,577.471,-3.1295,0.0248405,-2.61206,1749200676163,4
988.981,-198.036,577.451,-3.12935,0.0245755,-2.61199,1749200676167,4
988.913,-198.004,577.427,-3.1291,0.0242112,-2.61184,1749200676171,4
988.871,-197.976,577.401,-3.12893,0.0239486,-2.61175,1749200676175,4
988.854,-197.952,577.372,-3.12882,0.0237875,-2.61173,1749200676179,4
988.837,-197.928,577.344,-3.12871,0.0236265,-2.61171,1749200676183,4
988.82,-197.904,577.315,-3.1286,0.0234654,-2.61169,1749200676187,4
988.804,-197.847,577.263,-3.12834,0.0232227,-2.6117,1749200676191,4
988.794,-197.759,577.222,-3.12798,0.0230401,-2.61183,1749200676195,4
988.788,-197.653,577.201,-3.12759,0.0229447,-2.61206,1749200676199,4
988.77,-197.538,577.198,-3.12741,0.0230578,-2.61219,1749200676203,4
988.762,-197.439,577.195,-3.12724,0.0231621,-2.61232,1749200676207,4
988.785,-197.385,577.19,-3.12712,0.0232403,-2.61244,1749200676211,4
988.808,-197.331,577.185,-3.12699,0.0233185,-2.61257,1749200676215,4
988.817,-197.275,577.163,-3.1269,0.0235258,-2.61262,1749200676219,4
988.821,-197.218,577.134,-3.12684,0.0237763,-2.61264,1749200676223,4
988.873,-197.16,577.133,-3.12677,0.0240504,-2.61268,1749200676227,4
988.925,-197.102,577.132,-3.1267,0.0243245,-2.61271,1749200676231,4
988.988,-197.039,577.137,-3.12664,0.0246747,-2.61271,1749200676235,4
989.051,-196.976,577.142,-3.12658,0.0250249,-2.61272,1749200676239,4
989.178,-196.887,577.096,-3.12657,0.0254357,-2.61268,1749200676243,4
989.306,-196.799,577.05,-3.12657,0.0258466,-2.61263,1749200676247,4
989.38,-196.729,577.041,-3.12651,0.0261317,-2.61262,1749200676251,4
989.436,-196.666,577.045,-3.12643,0.026375,-2.61262,1749200676255,4
989.439,-196.674,577.096,-3.12634,0.0264551,-2.61266,1749200676259,4
989.423,-196.705,577.162,-3.12624,0.0264808,-2.61271,1749200676263,4
989.407,-196.704,577.216,-3.12613,0.0264441,-2.61279,1749200676267,4
989.389,-196.603,577.23,-3.12597,0.0262201,-2.61292,1749200676271,4
989.32,-196.496,577.26,-3.12581,0.025797,-2.61312,1749200676275,4
989.199,-196.385,577.307,-3.12565,0.0251749,-2.61338,1749200676279,4
989.099,-196.287,577.348,-3.12551,0.0246618,-2.6136,1749200676283,4
989.057,-196.224,577.371,-3.12541,0.0244759,-2.61367,1749200676287,4
989.016,-196.162,577.393,-3.12531,0.02429,-2.61374,1749200676291,4
988.974,-196.1,577.416,-3.12521,0.0241041,-2.61381,1749200676295,4
988.933,-196.037,577.439,-3.12511,0.0239182,-2.61389,1749200676299,4
988.891,-195.975,577.462,-3.12501,0.0237323,-2.61396,1749200676303,4
988.802,-195.829,577.5,-3.12496,0.0234163,-2.61386,1749200676307,4
988.694,-195.636,577.526,-3.12495,0.0230823,-2.61362,1749200676311,4
988.672,-195.553,577.47,-3.12489,0.0230847,-2.61346,1749200676315,4
988.65,-195.471,577.414,-3.12483,0.023087,-2.6133,1749200676319,4
988.624,-195.362,577.38,-3.12475,0.0230879,-2.61311,1749200676323,4
988.581,-195.173,577.415,-3.12459,0.0230845,-2.61286,1749200676327,4
988.539,-194.984,577.45,-3.12444,0.0230811,-2.61261,1749200676331,4
988.512,-194.869,577.475,-3.12437,0.0230789,-2.61241,1749200676335,4
988.498,-194.829,577.488,-3.1244,0.0230778,-2.61227,1749200676339,4
988.51,-194.739,577.503,-3.12438,0.0231425,-2.61213,1749200676343,4
988.545,-194.601,577.52,-3.12433,0.0232729,-2.61197,1749200676347,4
988.54,-194.444,577.571,-3.12431,0.0233567,-2.61186,1749200676351,4
988.521,-194.281,577.633,-3.1243,0.023425,-2.61177,1749200676355,4
988.532,-194.116,577.653,-3.1243,0.0234382,-2.61172,1749200676359,4
988.552,-193.95,577.659,-3.12429,0.023433,-2.61168,1749200676363,4
988.56,-193.769,577.71,-3.12432,0.0235348,-2.6116,1749200676367,4
988.558,-193.573,577.808,-3.12439,0.0237435,-2.61147,1749200676371,4
988.532,-193.423,577.847,-3.1244,0.0238983,-2.61136,1749200676375,4
988.498,-193.288,577.868,-3.12439,0.0240352,-2.61125,1749200676379,4
988.465,-193.14,577.903,-3.1244,0.0241397,-2.61115,1749200676383,4
988.43,-192.953,577.985,-3.12445,0.024147,-2.61104,1749200676387,4
988.403,-192.769,578.064,-3.1245,0.0241777,-2.61096,1749200676391,4
988.385,-192.588,578.141,-3.12455,0.0242316,-2.61092,1749200676395,4
988.372,-192.401,578.205,-3.12461,0.0242785,-2.61088,1749200676399,4
988.376,-192.193,578.232,-3.12468,0.0243043,-2.61085,1749200676403,4
988.38,-191.985,578.259,-3.12474,0.0243302,-2.61082,1749200676407,4
988.325,-191.737,578.369,-3.12482,0.0242218,-2.61082,1749200676411,4
988.253,-191.529,578.505,-3.12491,0.0241148,-2.61078,1749200676415,4
988.13,-191.437,578.722,-3.12503,0.0240121,-2.61062,1749200676419,4
988.019,-191.318,578.914,-3.12515,0.0238825,-2.61044,1749200676423,4
987.948,-191.118,579.033,-3.12529,0.023672,-2.61021,1749200676427,4
987.877,-190.918,579.151,-3.12543,0.0234614,-2.60998,1749200676431,4
987.819,-190.707,579.261,-3.12553,0.0233243,-2.6098,1749200676435,4
987.761,-190.496,579.371,-3.12563,0.0231872,-2.60962,1749200676439,4
987.594,-190.332,579.513,-3.12571,0.0228706,-2.6093,1749200676443,4
987.427,-190.167,579.654,-3.12578,0.022554,-2.60898,1749200676447,4
987.331,-189.947,579.77,-3.12581,0.0223361,-2.60866,1749200676451,4
987.257,-189.708,579.877,-3.12583,0.0221511,-2.60835,1749200676455,4
987.165,-189.439,579.924,-3.12584,0.0219621,-2.60802,1749200676459,4
987.055,-189.139,579.911,-3.12584,0.021769,-2.60768,1749200676463,4
986.965,-188.819,579.957,-3.12579,0.0216167,-2.60716,1749200676467,4
986.895,-188.481,580.06,-3.12568,0.0215052,-2.60646,1749200676471,4
