x,y,z,A,B,C,T,delta_ms
988.007,-196.259,577.783,-3.12379,0.0246059,-2.6124,1749200675691,0
987.985,-196.239,577.78,-3.12366,0.0243951,-2.61263,1749200675695,4
987.963,-196.219,577.777,-3.12359,0.0242897,-2.61274,1749200675699,4
987.944,-196.2,577.77,-3.12355,0.024218,-2.61282,1749200675703,4
987.928,-196.182,577.761,-3.1235,0.0241547,-2.61289,1749200675707,4
987.901,-196.165,577.754,-3.12346,0.0240212,-2.61299,1749200675711,4
987.869,-196.148,577.75,-3.12342,0.0238524,-2.6131,1749200675715,4
987.84,-196.134,577.751,-3.12337,0.0236784,-2.6132,1749200675719,4
987.812,-196.121,577.757,-3.12332,0.0235011,-2.61328,1749200675723,4
987.784,-196.107,577.762,-3.12327,0.0233306,-2.61336,1749200675727,4
987.756,-196.09,577.767,-3.12321,0.0231647,-2.61343,1749200675731,4
987.729,-196.071,577.772,-3.12315,0.0230076,-2.61349,1749200675735,4
987.705,-196.05,577.776,-3.12309,0.022862,-2.61354,1749200675739,4
987.681,-196.03,577.784,-3.12303,0.0227381,-2.61358,1749200675743,4
987.657,-196.012,577.793,-3.12296,0.0226356,-2.61359,1749200675747,4
987.639,-195.994,577.804,-3.1229,0.0225608,-2.61359,1749200675751,4
987.627,-195.976,577.815,-3.12285,0.0225187,-2.61356,1749200675755,4
987.615,-195.96,577.825,-3.12279,0.0224927,-2.61352,1749200675759,4
987.601,-195.947,577.836,-3.12274,0.0224768,-2.61347,1749200675763,4
987.592,-195.934,577.846,-3.12268,0.0224802,-2.61342,1749200675767,4
987.567,-195.904,577.861,-3.12263,0.0225036,-2.61337,1749200675771,4
987.549,-195.875,577.878,-3.12253,0.0224486,-2.61335,1749200675775,4
987.538,-195.846,577.895,-3.12244,0.0224183,-2.61332,1749200675779,4
987.531,-195.82,577.915,-3.12235,0.022406,-2.61328,1749200675783,4
987.526,-195.801,577.94,-3.12227,0.0224097,-2.61323,1749200675787,4
987.528,-195.785,577.966,-3.12219,0.0224459,-2.61318,1749200675791,4
987.537,-195.771,577.994,-3.12213,0.0225126,-2.61311,1749200675795,4
987.549,-195.759,578.022,-3.12207,0.0226027,-2.61303,1749200675799,4
987.563,-195.753,578.048,-3.12203,0.02271,-2.61296,1749200675803,4
987.579,-195.754,578.077,-3.12201,0.022831,-2.61289,1749200675807,4
987.599,-195.758,578.106,-3.12201,0.0229674,-2.61282,1749200675811,4
987.622,-195.767,578.135,-3.12203,0.0231164,-2.61274,1749200675815,4
987.647,-195.783,578.165,-3.12207,0.0232755,-2.61267,1749200675819,4
987.674,-195.804,578.192,-3.12213,0.0234358,-2.61259,1749200675823,4
987.703,-195.829,578.216,-3.12222,0.0235929,-2.61253,1749200675827,4
987.732,-195.858,578.238,-3.12233,0.0237388,-2.61247,1749200675831,4
987.757,-195.892,578.26,-3.12245,0.0238664,-2.61243,1749200675835,4
987.784,-195.928,578.28,-3.12259,0.0239848,-2.6124,1749200675839,4
987.813,-195.967,578.299,-3.12275,0.0240962,-2.61236,1749200675843,4
987.838,-196.01,578.315,-3.12293,0.0241904,-2.61232,1749200675847,4
987.857,-196.058,578.328,-3.12311,0.0242613,-2.61229,1749200675851,4
987.872,-196.11,578.339,-3.12331,0.0243097,-2.61224,1749200675855,4
987.882,-196.165,578.346,-3.12351,0.0243426,-2.61219,1749200675859,4
987.89,-196.22,578.347,-3.12372,0.0243657,-2.61213,1749200675863,4
987.897,-196.272,578.342,-3.12394,0.0243754,-2.61206,1749200675867,4
987.901,-196.325,578.334,-3.12417,0.024368,-2.61199,1749200675871,4
987.902,-196.38,578.324,-3.1244,0.0243452,-2.61191,1749200675875,4
987.9,-196.436,578.311,-3.12463,0.0243086,-2.61182,1749200675879,4
987.898,-196.489,578.297,-3.12486,0.0242655,-2.61173,1749200675883,4
987.898,-196.54,578.279,-3.12509,0.0242164,-2.61163,1749200675887,4
987.897,-196.59,578.26,-3.12532,0.0241598,-2.61153,1749200675891,4
987.895,-196.64,578.239,-3.12555,0.0240959,-2.61142,1749200675895,4
987.893,-196.689,578.219,-3.12576,0.0240255,-2.61133,1749200675899,4
987.891,-196.739,578.198,-3.12596,0.0239533,-2.61125,1749200675903,4
987.89,-196.789,578.179,-3.12615,0.0238807,-2.61117,1749200675907,4
987.888,-196.837,578.159,-3.12633,0.0238086,-2.61111,1749200675911,4
987.886,-196.884,578.138,-3.1265,0.0237358,-2.61105,1749200675915,4
987.884,-196.93,578.117,-3.12666,0.0236662,-2.611,1749200675919,4
987.884,-196.973,578.097,-3.12683,0.0236006,-2.61096,1749200675923,4
987.885,-197.016,578.077,-3.12699,0.0235371,-2.61093,1749200675927,4
987.887,-197.058,578.057,-3.12715,0.023478,-2.6109,1749200675931,4
987.89,-197.102,578.038,-3.12732,0.0234294,-2.61089,1749200675935,4
987.894,-197.148,578.02,-3.12749,0.0233883,-2.61089,1749200675939,4
987.899,-197.194,578.006,-3.12766,0.0233468,-2.61089,1749200675943,4
987.907,-197.237,577.994,-3.12783,0.0233103,-2.61089,1749200675947,4
987.916,-197.281,577.981,-3.12801,0.0232827,-2.61089,1749200675951,4
987.926,-197.326,577.968,-3.12818,0.0232636,-2.61091,1749200675955,4
987.937,-197.37,577.955,-3.12835,0.0232531,-2.61092,1749200675959,4
987.95,-197.413,577.939,-3.12852,0.0232502,-2.61095,1749200675963,4
987.963,-197.457,577.924,-3.12869,0.0232543,-2.61098,1749200675967,4
987.975,-197.502,577.909,-3.12885,0.023266,-2.61102,1749200675971,4
987.99,-197.547,577.895,-3.12901,0.0232855,-2.61105,1749200675975,4
988.008,-197.591,577.883,-3.12916,0.0233119,-2.61109,1749200675979,4
988.027,-197.634,577.872,-3.12929,0.0233425,-2.61112,1749200675983,4
988.047,-197.674,577.86,-3.12943,0.0233818,-2.61114,1749200675987,4
988.07,-197.714,577.849,-3.12955,0.0234295,-2.61116,1749200675991,4
988.094,-197.752,577.838,-3.12967,0.0234857,-2.61118,1749200675995,4
988.12,-197.79,577.829,-3.12978,0.023547,-2.61119,1749200675999,4
988.144,-197.83,577.824,-3.12988,0.0236146,-2.6112,1749200676003,4
988.168,-197.87,577.822,-3.12996,0.0236893,-2.61121,1749200676007,4
988.194,-197.908,577.822,-3.13003,0.0237681,-2.61121,1749200676011,4
988.221,-197.943,577.822,-3.13009,0.0238472,-2.61121,1749200676015,4
