x,y,z,A,B,C,button,T,delta_ms
115.917,-346.033,-505.293,-2.57959,-1.52456,-2.65319,0,1753960870489,0
115.949,-346.06,-505.314,-2.57948,-1.52455,-2.65311,0,1753960870497,8
115.977,-346.088,-505.337,-2.57924,-1.5246,-2.65282,0,1753960870505,8
115.743,-346.183,-505,-2.58642,-1.52478,-2.65958,0,1753960870513,8
115.746,-346.226,-505.008,-2.5877,-1.52481,-2.66087,0,1753960870521,8
115.831,-346.223,-505.233,-2.59714,-1.52486,-2.67011,0,1753960870529,8
115.828,-346.267,-505.257,-2.59702,-1.52489,-2.66999,0,1753960870537,8
115.828,-346.315,-505.282,-2.5962,-1.52491,-2.66921,0,1753960870545,8
115.726,-345.909,-505.23,-2.5878,-1.52477,-2.66075,0,1753960870553,8
115.726,-345.913,-505.263,-2.58795,-1.52479,-2.66093,0,1753960870561,8
115.892,-346.126,-505.287,-2.59187,-1.52472,-2.66485,0,1753960870569,8
115.901,-346.152,-505.309,-2.59138,-1.52477,-2.66434,0,1753960870577,8
115.916,-346.171,-505.334,-2.59136,-1.52478,-2.66433,0,1753960870585,8
115.977,-346.327,-505.601,-2.59532,-1.525,-2.66798,0,1753960870593,8
115.984,-346.344,-505.642,-2.59547,-1.52496,-2.66814,0,1753960870601,8
115.915,-346.319,-505.462,-2.60893,-1.52489,-2.6819,0,1753960870609,8
115.918,-346.345,-505.494,-2.60961,-1.52494,-2.68258,0,1753960870617,8
115.917,-346.365,-505.519,-2.60913,-1.52495,-2.68201,0,1753960870625,8
115.66,-345.781,-505.093,-2.60465,-1.5245,-2.67808,0,1753960870633,8
115.641,-345.764,-505.101,-2.6047,-1.52451,-2.67812,0,1753960870641,8
115.565,-345.541,-504.756,-2.59874,-1.5241,-2.67273,0,1753960870649,8
115.547,-345.518,-504.747,-2.59808,-1.52404,-2.67211,0,1753960870657,8
115.524,-345.497,-504.736,-2.59767,-1.52407,-2.67168,0,1753960870665,8
115.463,-345.408,-504.378,-2.58735,-1.52385,-2.66152,0,1753960870673,8
115.457,-345.393,-504.345,-2.5863,-1.52388,-2.66046,0,1753960870681,8
115.625,-345.374,-504.564,-2.57776,-1.52397,-2.65179,0,1753960870689,8
115.634,-345.346,-504.546,-2.57864,-1.52403,-2.65266,0,1753960870697,8
115.641,-345.32,-504.532,-2.57826,-1.524,-2.65229,0,1753960870705,8
115.613,-345.346,-504.478,-2.57697,-1.52398,-2.65117,0,1753960870713,8
