x,y,z,A,B,C,button,T,delta_ms
757.757,135.14,1077.5,2.52931,1.56874,-0.962631,0,1753960870489,0
757.724,135.119,1077.47,2.52257,1.56874,-0.955919,0,1753960870497,8
757.696,135.097,1077.44,2.54763,1.56876,-0.980923,0,1753960870505,8
757.931,135.434,1077.35,2.62701,1.56845,-1.05988,0,1753960870513,8
757.927,135.427,1077.31,2.64044,1.56839,-1.07331,0,1753960870521,8
757.84,135.204,1077.31,2.6518,1.56796,-1.08447,0,1753960870529,8
757.842,135.18,1077.26,2.66223,1.56796,-1.0949,0,1753960870537,8
757.841,135.156,1077.22,2.67017,1.568,-1.10287,0,1753960870545,8
757.95,135.2,1077.62,2.62366,1.56839,-1.05631,0,1753960870553,8
757.95,135.167,1077.62,2.62905,1.56838,-1.06173,0,1753960870561,8
757.781,135.148,1077.41,2.60227,1.5682,-1.03495,0,1753960870569,8
757.771,135.126,1077.38,2.62306,1.56823,-1.05572,0,1753960870577,8
757.755,135.101,1077.36,2.62546,1.56823,-1.05813,0,1753960870585,8
757.69,134.839,1077.2,2.70246,1.56805,-1.13481,0,1753960870593,8
757.682,134.798,1077.18,2.68885,1.56804,-1.12121,0,1753960870601,8
757.752,134.977,1077.21,2.65575,1.56742,-1.08841,0,1753960870609,8
757.748,134.944,1077.18,2.67102,1.56738,-1.10367,0,1753960870617,8
757.749,134.92,1077.16,2.67227,1.56741,-1.10484,0,1753960870625,8
758.018,135.334,1077.75,2.53809,1.56758,-0.971214,0,1753960870633,8
758.037,135.325,1077.77,2.54229,1.56758,-0.975405,0,1753960870641,8
758.12,135.664,1077.99,2.4016,1.56777,-0.835304,0,1753960870649,8
758.138,135.673,1078.02,2.37944,1.56779,-0.813187,0,1753960870657,8
758.162,135.683,1078.04,2.38721,1.56781,-0.820926,0,1753960870665,8
758.228,136.039,1078.13,2.26618,1.56821,-0.700078,0,1753960870673,8
758.234,136.071,1078.15,2.26949,1.56827,-0.703375,0,1753960870681,8
758.065,135.854,1078.17,2.24932,1.56868,-0.683082,0,1753960870689,8
758.057,135.872,1078.2,2.28145,1.56866,-0.715202,0,1753960870697,8
758.05,135.885,1078.22,2.26284,1.56867,-0.696595,0,1753960870705,8
758.078,135.94,1078.2,2.24982,1.56871,-0.683752,0,1753960870713,8
758.067,135.966,1078.21,2.27278,1.56869,-0.706687,0,1753960870721,8
758.062,135.99,1078.23,2.25733,1.56874,-0.691264,0,1753960870729,8
758.028,135.818,1078.15,2.2241,1.56911,-0.657939,0,1753960870737,8
758.014,135.832,1078.17,2.22819,1.56913,-0.662004,0,1753960870745,8
757.933,135.651,1077.79,2.41886,1.56864,-0.852623,0,1753960870753,8
757.923,135.659,1077.79,2.40093,1.56867,-0.834689,0,1753960870761,8
758.037,135.66,1077.99,2.4099,1.56902,-0.843597,0,1753960870769,8
758.04,135.664,1078,2.37122,1.56903,-0.804856,0,1753960870777,8
758.039,135.664,1078,2.41011,1.56901,-0.843784,0,1753960870785,8
758.081,135.964,1077.83,2.54916,1.56877,-0.982466,0,1753960870793,8
758.083,135.987,1077.82,2.53941,1.56875,-0.972644,0,1753960870801,8
758.078,135.748,1077.94,2.4674,1.56926,-0.900558,0,1753960870809,8
758.083,135.739,1077.95,2.48631,1.56928,-0.919435,0,1753960870817,8
758.082,135.733,1077.96,2.47809,1.56925,-0.91115,0,1753960870825,8
757.863,135.597,1077.9,2.52909,1.56863,-0.962289,0,1753960870833,8
757.841,135.585,1077.91,2.53729,1.56869,-0.970513,0,1753960870841,8
758.062,135.642,1077.94,2.51385,1.56878,-0.947247,0,1753960870849,8
758.053,135.636,1077.94,2.53628,1.56878,-0.969656,0,1753960870857,8
758.046,135.626,1077.94,2.51553,1.56885,-0.948966,0,1753960870865,8
757.939,135.528,1077.69,2.59147,1.5687,-1.02472,0,1753960870873,8
757.934,135.52,1077.67,2.59939,1.5687,-1.03263,0,1753960870881,8
758.022,135.518,1077.85,2.52641,1.5688,-0.959886,0,1753960870889,8
758.021,135.502,1077.85,2.54,1.56883,-0.973482,0,1753960870897,8
758.017,135.492,1077.85,2.51853,1.5688,-0.951999,0,1753960870905,8
758.104,135.736,1078.03,2.33743,1.56889,-0.77138,0,1753960870913,8
758.109,135.74,1078.04,2.32247,1.56886,-0.756416,0,1753960870921,8
758.136,135.767,1078.06,2.33973,1.56895,-0.773806,0,1753960870929,8
758.147,135.776,1078.07,2.34354,1.56898,-0.777597,0,1753960870937,8
758.157,135.78,1078.08,2.33952,1.56897,-0.773569,0,1753960870945,8
758.193,136.046,1078.24,2.22858,1.56919,-0.662661,0,1753960870953,8
758.187,136.065,1078.25,2.24493,1.56922,-0.679057,0,1753960870961,8
758.224,136.188,1078.23,2.0086,1.56934,-0.443026,0,1753960870969,8
758.214,136.22,1078.23,1.99521,1.56926,-0.429613,0,1753960870977,8
758.137,135.958,1078.21,2.04132,1.56959,-0.475482,0,1753960870985,8
758.126,135.968,1078.23,2.01848,1.56954,-0.452605,0,1753960870993,8
758.123,135.972,1078.24,2.03302,1.56957,-0.467208,0,1753960871001,8
758.175,136.173,1077.91,2.31418,1.56948,-0.747934,0,1753960871009,8
758.166,136.199,1077.89,2.32135,1.56956,-0.75511,0,1753960871017,8
758.16,136.224,1077.87,2.3387,1.56951,-0.77245,0,1753960871025,8
758.141,136.047,1078.19,2.26885,1.56952,-0.702709,0,1753960871033,8
758.13,136.052,1078.21,2.19435,1.56959,-0.628204,0,1753960871041,8
758.12,136.061,1078.22,2.26538,1.56955,-0.699198,0,1753960871049,8
758.164,135.962,1078.23,2.20408,1.56958,-0.638006,0,1753960871057,8
758.162,135.963,1078.25,2.20639,1.56956,-0.640261,0,1753960871065,8
758.323,136.393,1078.42,2.41452,1.56997,-0.848303,0,1753960871073,8
758.326,136.42,1078.44,2.48531,1.5699,-0.919049,0,1753960871081,8
758.146,136.022,1078.51,2.17195,1.57033,-0.605721,0,1753960871089,8
758.131,136.02,1078.55,2.22363,1.57032,-0.657367,0,1753960871097,8
758.118,136.012,1078.59,2.24528,1.57032,-0.679039,0,1753960871105,8
757.85,135.63,1077.98,2.29222,1.57017,-0.725786,0,1753960871113,8
757.809,135.618,1077.96,2.26569,1.57014,-0.699213,0,1753960871121,8
758.041,135.7,1078.1,2.3974,1.57044,-0.830772,0,1753960871129,8
758.025,135.683,1078.1,2.41958,1.57042,-0.853034,0,1753960871137,8
758.013,135.663,1078.1,2.35129,1.57047,-0.784667,0,1753960871145,8
758.013,135.615,1077.76,2.74188,1.56976,-1.17536,0,1753960871153,8
758.007,135.604,1077.73,2.77852,1.5698,-1.212,0,1753960871161,8
757.98,135.378,1077.5,2.74956,1.56951,-1.18311,0,1753960871169,8
758.186,135.583,1077.77,2.59836,1.56997,-1.032,0,1753960871177,8
758.207,135.568,1077.74,2.57015,1.56999,-1.00379,0,1753960871185,8
758.061,135.675,1077.61,2.66811,1.56947,-1.10164,0,1753960871193,8
758.048,135.666,1077.58,2.66735,1.5695,-1.10091,0,1753960871201,8
758.053,135.503,1077.83,2.38286,1.56948,-0.816794,0,1753960871209,8
758.043,135.489,1077.83,2.42189,1.56948,-0.855825,0,1753960871217,8
758.04,135.47,1077.83,2.39401,1.56944,-0.827883,0,1753960871225,8
758.108,135.66,1077.67,2.83947,1.56927,-1.27279,0,1753960871233,8
758.104,135.649,1077.65,2.85216,1.56942,-1.28551,0,1753960871241,8
758.341,136.104,1078.05,2.74881,1.56971,-1.18246,0,1753960871249,8
758.351,136.111,1078.07,2.74732,1.56968,-1.18087,0,1753960871257,8
758.365,136.118,1078.08,2.75605,1.56966,-1.18967,0,1753960871265,8
758.094,136.026,1078.39,2.61731,1.57,-1.05082,0,1753960871273,8
758.072,136.028,1078.43,2.57138,1.57001,-1.00484,0,1753960871281,8
758.085,135.981,1078.34,2.53909,1.57001,-0.972834,0,1753960871289,8
758.076,135.983,1078.37,2.54029,1.57001,-0.973962,0,1753960871297,8
758.061,135.988,1078.39,2.49742,1.57004,-0.931125,0,1753960871305,8
758.037,135.933,1078,2.70327,1.56956,-1.13708,0,1753960871313,8
758.027,135.943,1077.99,2.69088,1.56954,-1.1247,0,1753960871321,8
758.016,135.847,1077.86,2.58148,1.56908,-1.01531,0,1753960871329,8
758.011,135.854,1077.85,2.56648,1.56905,-1.0003,0,1753960871337,8
758.009,135.856,1077.84,2.56572,1.56909,-0.999556,0,1753960871345,8
757.951,135.486,1077.66,2.52612,1.56873,-0.959795,0,1753960871353,8
757.949,135.468,1077.65,2.51556,1.56871,-0.949215,0,1753960871361,8
757.949,135.451,1077.63,2.51414,1.56873,-0.947811,0,1753960871369,8
758.146,135.445,1077.84,2.48283,1.56883,-0.916553,0,1753960871377,8
758.17,135.423,1077.83,2.46546,1.56878,-0.89922,0,1753960871385,8
758.171,135.65,1077.99,2.32744,1.56911,-0.761561,0,1753960871393,8
758.188,135.642,1078,2.31553,1.56908,-0.749652,0,1753960871401,8
758.281,136.027,1078.16,2.14442,1.56903,-0.578525,0,1753960871409,8
758.296,136.044,1078.16,2.1392,1.56904,-0.573309,0,1753960871417,8
758.309,136.058,1078.16,2.16073,1.569,-0.594866,0,1753960871425,8
758.068,135.783,1078.17,2.00853,1.56936,-0.442705,0,1753960871433,8
758.053,135.791,1078.2,1.98962,1.5694,-0.423826,0,1753960871441,8
758.199,136.057,1078.2,1.93084,1.56936,-0.365324,0,1753960871449,8
758.19,136.082,1078.2,1.9615,1.56934,-0.395964,0,1753960871457,8
758.174,136.107,1078.22,1.95216,1.56935,-0.386636,0,1753960871465,8
757.87,135.734,1077.93,2.25527,1.56935,-0.689263,0,1753960871473,8
757.847,135.737,1077.92,2.25784,1.5693,-0.691834,0,1753960871481,8
758.055,135.87,1077.72,2.50481,1.56906,-0.938298,0,1753960871489,8
758.05,135.884,1077.7,2.5129,1.56916,-0.946468,0,1753960871497,8
758.044,135.899,1077.69,2.5,1.56904,-0.933533,0,1753960871505,8
758.136,135.657,1077.83,2.41891,1.56949,-0.852392,0,1753960871513,8
758.146,135.657,1077.83,2.36036,1.56943,-0.793827,0,1753960871521,8
757.881,135.468,1077.68,2.47579,1.56895,-0.90925,0,1753960871529,8
757.862,135.455,1077.68,2.50745,1.5689,-0.940904,0,1753960871537,8
757.845,135.444,1077.67,2.50521,1.56893,-0.938638,0,1753960871545,8
757.961,135.317,1077.87,2.418,1.56928,-0.851522,0,1753960871553,8
757.945,135.288,1077.88,2.37895,1.56928,-0.812467,0,1753960871561,8
757.833,135.174,1077.56,2.41261,1.56867,-0.846383,0,1753960871569,8
757.812,135.157,1077.54,2.44303,1.56867,-0.876755,0,1753960871577,8
757.798,135.146,1077.53,2.44206,1.56861,-0.875775,0,1753960871585,8
758.028,135.303,1077.71,2.28378,1.56893,-0.7178,0,1753960871593,8
758.031,135.297,1077.71,2.30919,1.56893,-0.743202,0,1753960871601,8
758.043,135.284,1077.7,2.30122,1.56893,-0.735252,0,1753960871609,8
757.722,134.973,1077.36,2.34725,1.56886,-0.781066,0,1753960871617,8
757.704,134.955,1077.35,2.33231,1.56884,-0.766085,0,1753960871625,8
757.936,135.053,1077.62,2.32795,1.56921,-0.761642,0,1753960871633,8
757.935,135.034,1077.62,2.31542,1.56916,-0.74908,0,1753960871641,8
