x,y,z,A,B,C,button,T,delta_ms
757.757,135.14,1077.5,2.52931,1.56874,-0.962631,0,1753960870489,0
757.741,135.13,1077.49,2.52594,1.56874,-0.959277,0,1753960870493,4
757.724,135.119,1077.47,2.52257,1.56874,-0.955919,0,1753960870497,4
757.71,135.108,1077.46,2.53505,1.56875,-0.968371,0,1753960870501,4
757.696,135.097,1077.44,2.54763,1.56876,-0.980923,0,1753960870505,4
757.813,135.266,1077.4,2.59012,1.5686,-1.0232,0,1753960870509,4
757.931,135.434,1077.35,2.62701,1.56845,-1.05988,0,1753960870513,4
757.929,135.431,1077.33,2.63381,1.56842,-1.06668,0,1753960870517,4
757.927,135.427,1077.31,2.64044,1.56839,-1.07331,0,1753960870521,4
757.883,135.315,1077.31,2.64658,1.56817,-1.07935,0,1753960870525,4
757.84,135.204,1077.31,2.6518,1.56796,-1.08447,0,1753960870529,4
757.841,135.192,1077.29,2.65701,1.56796,-1.08968,0,1753960870533,4
757.842,135.18,1077.26,2.66223,1.56796,-1.0949,0,1753960870537,4
757.842,135.168,1077.24,2.66618,1.56798,-1.09886,0,1753960870541,4
757.841,135.156,1077.22,2.67017,1.568,-1.10287,0,1753960870545,4
757.896,135.178,1077.42,2.64867,1.5682,-1.08135,0,1753960870549,4
757.95,135.2,1077.62,2.62366,1.56839,-1.05631,0,1753960870553,4
757.95,135.184,1077.62,2.62636,1.56839,-1.05903,0,1753960870557,4
757.95,135.167,1077.62,2.62905,1.56838,-1.06173,0,1753960870561,4
757.865,135.158,1077.51,2.61518,1.56829,-1.04786,0,1753960870565,4
757.781,135.148,1077.41,2.60227,1.5682,-1.03495,0,1753960870569,4
757.776,135.137,1077.39,2.61262,1.56822,-1.04529,0,1753960870573,4
757.771,135.126,1077.38,2.62306,1.56823,-1.05572,0,1753960870577,4
757.763,135.114,1077.37,2.62426,1.56823,-1.05693,0,1753960870581,4
757.755,135.101,1077.36,2.62546,1.56823,-1.05813,0,1753960870585,4
757.722,134.97,1077.28,2.66525,1.56814,-1.09777,0,1753960870589,4
757.69,134.839,1077.2,2.70246,1.56805,-1.13481,0,1753960870593,4
757.686,134.819,1077.19,2.69565,1.56805,-1.12801,0,1753960870597,4
757.682,134.798,1077.18,2.68885,1.56804,-1.12121,0,1753960870601,4
757.717,134.887,1077.2,2.67062,1.56773,-1.10313,0,1753960870605,4
757.752,134.977,1077.21,2.65575,1.56742,-1.08841,0,1753960870609,4
757.75,134.96,1077.2,2.66342,1.5674,-1.09608,0,1753960870613,4
757.748,134.944,1077.18,2.67102,1.56738,-1.10367,0,1753960870617,4
757.749,134.932,1077.17,2.67164,1.5674,-1.10425,0,1753960870621,4
757.749,134.92,1077.16,2.67227,1.56741,-1.10484,0,1753960870625,4
757.883,135.127,1077.46,2.60694,1.5675,-1.03979,0,1753960870629,4
758.018,135.334,1077.75,2.53809,1.56758,-0.971214,0,1753960870633,4
758.028,135.329,1077.76,2.54019,1.56758,-0.973309,0,1753960870637,4
758.037,135.325,1077.77,2.54229,1.56758,-0.975405,0,1753960870641,4
758.078,135.494,1077.88,2.47408,1.56769,-0.907494,0,1753960870645,4
758.12,135.664,1077.99,2.4016,1.56777,-0.835304,0,1753960870649,4
758.129,135.668,1078.01,2.39055,1.56778,-0.824272,0,1753960870653,4
758.138,135.673,1078.02,2.37944,1.56779,-0.813187,0,1753960870657,4
758.15,135.678,1078.03,2.38331,1.5678,-0.81704,0,1753960870661,4
758.162,135.683,1078.04,2.38721,1.56781,-0.820926,0,1753960870665,4
758.195,135.861,1078.09,2.33103,1.56802,-0.764839,0,1753960870669,4
758.228,136.039,1078.13,2.26618,1.56821,-0.700078,0,1753960870673,4
758.231,136.055,1078.14,2.26782,1.56824,-0.701709,0,1753960870677,4
758.234,136.071,1078.15,2.26949,1.56827,-0.703375,0,1753960870681,4
758.15,135.962,1078.16,2.26031,1.56847,-0.694132,0,1753960870685,4
758.065,135.854,1078.17,2.24932,1.56868,-0.683082,0,1753960870689,4
758.061,135.863,1078.18,2.26546,1.56867,-0.699218,0,1753960870693,4
758.057,135.872,1078.2,2.28145,1.56866,-0.715202,0,1753960870697,4
758.053,135.879,1078.21,2.27216,1.56866,-0.70591,0,1753960870701,4
758.05,135.885,1078.22,2.26284,1.56867,-0.696595,0,1753960870705,4
758.064,135.913,1078.21,2.2564,1.56869,-0.690245,0,1753960870709,4
758.078,135.94,1078.2,2.24982,1.56871,-0.683752,0,1753960870713,4
758.072,135.953,1078.2,2.26136,1.5687,-0.695281,0,1753960870717,4
758.067,135.966,1078.21,2.27278,1.56869,-0.706687,0,1753960870721,4
758.065,135.978,1078.22,2.26514,1.56871,-0.699058,0,1753960870725,4
758.062,135.99,1078.23,2.25733,1.56874,-0.691264,0,1753960870729,4
758.045,135.904,1078.19,2.24239,1.56892,-0.676277,0,1753960870733,4
758.028,135.818,1078.15,2.2241,1.56911,-0.657939,0,1753960870737,4
758.021,135.825,1078.16,2.22614,1.56912,-0.659961,0,1753960870741,4
758.014,135.832,1078.17,2.22819,1.56913,-0.662004,0,1753960870745,4
757.973,135.741,1077.98,2.33575,1.56889,-0.769532,0,1753960870749,4
757.933,135.651,1077.79,2.41886,1.56864,-0.852623,0,1753960870753,4
757.928,135.655,1077.79,2.40996,1.56866,-0.843724,0,1753960870757,4
757.923,135.659,1077.79,2.40093,1.56867,-0.834689,0,1753960870761,4
757.98,135.66,1077.89,2.40502,1.56885,-0.838745,0,1753960870765,4
758.037,135.66,1077.99,2.4099,1.56902,-0.843597,0,1753960870769,4
758.039,135.662,1077.99,2.3906,1.56902,-0.824266,0,1753960870773,4
758.04,135.664,1078,2.37122,1.56903,-0.804856,0,1753960870777,4
758.04,135.664,1078,2.39078,1.56902,-0.824436,0,1753960870781,4
758.039,135.664,1078,2.41011,1.56901,-0.843784,0,1753960870785,4
758.06,135.814,1077.91,2.48392,1.56889,-0.917411,0,1753960870789,4
758.081,135.964,1077.83,2.54916,1.56877,-0.982466,0,1753960870793,4
758.082,135.975,1077.82,2.54426,1.56876,-0.977531,0,1753960870797,4
758.083,135.987,1077.82,2.53941,1.56875,-0.972644,0,1753960870801,4
758.081,135.868,1077.88,2.50857,1.56901,-0.94177,0,1753960870805,4
758.078,135.748,1077.94,2.4674,1.56926,-0.900558,0,1753960870809,4
758.081,135.744,1077.95,2.4768,1.56927,-0.909946,0,1753960870813,4
758.083,135.739,1077.95,2.48631,1.56928,-0.919435,0,1753960870817,4
758.082,135.736,1077.95,2.48216,1.56927,-0.915256,0,1753960870821,4
758.082,135.733,1077.96,2.47809,1.56925,-0.91115,0,1753960870825,4
757.972,135.665,1077.93,2.50788,1.56894,-0.941009,0,1753960870829,4
757.863,135.597,1077.9,2.52909,1.56863,-0.962289,0,1753960870833,4
757.852,135.591,1077.91,2.53314,1.56866,-0.966346,0,1753960870837,4
757.841,135.585,1077.91,2.53729,1.56869,-0.970513,0,1753960870841,4
757.951,135.614,1077.92,2.52583,1.56874,-0.959146,0,1753960870845,4
758.062,135.642,1077.94,2.51385,1.56878,-0.947247,0,1753960870849,4
758.057,135.639,1077.94,2.52508,1.56878,-0.958473,0,1753960870853,4
758.053,135.636,1077.94,2.53628,1.56878,-0.969656,0,1753960870857,4
758.049,135.631,1077.94,2.52611,1.56881,-0.959519,0,1753960870861,4
758.046,135.626,1077.94,2.51553,1.56885,-0.948966,0,1753960870865,4
757.993,135.577,1077.81,2.55493,1.56878,-0.988278,0,1753960870869,4
757.939,135.528,1077.69,2.59147,1.5687,-1.02472,0,1753960870873,4
757.936,135.524,1077.68,2.59542,1.5687,-1.02867,0,1753960870877,4
757.934,135.52,1077.67,2.59939,1.5687,-1.03263,0,1753960870881,4
757.978,135.519,1077.76,2.56376,1.56875,-0.997121,0,1753960870885,4
758.022,135.518,1077.85,2.52641,1.5688,-0.959886,0,1753960870889,4
758.022,135.51,1077.85,2.53315,1.56882,-0.966633,0,1753960870893,4
758.021,135.502,1077.85,2.54,1.56883,-0.973482,0,1753960870897,4
758.019,135.497,1077.85,2.52917,1.56881,-0.962645,0,1753960870901,4
758.017,135.492,1077.85,2.51853,1.5688,-0.951999,0,1753960870905,4
758.06,135.614,1077.94,2.43012,1.56885,-0.863827,0,1753960870909,4
758.104,135.736,1078.03,2.33743,1.56889,-0.77138,0,1753960870913,4
758.107,135.738,1078.03,2.3299,1.56887,-0.763847,0,1753960870917,4
758.109,135.74,1078.04,2.32247,1.56886,-0.756416,0,1753960870921,4
758.122,135.753,1078.05,2.3309,1.56891,-0.764909,0,1753960870925,4
758.136,135.767,1078.06,2.33973,1.56895,-0.773806,0,1753960870929,4
