x,y,z,A,B,C,button,T,delta_ms
757.757,135.14,1077.5,2.52931,1.56874,-0.962631,0,1753960870489,0
757.749,135.135,1077.49,2.52762,1.56874,-0.960954,0,1753960870493,4
757.741,135.13,1077.49,2.52594,1.56874,-0.959277,0,1753960870497,4
757.733,135.124,1077.48,2.52821,1.56874,-0.961542,0,1753960870501,4
757.726,135.119,1077.47,2.53207,1.56874,-0.965395,0,1753960870505,4
757.74,135.143,1077.46,2.54228,1.56872,-0.975571,0,1753960870509,4
757.767,135.185,1077.44,2.55572,1.56868,-0.988946,0,1753960870513,4
757.788,135.216,1077.43,2.56653,1.56865,-0.999712,0,1753960870517,4
757.803,135.239,1077.42,2.57562,1.56862,-1.00877,0,1753960870521,4
757.811,135.247,1077.41,2.584,1.56858,-1.01711,0,1753960870525,4
757.814,135.243,1077.4,2.59167,1.56852,-1.02474,0,1753960870529,4
757.821,135.248,1077.38,2.60382,1.56845,-1.03682,0,1753960870533,4
757.831,135.252,1077.36,2.61607,1.56838,-1.04901,0,1753960870537,4
757.841,135.256,1077.34,2.62825,1.56831,-1.06113,0,1753960870541,4
757.853,135.261,1077.31,2.63921,1.56824,-1.07204,0,1753960870545,4
757.871,135.268,1077.31,2.64658,1.56819,-1.07936,0,1753960870549,4
757.884,135.262,1077.33,2.64896,1.56817,-1.0817,0,1753960870553,4
757.886,135.239,1077.36,2.64887,1.56817,-1.08159,0,1753960870557,4
757.888,135.215,1077.38,2.64845,1.56816,-1.08116,0,1753960870561,4
757.882,135.191,1077.4,2.64626,1.56815,-1.07894,0,1753960870565,4
757.873,135.176,1077.41,2.6423,1.56816,-1.07498,0,1753960870569,4
757.867,135.17,1077.42,2.6387,1.56818,-1.07138,0,1753960870573,4
757.86,135.164,1077.43,2.63547,1.5682,-1.06815,0,1753960870577,4
757.853,135.158,1077.44,2.63177,1.56823,-1.06444,0,1753960870581,4
757.845,135.152,1077.45,2.62773,1.56825,-1.06041,0,1753960870585,4
757.835,135.135,1077.45,2.62705,1.56826,-1.05971,0,1753960870589,4
757.816,135.104,1077.43,2.63243,1.56825,-1.06506,0,1753960870593,4
757.792,135.069,1077.39,2.6393,1.56822,-1.0719,0,1753960870597,4
757.767,135.034,1077.35,2.64514,1.56819,-1.07771,0,1753960870601,4
757.746,135.009,1077.32,2.64913,1.56813,-1.08168,0,1753960870605,4
757.736,134.992,1077.29,2.65268,1.56805,-1.08523,0,1753960870609,4
757.733,134.975,1077.27,2.65807,1.56798,-1.09061,0,1753960870613,4
757.731,134.958,1077.25,2.66313,1.5679,-1.09568,0,1753960870617,4
757.729,134.94,1077.23,2.66717,1.56782,-1.09971,0,1753960870621,4
757.727,134.923,1077.21,2.67098,1.56775,-1.10351,0,1753960870625,4
757.739,134.925,1077.22,2.66824,1.56768,-1.10079,0,1753960870629,4
757.766,134.958,1077.26,2.65647,1.56764,-1.08908,0,1753960870633,4
757.797,135.003,1077.31,2.64229,1.5676,-1.07497,0,1753960870637,4
757.829,135.049,1077.37,2.62918,1.56755,-1.06192,0,1753960870641,4
757.865,135.112,1077.43,2.61126,1.56752,-1.0441,0,1753960870645,4
757.901,135.182,1077.5,2.58866,1.56753,-1.0216,0,1753960870649,4
757.935,135.245,1077.57,2.56555,1.56757,-0.998586,0,1753960870653,4
757.971,135.31,1077.65,2.54021,1.56761,-0.973353,0,1753960870657,4
758.007,135.377,1077.73,2.51387,1.56764,-0.94711,0,1753960870661,4
758.045,135.445,1077.81,2.4873,1.56768,-0.920646,0,1753960870665,4
758.085,135.53,1077.89,2.45601,1.56773,-0.889468,0,1753960870669,4
758.117,135.613,1077.95,2.42625,1.56779,-0.859801,0,1753960870673,4
758.136,135.679,1077.99,2.4027,1.56785,-0.836323,0,1753960870677,4
758.155,135.746,1078.02,2.37821,1.56792,-0.811901,0,1753960870681,4
758.165,135.804,1078.06,2.35233,1.56799,-0.786091,0,1753960870685,4
758.164,135.837,1078.08,2.3324,1.56808,-0.766188,0,1753960870689,4
758.158,135.855,1078.1,2.32027,1.56816,-0.754069,0,1753960870693,4
758.152,135.874,1078.12,2.30979,1.56824,-0.743584,0,1753960870697,4
758.144,135.892,1078.14,2.29915,1.56832,-0.732945,0,1753960870701,4
758.135,135.911,1078.15,2.28666,1.5684,-0.720465,0,1753960870705,4
758.126,135.932,1078.17,2.27243,1.56848,-0.706241,0,1753960870709,4
758.115,135.939,1078.18,2.26397,1.56854,-0.697797,0,1753960870713,4
758.101,135.931,1078.18,2.26351,1.56859,-0.69734,0,1753960870717,4
758.086,135.923,1078.19,2.26387,1.56863,-0.697698,0,1753960870721,4
758.071,135.915,1078.2,2.26338,1.56867,-0.697207,0,1753960870725,4
758.063,135.917,1078.2,2.26315,1.56869,-0.696987,0,1753960870729,4
758.061,135.922,1078.21,2.26273,1.56871,-0.696578,0,1753960870733,4
758.058,135.918,1078.2,2.25958,1.56875,-0.693434,0,1753960870737,4
758.055,135.914,1078.2,2.25491,1.56879,-0.688778,0,1753960870741,4
758.051,135.909,1078.2,2.25114,1.56884,-0.685013,0,1753960870745,4
758.044,135.896,1078.18,2.25751,1.56886,-0.691387,0,1753960870749,4
758.032,135.872,1078.14,2.27384,1.56886,-0.707706,0,1753960870753,4
758.019,135.847,1078.1,2.28975,1.56885,-0.7236,0,1753960870757,4
758.005,135.82,1078.06,2.30353,1.56885,-0.737365,0,1753960870761,4
757.997,135.792,1078.03,2.31587,1.56887,-0.749692,0,1753960870765,4
757.995,135.763,1078.01,2.32889,1.56889,-0.762685,0,1753960870769,4
757.993,135.733,1077.99,2.34132,1.56892,-0.77509,0,1753960870773,4
757.992,135.711,1077.97,2.35289,1.56893,-0.786637,0,1753960870777,4
757.993,135.698,1077.96,2.36662,1.56892,-0.80035,0,1753960870781,4
757.995,135.683,1077.94,2.38164,1.56891,-0.815362,0,1753960870785,4
757.999,135.681,1077.92,2.40298,1.56888,-0.836673,0,1753960870789,4
758.009,135.702,1077.91,2.42297,1.56887,-0.856613,0,1753960870793,4
