x,y,z,A,B,C,button,T,delta_ms
97.3066,-341.525,-508.948,1.63049,-0.00152137,-1.51771,0,1754118169500,0
97.3021,-341.524,-508.966,1.63052,-0.00156865,-1.5177,0,1754118169508,8
97.274,-341.529,-508.932,1.6305,-0.00156223,-1.51778,0,1754118169517,9
97.2656,-341.529,-508.944,1.63047,-0.00154124,-1.51774,0,1754118169524,7
97.2576,-341.527,-508.961,1.63051,-0.00157067,-1.51775,0,1754118169533,9
97.2812,-341.497,-508.935,1.63057,-0.00145573,-1.51777,0,1754118169540,7
97.2752,-341.501,-508.955,1.63052,-0.00147433,-1.51774,0,1754118169549,9
97.3009,-341.5,-508.924,1.63061,-0.00148451,-1.51767,0,1754118169556,7
97.3005,-341.503,-508.941,1.6306,-0.00147932,-1.51769,0,1754118169564,8
97.2979,-341.51,-508.958,1.63059,-0.00147748,-1.51771,0,1754118169572,8
97.3069,-341.512,-508.919,1.63051,-0.00151318,-1.51778,0,1754118169580,8
97.3002,-341.52,-508.934,1.63048,-0.0014924,-1.51776,0,1754118169588,8
97.3313,-341.505,-508.854,1.63055,-0.00152413,-1.51772,0,1754118169596,8
97.3311,-341.513,-508.86,1.63059,-0.0015279,-1.51769,0,1754118169604,8
97.3915,-341.439,-508.868,1.6306,-0.00122122,-1.51766,0,1754118169613,9
97.3965,-341.432,-508.872,1.63056,-0.00115356,-1.51767,0,1754118169620,7
97.3967,-341.432,-508.88,1.63053,-0.00120448,-1.51768,0,1754118169629,9
97.3444,-341.422,-508.948,1.63055,-0.00100759,-1.5179,0,1754118169636,7
97.3383,-341.415,-508.959,1.6305,-0.000931435,-1.51787,0,1754118169644,8
97.333,-341.413,-508.969,1.63049,-0.000955629,-1.51789,0,1754118169652,8
97.2959,-341.509,-508.89,1.63047,-0.00106845,-1.51783,0,1754118169661,9
97.2872,-341.517,-508.893,1.63047,-0.00101935,-1.51783,0,1754118169668,7
97.2908,-341.466,-508.801,1.63067,-0.0010667,-1.51778,0,1754118169676,8
97.283,-341.469,-508.794,1.63058,-0.00108872,-1.51773,0,1754118169684,8
97.2728,-341.469,-508.787,1.6306,-0.00108492,-1.51779,0,1754118169692,8
97.2578,-341.444,-508.823,1.63071,-0.00122645,-1.51792,0,1754118169700,8
97.2457,-341.452,-508.817,1.63074,-0.00122261,-1.51793,0,1754118169709,9
97.2558,-341.376,-508.676,1.6308,-0.00131514,-1.51779,0,1754118169716,7
97.2451,-341.381,-508.663,1.63079,-0.00131793,-1.51779,0,1754118169725,9
97.233,-341.381,-508.654,1.63078,-0.00131716,-1.51778,0,1754118169732,7
97.2456,-341.443,-508.675,1.63084,-0.00142017,-1.51777,0,1754118169740,8
97.2404,-341.447,-508.663,1.63078,-0.0013837,-1.51776,0,1754118169748,8
97.2801,-341.432,-508.709,1.6307,-0.00140581,-1.5178,0,1754118169757,9
97.2792,-341.428,-508.699,1.63068,-0.00143621,-1.51782,0,1754118169764,7
97.3076,-341.407,-508.728,1.63069,-0.00146088,-1.51772,0,1754118169773,9
97.3104,-341.404,-508.726,1.63069,-0.00147575,-1.51776,0,1754118169780,7
97.3122,-341.401,-508.721,1.63069,-0.0014661,-1.5177,0,1754118169788,8
97.3194,-341.397,-508.719,1.63069,-0.0014424,-1.51776,0,1754118169796,8
97.3705,-341.474,-508.846,1.63075,-0.00154342,-1.51752,0,1754118169804,8
