x,y,z,A,B,C,button,T,delta_ms
757.268,133.872,1078.01,-1.45852,1.56525,3.03937,0,1754118169500,0
757.273,133.855,1078.01,-1.44948,1.56526,3.0303,0,1754118169508,8
757.3,133.889,1078,-1.45365,1.56517,3.03448,0,1754118169517,9
757.309,133.877,1078,-1.45588,1.56522,3.03674,0,1754118169524,7
757.318,133.86,1078,-1.45086,1.56521,3.03168,0,1754118169533,9
757.295,133.887,1078.03,-1.47173,1.5652,3.0525,0,1754118169540,7
757.301,133.867,1078.03,-1.46757,1.56523,3.04838,0,1754118169549,9
757.275,133.897,1078.03,-1.46331,1.56529,3.04402,0,1754118169556,7
757.275,133.879,1078.03,-1.46497,1.56527,3.04571,0,1754118169564,8
757.278,133.863,1078.02,-1.46585,1.56526,3.04659,0,1754118169572,8
757.268,133.901,1078.02,-1.46212,1.56518,3.04294,0,1754118169580,8
757.275,133.887,1078.01,-1.46536,1.5652,3.04621,0,1754118169588,8
757.242,133.966,1078.03,-1.45807,1.56524,3.03884,0,1754118169596,8
757.242,133.96,1078.02,-1.45629,1.56527,3.03702,0,1754118169604,8
757.185,133.951,1078.09,-1.51059,1.56534,3.09131,0,1754118169613,9
757.18,133.947,1078.1,-1.52326,1.56534,3.10402,0,1754118169620,7
757.18,133.939,1078.1,-1.51438,1.56533,3.09517,0,1754118169629,9
757.235,133.872,1078.11,-1.55368,1.56513,3.13445,0,1754118169636,7
757.242,133.862,1078.12,-1.56679,1.56517,-3.13557,0,1754118169644,8
757.247,133.852,1078.12,-1.56279,1.56515,-3.13957,0,1754118169652,8
757.278,133.93,1078.02,-1.542,1.5652,3.12285,0,1754118169661,9
757.287,133.928,1078.01,-1.55074,1.5652,3.1316,0,1754118169668,7
757.283,134.021,1078.06,-1.54063,1.56524,3.12128,0,1754118169676,8
757.29,134.028,1078.06,-1.53617,1.56529,3.11691,0,1754118169684,8
757.3,134.034,1078.06,-1.5379,1.56523,3.11862,0,1754118169692,8
757.317,133.999,1078.08,-1.51517,1.56508,3.09579,0,1754118169700,8
757.329,134.006,1078.07,-1.51593,1.56507,3.09653,0,1754118169709,9
757.318,134.147,1078.15,-1.49637,1.56519,3.0769,0,1754118169716,7
757.328,134.161,1078.14,-1.49591,1.56519,3.07645,0,1754118169725,9
757.34,134.169,1078.14,-1.49568,1.56521,3.07623,0,1754118169732,7
757.325,134.147,1078.08,-1.47699,1.5652,3.05748,0,1754118169740,8
757.33,134.159,1078.08,-1.48351,1.56521,3.06405,0,1754118169748,8
757.292,134.113,1078.1,-1.48102,1.56517,3.06165,0,1754118169757,9
757.293,134.123,1078.1,-1.47613,1.56515,3.05678,0,1754118169764,7
757.266,134.093,1078.12,-1.46891,1.56524,3.04954,0,1754118169773,9
757.264,134.095,1078.12,-1.46746,1.5652,3.0481,0,1754118169780,7
757.262,134.1,1078.13,-1.46735,1.56526,3.04799,0,1754118169788,8
757.255,134.102,1078.13,-1.47337,1.56521,3.05402,0,1754118169796,8
757.204,133.973,1078.06,-1.44719,1.56542,3.02777,0,1754118169804,8
