x,y,z,A,B,C,button,T,delta_ms
757.09,133.979,1078.54,0.523313,-1.54678,0.515023,0,1754101451745,0
757.09,133.977,1078.54,0.523925,-1.5468,0.51566,0,1754101451749,4
757.091,133.975,1078.53,0.524538,-1.54682,0.516299,0,1754101451753,4
757.059,133.893,1078.5,0.525945,-1.54691,0.517724,0,1754101451757,4
757.027,133.811,1078.46,0.527362,-1.547,0.519161,0,1754101451761,4
757.023,133.882,1078.49,0.525947,-1.54694,0.517737,0,1754101451765,4
757.02,133.952,1078.53,0.524538,-1.54688,0.516321,0,1754101451769,4
757.015,133.949,1078.52,0.524656,-1.54691,0.516425,0,1754101451773,4
757.011,133.946,1078.52,0.524773,-1.54694,0.516529,0,1754101451777,4
757.022,133.947,1078.52,0.523283,-1.54685,0.515036,0,1754101451781,4
757.033,133.949,1078.51,0.521803,-1.54677,0.513554,0,1754101451785,4
757.032,133.947,1078.51,0.521781,-1.54679,0.513537,0,1754101451789,4
757.031,133.946,1078.51,0.52176,-1.54682,0.51352,0,1754101451793,4
757.028,133.945,1078.51,0.521372,-1.5468,0.513142,0,1754101451797,4
757.026,133.944,1078.51,0.520985,-1.54677,0.512765,0,1754101451801,4
757.039,133.944,1078.47,0.520917,-1.54678,0.51267,0,1754101451805,4
757.052,133.945,1078.44,0.520848,-1.54678,0.512574,0,1754101451809,4
757.052,133.944,1078.44,0.522448,-1.54677,0.514156,0,1754101451813,4
757.052,133.944,1078.43,0.524048,-1.54677,0.515738,0,1754101451817,4
757.029,133.934,1078.46,0.52331,-1.54675,0.515,0,1754101451821,4
757.006,133.925,1078.49,0.522572,-1.54674,0.514263,0,1754101451825,4
757.001,133.924,1078.48,0.522608,-1.54678,0.514308,0,1754101451829,4
756.997,133.923,1078.48,0.522643,-1.54682,0.514352,0,1754101451833,4
757.008,133.937,1078.5,0.520574,-1.54683,0.512343,0,1754101451837,4
757.019,133.951,1078.52,0.518503,-1.54684,0.510331,0,1754101451841,4
757.013,133.948,1078.52,0.519572,-1.54683,0.511415,0,1754101451845,4
757.007,133.946,1078.52,0.520641,-1.54682,0.512498,0,1754101451849,4
757.001,133.943,1078.52,0.519636,-1.54684,0.511511,0,1754101451853,4
756.995,133.941,1078.52,0.518629,-1.54687,0.510522,0,1754101451857,4
757.004,133.929,1078.51,0.520866,-1.54689,0.512742,0,1754101451861,4
757.013,133.917,1078.49,0.523109,-1.54692,0.514967,0,1754101451865,4
757.009,133.915,1078.49,0.522567,-1.54694,0.514407,0,1754101451869,4
757.005,133.912,1078.49,0.522024,-1.54695,0.513846,0,1754101451873,4
756.992,133.862,1078.43,0.519791,-1.54693,0.511525,0,1754101451877,4
756.978,133.812,1078.37,0.517562,-1.5469,0.50921,0,1754101451881,4
756.973,133.808,1078.36,0.518282,-1.54689,0.509957,0,1754101451885,4
756.967,133.805,1078.35,0.519002,-1.54688,0.510703,0,1754101451889,4
756.963,133.801,1078.35,0.519471,-1.54691,0.511177,0,1754101451893,4
756.96,133.798,1078.34,0.519942,-1.54695,0.511653,0,1754101451897,4
757.01,133.929,1078.44,0.518905,-1.54694,0.5107,0,1754101451901,4
757.06,134.06,1078.53,0.517868,-1.54694,0.509746,0,1754101451905,4
757.057,134.064,1078.53,0.518077,-1.54693,0.509946,0,1754101451909,4
757.054,134.068,1078.53,0.518286,-1.54692,0.510145,0,1754101451913,4
757.052,134.071,1078.53,0.518243,-1.54693,0.510109,0,1754101451917,4
757.05,134.075,1078.53,0.5182,-1.54694,0.510073,0,1754101451921,4
757.034,134.065,1078.56,0.517592,-1.54695,0.509466,0,1754101451925,4
