x,y,z,A,B,C,button,T,delta_ms
757.268,133.872,1078.01,-1.45852,1.56525,3.03937,0,1754118169500,0
757.27,133.868,1078.01,-1.45626,1.56525,3.0371,0,1754118169504,4
757.271,133.863,1078.01,-1.45401,1.56525,3.03483,0,1754118169508,4
757.275,133.865,1078.01,-1.45334,1.56524,3.03416,0,1754118169512,4
757.279,133.869,1078,-1.45331,1.56523,3.03414,0,1754118169516,4
757.283,133.872,1078,-1.45352,1.56523,3.03436,0,1754118169520,4
757.287,133.872,1078,-1.45386,1.56523,3.0347,0,1754118169524,4
757.29,133.872,1078,-1.45383,1.56522,3.03467,0,1754118169528,4
757.293,133.871,1078,-1.45356,1.56522,3.0344,0,1754118169532,4
757.295,133.871,1078,-1.45419,1.56522,3.03502,0,1754118169536,4
757.295,133.872,1078.01,-1.45579,1.56522,3.03662,0,1754118169540,4
757.297,133.873,1078.01,-1.45683,1.56522,3.03765,0,1754118169544,4
757.3,133.873,1078.01,-1.4581,1.56521,3.03891,0,1754118169548,4
757.301,133.876,1078.01,-1.45956,1.56521,3.04038,0,1754118169552,4
757.3,133.878,1078.02,-1.46065,1.56522,3.04145,0,1754118169556,4
757.298,133.878,1078.02,-1.46165,1.56523,3.04244,0,1754118169560,4
757.296,133.878,1078.02,-1.46259,1.56524,3.04338,0,1754118169564,4
757.293,133.877,1078.02,-1.46346,1.56524,3.04423,0,1754118169568,4
757.29,133.877,1078.02,-1.46457,1.56524,3.04534,0,1754118169572,4
757.286,133.879,1078.03,-1.46572,1.56525,3.04648,0,1754118169576,4
757.282,133.881,1078.03,-1.46593,1.56524,3.04669,0,1754118169580,4
757.28,133.882,1078.02,-1.4652,1.56524,3.04597,0,1754118169584,4
757.278,133.883,1078.02,-1.46479,1.56524,3.04556,0,1754118169588,4
757.274,133.888,1078.02,-1.46421,1.56524,3.04499,0,1754118169592,4
757.27,133.896,1078.02,-1.46351,1.56524,3.04429,0,1754118169596,4
757.267,133.902,1078.02,-1.46296,1.56524,3.04374,0,1754118169600,4
757.264,133.908,1078.02,-1.46225,1.56523,3.04303,0,1754118169604,4
757.258,133.915,1078.02,-1.46362,1.56524,3.0444,0,1754118169608,4
757.251,133.923,1078.03,-1.46711,1.56524,3.04789,0,1754118169612,4
757.242,133.931,1078.03,-1.47159,1.56525,3.05237,0,1754118169616,4
757.234,133.936,1078.04,-1.47691,1.56526,3.05769,0,1754118169620,4
757.226,133.94,1078.05,-1.4821,1.56528,3.06287,0,1754118169624,4
757.217,133.944,1078.06,-1.4868,1.56529,3.06757,0,1754118169628,4
757.211,133.947,1078.07,-1.49289,1.56529,3.07365,0,1754118169632,4
757.209,133.942,1078.07,-1.50143,1.56529,3.0822,0,1754118169636,4
757.209,133.933,1078.08,-1.51087,1.56528,3.09163,0,1754118169640,4
757.208,133.923,1078.09,-1.52094,1.56527,3.10171,0,1754118169644,4
757.209,133.914,1078.1,-1.53086,1.56526,3.11164,0,1754118169648,4
757.211,133.905,1078.11,-1.53837,1.56525,3.11915,0,1754118169652,4
757.218,133.899,1078.11,-1.54279,1.56523,3.12358,0,1754118169656,4
757.226,133.896,1078.1,-1.54531,1.56522,3.12611,0,1754118169660,4
757.235,133.895,1078.09,-1.5473,1.5652,3.12811,0,1754118169664,4
757.245,133.893,1078.08,-1.55009,1.56519,3.13091,0,1754118169668,4
757.255,133.896,1078.08,-1.55277,1.56518,3.13358,0,1754118169672,4
757.262,133.906,1078.07,-1.55358,1.56518,3.13439,0,1754118169676,4
757.266,133.92,1078.07,-1.55221,1.56519,3.13301,0,1754118169680,4
757.271,133.935,1078.06,-1.55004,1.56521,3.13083,0,1754118169684,4
757.276,133.95,1078.06,-1.54734,1.56521,3.12812,0,1754118169688,4
757.281,133.966,1078.05,-1.54488,1.56522,3.12565,0,1754118169692,4
757.287,133.981,1078.05,-1.54153,1.56522,3.12228,0,1754118169696,4
757.292,133.992,1078.05,-1.53797,1.56521,3.11871,0,1754118169700,4
757.296,133.999,1078.05,-1.5353,1.5652,3.11602,0,1754118169704,4
757.3,134.006,1078.06,-1.53255,1.56519,3.11324,0,1754118169708,4
757.304,134.018,1078.07,-1.52861,1.56518,3.10928,0,1754118169712,4
757.307,134.034,1078.08,-1.52414,1.56518,3.10479,0,1754118169716,4
757.31,134.046,1078.09,-1.52012,1.56518,3.10076,0,1754118169720,4
757.314,134.058,1078.09,-1.5163,1.56517,3.09693,0,1754118169724,4
757.318,134.071,1078.1,-1.51269,1.56516,3.09329,0,1754118169728,4
757.322,134.083,1078.11,-1.50898,1.56516,3.08957,0,1754118169732,4
757.325,134.095,1078.11,-1.50434,1.56515,3.08492,0,1754118169736,4
757.326,134.106,1078.12,-1.49987,1.56516,3.08043,0,1754118169740,4
757.327,134.12,1078.12,-1.49669,1.56517,3.07723,0,1754118169744,4
757.328,134.135,1078.11,-1.49375,1.56518,3.07429,0,1754118169748,4
757.327,134.147,1078.12,-1.49067,1.56519,3.07121,0,1754118169752,4
