x,y,z,A,B,C,button,T,delta_ms
175.999,-322.873,-607.671,1.82899,0.146902,-1.97553,0,1754118325300,0
176.014,-322.871,-607.676,1.82894,0.14683,-1.9755,0,1754118325308,8
175.875,-322.804,-607.491,1.82901,0.146909,-1.97542,0,1754118325317,9
175.882,-322.799,-607.484,1.82903,0.146894,-1.97545,0,1754118325324,7
175.805,-322.909,-607.644,1.8288,0.147058,-1.97525,0,1754118325332,8
175.794,-322.912,-607.647,1.8288,0.147102,-1.97522,0,1754118325340,8
175.784,-322.907,-607.65,1.82878,0.147091,-1.97523,0,1754118325349,9
175.87,-322.94,-607.577,1.82887,0.147026,-1.97523,0,1754118325356,7
175.873,-322.943,-607.571,1.82891,0.147002,-1.97526,0,1754118325364,8
175.812,-322.843,-607.365,1.82885,0.146988,-1.97532,0,1754118325373,9
175.813,-322.845,-607.355,1.82888,0.146989,-1.9753,0,1754118325380,7
175.82,-322.849,-607.341,1.82885,0.146992,-1.97536,0,1754118325388,8
175.677,-322.737,-607.293,1.82866,0.146867,-1.97536,0,1754118325397,9
175.669,-322.733,-607.285,1.82868,0.146857,-1.97536,0,1754118325404,7
175.806,-322.738,-607.27,1.82874,0.146947,-1.97551,0,1754118325412,8
175.815,-322.729,-607.256,1.82874,0.146989,-1.97554,0,1754118325420,8
175.827,-322.723,-607.244,1.82876,0.146982,-1.97554,0,1754118325428,8
175.82,-322.745,-607.306,1.82885,0.147006,-1.97552,0,1754118325436,8
175.833,-322.746,-607.292,1.82874,0.14706,-1.97546,0,1754118325444,8
175.93,-322.957,-607.625,1.82869,0.147119,-1.97549,0,1754118325452,8
175.87,-322.831,-607.36,1.82879,0.14699,-1.97545,0,1754118325461,9
175.882,-322.839,-607.355,1.82874,0.146955,-1.97542,0,1754118325468,7
175.932,-322.798,-607.464,1.82884,0.146876,-1.97539,0,1754118325476,8
175.945,-322.796,-607.463,1.82882,0.146811,-1.97533,0,1754118325485,9
175.841,-322.778,-607.548,1.82902,0.146802,-1.97563,0,1754118325492,7
175.849,-322.777,-607.555,1.82906,0.146854,-1.9756,0,1754118325500,8
175.851,-322.772,-607.555,1.82899,0.146807,-1.97559,0,1754118325508,8
175.842,-322.936,-607.589,1.82901,0.146858,-1.97568,0,1754118325516,8
175.842,-322.946,-607.587,1.82899,0.146894,-1.97559,0,1754118325525,9
175.761,-322.889,-607.329,1.82893,0.14681,-1.97555,0,1754118325532,7
175.759,-322.899,-607.312,1.8289,0.14684,-1.97556,0,1754118325540,8
175.759,-322.903,-607.294,1.82891,0.146906,-1.97556,0,1754118325548,8
175.711,-322.847,-607.175,1.82882,0.146792,-1.97558,0,1754118325556,8
175.714,-322.858,-607.162,1.82884,0.146749,-1.97554,0,1754118325564,8
175.896,-322.946,-607.493,1.82874,0.146932,-1.97561,0,1754118325572,8
175.831,-322.811,-607.242,1.82878,0.146686,-1.97551,0,1754118325580,8
175.831,-322.665,-607.245,1.82879,0.146847,-1.97553,0,1754118325589,9
175.849,-322.646,-607.239,1.82877,0.146769,-1.97557,0,1754118325597,8
175.867,-322.624,-607.23,1.82876,0.146775,-1.97552,0,1754118325605,8
