x,y,z,A,B,C,button,T,delta_ms
682.164,33.2369,1100.77,-2.10454,1.08229,-2.74957,0,1754118325300,0
682.149,33.2317,1100.78,-2.10438,1.08234,-2.7497,0,1754118325308,8
682.285,33.4214,1100.83,-2.10464,1.0824,-2.7495,0,1754118325317,9
682.278,33.4275,1100.84,-2.10461,1.08238,-2.74955,0,1754118325324,7
682.355,33.269,1100.73,-2.10484,1.08252,-2.74909,0,1754118325332,8
682.366,33.2661,1100.72,-2.10494,1.08254,-2.74898,0,1754118325340,8
682.376,33.2632,1100.73,-2.10489,1.08254,-2.749,0,1754118325349,9
682.287,33.3334,1100.7,-2.10486,1.08255,-2.74914,0,1754118325356,7
682.283,33.34,1100.7,-2.10483,1.08253,-2.74921,0,1754118325364,8
682.343,33.5483,1100.79,-2.1047,1.08247,-2.74927,0,1754118325373,9
682.341,33.5578,1100.79,-2.10476,1.0825,-2.74926,0,1754118325380,7
682.334,33.5718,1100.79,-2.10468,1.08243,-2.74929,0,1754118325388,8
682.48,33.6249,1100.89,-2.10429,1.08247,-2.74953,0,1754118325397,9
682.488,33.633,1100.9,-2.10429,1.08248,-2.74955,0,1754118325404,7
682.351,33.6439,1100.9,-2.10441,1.08231,-2.74945,0,1754118325412,8
682.342,33.6579,1100.91,-2.10447,1.08227,-2.74937,0,1754118325420,8
682.33,33.6695,1100.91,-2.10447,1.08227,-2.74939,0,1754118325428,8
682.337,33.608,1100.89,-2.10462,1.08228,-2.74934,0,1754118325436,8
682.324,33.6217,1100.89,-2.10465,1.08233,-2.74919,0,1754118325444,8
682.227,33.2844,1100.69,-2.10469,1.08228,-2.74908,0,1754118325452,8
682.286,33.5519,1100.81,-2.10457,1.08235,-2.74933,0,1754118325461,9
682.273,33.5564,1100.8,-2.10449,1.08239,-2.74938,0,1754118325468,7
682.228,33.4459,1100.84,-2.10445,1.08244,-2.74954,0,1754118325476,8
682.215,33.4466,1100.85,-2.10435,1.08251,-2.74964,0,1754118325485,9
682.321,33.3646,1100.86,-2.10432,1.08223,-2.74983,0,1754118325492,7
682.314,33.358,1100.86,-2.10447,1.08224,-2.74972,0,1754118325500,8
682.312,33.3578,1100.87,-2.10433,1.08226,-2.7498,0,1754118325508,8
682.315,33.3223,1100.7,-2.10438,1.08217,-2.74975,0,1754118325516,8
682.315,33.3244,1100.69,-2.10448,1.08224,-2.74962,0,1754118325525,9
682.391,33.5853,1100.74,-2.1043,1.0823,-2.74977,0,1754118325532,7
682.392,33.6017,1100.73,-2.10433,1.08229,-2.74971,0,1754118325540,8
682.391,33.6201,1100.73,-2.10445,1.08226,-2.74958,0,1754118325548,8
682.438,33.7406,1100.78,-2.10415,1.08228,-2.74981,0,1754118325556,8
682.435,33.754,1100.77,-2.10411,1.08233,-2.74988,0,1754118325564,8
682.258,33.4165,1100.69,-2.10432,1.08222,-2.74953,0,1754118325572,8
682.322,33.6708,1100.82,-2.10397,1.08238,-2.74999,0,1754118325580,8
682.328,33.6694,1100.97,-2.10426,1.08232,-2.74966,0,1754118325589,9
682.311,33.6754,1100.99,-2.10407,1.0823,-2.74985,0,1754118325597,8
682.293,33.6841,1101.01,-2.1041,1.08235,-2.74981,0,1754118325605,8
