x,y,z,A,B,C,button,T,delta_ms
682.164,33.2369,1100.77,-2.10454,1.08229,-2.74957,0,1754118325300,0
682.156,33.2343,1100.77,-2.10446,1.08232,-2.74964,0,1754118325304,4
682.149,33.2317,1100.78,-2.10438,1.08234,-2.7497,0,1754118325308,4
682.209,33.316,1100.8,-2.1045,1.08237,-2.74961,0,1754118325312,4
682.27,33.4003,1100.83,-2.10461,1.08239,-2.74952,0,1754118325316,4
682.282,33.424,1100.84,-2.10463,1.08239,-2.74952,0,1754118325320,4
682.278,33.4275,1100.84,-2.10461,1.08238,-2.74955,0,1754118325324,4
682.316,33.3482,1100.78,-2.10473,1.08245,-2.74932,0,1754118325328,4
682.355,33.269,1100.73,-2.10484,1.08252,-2.74909,0,1754118325332,4
682.36,33.2675,1100.73,-2.10489,1.08253,-2.74903,0,1754118325336,4
682.366,33.2661,1100.72,-2.10494,1.08254,-2.74898,0,1754118325340,4
682.37,33.2648,1100.73,-2.10492,1.08254,-2.74899,0,1754118325344,4
682.375,33.2635,1100.73,-2.1049,1.08254,-2.749,0,1754118325348,4
682.338,33.2933,1100.72,-2.10488,1.08254,-2.74906,0,1754118325352,4
682.287,33.3334,1100.7,-2.10486,1.08255,-2.74914,0,1754118325356,4
682.285,33.3367,1100.7,-2.10485,1.08254,-2.74918,0,1754118325360,4
682.283,33.34,1100.7,-2.10483,1.08253,-2.74921,0,1754118325364,4
682.31,33.4326,1100.74,-2.10477,1.0825,-2.74924,0,1754118325368,4
682.336,33.5251,1100.78,-2.10472,1.08248,-2.74927,0,1754118325372,4
682.342,33.5523,1100.79,-2.10473,1.08248,-2.74927,0,1754118325376,4
682.341,33.5578,1100.79,-2.10476,1.0825,-2.74926,0,1754118325380,4
682.338,33.5648,1100.79,-2.10472,1.08246,-2.74927,0,1754118325384,4
682.334,33.5718,1100.79,-2.10468,1.08243,-2.74929,0,1754118325388,4
682.399,33.5954,1100.83,-2.10451,1.08245,-2.74939,0,1754118325392,4
682.463,33.619,1100.88,-2.10433,1.08247,-2.7495,0,1754118325396,4
682.483,33.6284,1100.89,-2.10429,1.08247,-2.74953,0,1754118325400,4
682.488,33.633,1100.9,-2.10429,1.08248,-2.74955,0,1754118325404,4
682.42,33.6385,1100.9,-2.10435,1.08239,-2.7495,0,1754118325408,4
682.351,33.6439,1100.9,-2.10441,1.08231,-2.74945,0,1754118325412,4
682.346,33.6509,1100.9,-2.10444,1.08229,-2.74941,0,1754118325416,4
682.342,33.6579,1100.91,-2.10447,1.08227,-2.74937,0,1754118325420,4
682.336,33.6637,1100.91,-2.10447,1.08227,-2.74938,0,1754118325424,4
682.33,33.6695,1100.91,-2.10447,1.08227,-2.74939,0,1754118325428,4
