x,y,z,A,B,C,button,T,delta_ms
682.164,33.2369,1100.77,-2.10454,1.08229,-2.74957,0,1754118325300,0
682.16,33.2356,1100.77,-2.1045,1.08231,-2.74961,0,1754118325304,4
682.156,33.2343,1100.77,-2.10446,1.08232,-2.74964,0,1754118325308,4
682.169,33.2547,1100.78,-2.10447,1.08233,-2.74963,0,1754118325312,4
682.19,33.2838,1100.79,-2.1045,1.08234,-2.74961,0,1754118325316,4
682.205,33.3072,1100.8,-2.10452,1.08235,-2.7496,0,1754118325320,4
682.215,33.3244,1100.8,-2.10453,1.08235,-2.74959,0,1754118325324,4
682.228,33.3274,1100.8,-2.10456,1.08237,-2.74956,0,1754118325328,4
682.242,33.3209,1100.79,-2.10459,1.08238,-2.7495,0,1754118325332,4
682.254,33.3155,1100.79,-2.10462,1.0824,-2.74946,0,1754118325336,4
682.264,33.311,1100.78,-2.10465,1.08241,-2.74941,0,1754118325340,4
682.283,33.3136,1100.78,-2.10468,1.08243,-2.74936,0,1754118325344,4
682.303,33.3162,1100.77,-2.10472,1.08245,-2.7493,0,1754118325348,4
682.32,33.3218,1100.77,-2.10477,1.08247,-2.74924,0,1754118325352,4
682.327,33.3234,1100.76,-2.1048,1.08249,-2.7492,0,1754118325356,4
682.328,33.3176,1100.75,-2.10482,1.0825,-2.74917,0,1754118325360,4
682.328,33.31,1100.73,-2.10484,1.08252,-2.74914,0,1754118325364,4
682.331,33.3105,1100.72,-2.10486,1.08253,-2.74911,0,1754118325368,4
682.333,33.3265,1100.72,-2.10485,1.08253,-2.74911,0,1754118325372,4
682.332,33.3523,1100.73,-2.10484,1.08253,-2.74913,0,1754118325376,4
682.33,33.3787,1100.74,-2.10483,1.08252,-2.74915,0,1754118325380,4
682.328,33.4058,1100.74,-2.10481,1.08252,-2.74917,0,1754118325384,4
682.324,33.4338,1100.75,-2.10479,1.08251,-2.7492,0,1754118325388,4
682.327,33.4639,1100.76,-2.10476,1.0825,-2.74924,0,1754118325392,4
682.338,33.4935,1100.77,-2.10471,1.08249,-2.74928,0,1754118325396,4
682.356,33.5204,1100.79,-2.10465,1.08248,-2.74931,0,1754118325400,4
682.374,33.5473,1100.81,-2.1046,1.08248,-2.74934,0,1754118325404,4
682.387,33.5744,1100.83,-2.10456,1.08247,-2.74937,0,1754118325408,4
682.39,33.5936,1100.84,-2.10453,1.08245,-2.74939,0,1754118325412,4
682.391,33.6051,1100.85,-2.1045,1.08243,-2.7494,0,1754118325416,4
682.391,33.6147,1100.86,-2.10448,1.08241,-2.74941,0,1754118325420,4
682.391,33.6243,1100.87,-2.10445,1.08239,-2.74942,0,1754118325424,4
