x,y,z,A,B,C,T,delta_ms
267.224,-345.426,-2445.13,1.59275,0.0274738,-0.543914,1749115553639,0
267.22,-345.425,-2445.09,1.59284,0.0274263,-0.543893,1749115553648,9
267.253,-345.497,-2445.53,1.59277,0.0274214,-0.543951,1749115553656,8
267.248,-345.505,-2445.5,1.59274,0.0274084,-0.543921,1749115553665,9
267.244,-345.505,-2445.47,1.59276,0.0274007,-0.543917,1749115553673,8
267.262,-345.502,-2445.66,1.59266,0.0273028,-0.543891,1749115553680,7
267.252,-345.498,-2445.62,1.59275,0.0273011,-0.544037,1749115553689,9
267.237,-345.49,-2445.61,1.59272,0.0273307,-0.544028,1749115553698,9
267.226,-345.483,-2445.58,1.59273,0.0272908,-0.543996,1749115553705,7
267.213,-345.471,-2445.56,1.59271,0.0273002,-0.543948,1749115553715,10
267.2,-345.471,-2445.55,1.59263,0.0274226,-0.543947,1749115553723,8
267.187,-345.467,-2445.51,1.59273,0.0273194,-0.544048,1749115553731,8
267.167,-345.473,-2445.5,1.59273,0.0273609,-0.543979,1749115553739,8
267.177,-345.479,-2445.47,1.59266,0.0273628,-0.543975,1749115553748,9
267.172,-345.494,-2445.46,1.59271,0.0273224,-0.544,1749115553756,8
267.17,-345.507,-2445.43,1.59277,0.0273721,-0.543998,1749115553765,9
267.169,-345.521,-2445.4,1.59267,0.0273423,-0.544001,1749115553773,8
267.16,-345.52,-2445.38,1.59269,0.0273387,-0.543991,1749115553781,8
267.154,-345.516,-2445.35,1.59269,0.0273746,-0.544016,1749115553789,8
267.348,-345.438,-2445.52,1.59273,0.0272608,-0.543921,1749115553797,8
267.341,-345.434,-2445.49,1.5927,0.0272798,-0.543865,1749115553806,9
267.331,-345.423,-2445.48,1.59264,0.0272043,-0.5439,1749115553814,8
267.266,-345.395,-2445.44,1.59265,0.0274582,-0.543893,1749115553822,8
267.268,-345.391,-2445.41,1.59269,0.0274831,-0.543966,1749115553831,9
267.335,-345.508,-2445.86,1.59258,0.0274175,-0.543994,1749115553839,8
267.332,-345.507,-2445.85,1.59261,0.0273858,-0.544029,1749115553848,9
267.477,-345.429,-2445.83,1.5926,0.0273698,-0.544025,1749115553855,7
267.494,-345.425,-2445.81,1.59261,0.0274114,-0.54408,1749115553865,10
267.491,-345.427,-2445.81,1.5926,0.0272958,-0.544036,1749115553872,7
267.508,-345.429,-2445.79,1.59255,0.0273001,-0.543942,1749115553881,9
267.515,-345.413,-2445.77,1.59258,0.0272916,-0.544067,1749115553889,8
267.521,-345.4,-2445.76,1.59256,0.0273205,-0.543991,1749115553898,9
267.53,-345.388,-2445.73,1.59259,0.0273393,-0.544036,1749115553905,7
267.526,-345.377,-2445.72,1.59267,0.0272599,-0.543947,1749115553915,10
267.525,-345.363,-2445.7,1.59263,0.027357,-0.544,1749115553923,8
267.538,-345.349,-2445.68,1.59263,0.0274032,-0.543993,1749115553931,8
267.567,-345.325,-2445.61,1.59256,0.0273476,-0.544008,1749115553940,9
267.378,-345.566,-2446.44,1.59249,0.0274519,-0.543951,1749115553962,22
267.397,-345.574,-2446.22,1.59256,0.0274165,-0.543928,1749115554020,58
267.407,-345.573,-2446.21,1.59252,0.0273547,-0.543893,1749115554067,47
267.402,-345.614,-2446.34,1.59247,0.0273858,-0.543934,1749115554073,6
267.345,-345.554,-2446.05,1.59249,0.0274695,-0.54392,1749115554082,9
267.3,-345.526,-2446.08,1.59251,0.0274776,-0.543883,1749115554099,17
267.293,-345.516,-2446.06,1.59241,0.0275164,-0.543881,1749115554106,7
267.281,-345.524,-2445.84,1.59247,0.0275764,-0.5439,1749115554117,11
267.278,-345.524,-2445.82,1.59244,0.027676,-0.543912,1749115554123,6
267.269,-345.528,-2445.81,1.59246,0.0276021,-0.543943,1749115554130,7
267.39,-345.473,-2445.76,1.59248,0.027498,-0.543885,1749115554139,9
267.401,-345.469,-2445.73,1.59246,0.0276466,-0.543833,1749115554147,8
267.416,-345.518,-2445.91,1.59242,0.0276008,-0.543924,1749115554156,9
267.43,-345.534,-2445.89,1.59242,0.0275697,-0.543871,1749115554164,8
267.436,-345.534,-2445.88,1.59242,0.0275925,-0.543925,1749115554172,8
267.444,-345.53,-2445.86,1.59246,0.0275378,-0.543961,1749115554181,9
267.447,-345.528,-2445.85,1.59244,0.0276615,-0.543969,1749115554189,8
267.448,-345.526,-2445.84,1.59246,0.0275463,-0.543941,1749115554197,8
267.453,-345.519,-2445.82,1.59247,0.0275613,-0.543913,1749115554206,9
267.303,-345.525,-2445.85,1.59239,0.0277374,-0.543907,1749115554215,9
267.308,-345.523,-2445.82,1.59233,0.0278126,-0.543956,1749115554223,8
