x,y,z,A,B,C,T,delta_ms
976.372,-193.764,807.96,3.13774,-0.000578739,-3.13322,1749115553639,0
976.364,-193.773,807.962,3.13784,-0.000613942,-3.1332,1749115553648,9
976.389,-193.637,807.936,3.13781,-0.000620506,-3.13323,1749115553656,8
976.399,-193.578,807.921,3.13778,-0.000628466,-3.13323,1749115553665,9
976.402,-193.548,807.913,3.13778,-0.000633814,-3.13323,1749115553673,8
976.408,-193.499,807.907,3.13776,-0.000658902,-3.13322,1749115553680,7
976.409,-193.468,807.904,3.13776,-0.000673866,-3.13324,1749115553689,9
976.409,-193.446,807.902,3.13775,-0.00068089,-3.13326,1749115553698,9
976.407,-193.432,807.902,3.13775,-0.000691008,-3.13326,1749115553705,7
976.403,-193.422,807.903,3.13775,-0.000698177,-3.13326,1749115553715,10
976.402,-193.418,807.903,3.13774,-0.000692742,-3.13326,1749115553723,8
976.397,-193.415,807.904,3.13774,-0.000696382,-3.13327,1749115553731,8
976.392,-193.413,807.905,3.13774,-0.000696031,-3.13327,1749115553739,8
976.388,-193.414,807.904,3.13773,-0.000696252,-3.13327,1749115553748,9
976.384,-193.416,807.903,3.13773,-0.000698913,-3.13327,1749115553756,8
976.38,-193.419,807.902,3.13773,-0.000697365,-3.13328,1749115553765,9
976.377,-193.424,807.899,3.13773,-0.000698691,-3.13328,1749115553773,8
976.373,-193.429,807.897,3.13773,-0.000699889,-3.13328,1749115553781,8
976.369,-193.435,807.896,3.13773,-0.000698992,-3.13328,1749115553789,8
976.375,-193.433,807.898,3.13773,-0.000703919,-3.13328,1749115553797,8
976.381,-193.417,807.898,3.13773,-0.000707616,-3.13327,1749115553806,9
976.386,-193.4,807.897,3.13772,-0.0007199,-3.13327,1749115553814,8
976.386,-193.406,807.902,3.13771,-0.000718884,-3.13327,1749115553822,8
976.388,-193.411,807.908,3.13771,-0.00071549,-3.13327,1749115553831,9
976.394,-193.395,807.907,3.1377,-0.000715793,-3.13328,1749115553839,8
976.4,-193.387,807.907,3.1377,-0.00071199,-3.13329,1749115553848,9
976.413,-193.379,807.91,3.13769,-0.000709543,-3.13328,1749115553855,7
976.428,-193.373,807.913,3.13768,-0.000706248,-3.13329,1749115553865,10
976.442,-193.365,807.915,3.13768,-0.000706832,-3.13329,1749115553872,7
976.458,-193.358,807.917,3.13767,-0.00070785,-3.13329,1749115553881,9
976.473,-193.349,807.919,3.13767,-0.000714635,-3.13329,1749115553889,8
976.491,-193.341,807.922,3.13766,-0.000715689,-3.13329,1749115553898,9
976.51,-193.334,807.926,3.13765,-0.000717647,-3.1333,1749115553905,7
976.528,-193.323,807.931,3.13765,-0.000722718,-3.13329,1749115553915,10
976.547,-193.314,807.937,3.13765,-0.000721454,-3.13329,1749115553923,8
976.567,-193.306,807.945,3.13764,-0.000720838,-3.13329,1749115553931,8
976.588,-193.299,807.954,3.13764,-0.000721265,-3.13329,1749115553940,9
976.607,-193.25,807.951,3.13763,-0.000716943,-3.13329,1749115553962,22
976.625,-193.21,807.947,3.13762,-0.000715724,-3.13329,1749115554020,58
976.633,-193.179,807.939,3.13761,-0.000712387,-3.13329,1749115554067,47
976.643,-193.14,807.929,3.1376,-0.000708589,-3.13329,1749115554073,6
976.65,-193.114,807.922,3.13759,-0.000696396,-3.13329,1749115554082,9
976.656,-193.084,807.915,3.13758,-0.000696358,-3.13329,1749115554099,17
976.661,-193.055,807.908,3.13757,-0.000696546,-3.13329,1749115554106,7
976.66,-193.057,807.907,3.13756,-0.000689414,-3.13328,1749115554117,11
976.661,-193.061,807.906,3.13755,-0.000676131,-3.13327,1749115554123,6
976.653,-193.062,807.9,3.13754,-0.000665564,-3.13327,1749115554130,7
976.648,-193.066,807.898,3.13753,-0.000662177,-3.13326,1749115554139,9
976.648,-193.071,807.895,3.13753,-0.000645747,-3.13325,1749115554147,8
976.647,-193.066,807.89,3.13752,-0.000631668,-3.13325,1749115554156,9
976.647,-193.062,807.884,3.13751,-0.000619007,-3.13324,1749115554164,8
976.647,-193.058,807.877,3.1375,-0.00060643,-3.13324,1749115554172,8
976.646,-193.053,807.869,3.13749,-0.000597447,-3.13323,1749115554181,9
976.647,-193.05,807.861,3.13748,-0.000579017,-3.13323,1749115554189,8
976.646,-193.045,807.852,3.13747,-0.000570808,-3.13323,1749115554197,8
976.644,-193.04,807.843,3.13746,-0.000564052,-3.13323,1749115554206,9
976.637,-193.029,807.833,3.13745,-0.000545839,-3.13322,1749115554215,9
976.634,-193.061,807.835,3.13744,-0.000529027,-3.13322,1749115554223,8
976.631,-193.084,807.837,3.13743,-0.00051183,-3.13322,1749115554231,8
976.632,-193.097,807.837,3.13742,-0.000497409,-3.13322,1749115554239,8
976.631,-193.119,807.839,3.13741,-0.000487344,-3.13323,1749115554248,9
976.638,-193.113,807.837,3.13739,-0.000485519,-3.13323,1749115554255,7
976.648,-193.108,807.834,3.13738,-0.000482935,-3.13324,1749115554264,9
976.66,-193.097,807.828,3.13738,-0.000482745,-3.13324,1749115554274,10
976.675,-193.076,807.823,3.13737,-0.000485925,-3.13324,1749115554281,7
976.689,-193.054,807.817,3.13737,-0.000495264,-3.13324,1749115554289,8
976.709,-193.018,807.81,3.13737,-0.00050333,-3.13324,1749115554297,8
976.725,-192.98,807.8,3.13736,-0.000505258,-3.13324,1749115554306,9
976.735,-192.945,807.793,3.13736,-0.000512851,-3.13325,1749115554315,9
976.745,-192.918,807.788,3.13735,-0.000518914,-3.13325,1749115554323,8
976.754,-192.888,807.783,3.13736,-0.000523105,-3.13326,1749115554331,8
976.763,-192.842,807.775,3.13735,-0.00052687,-3.13326,1749115554340,9
976.773,-192.795,807.765,3.13734,-0.000527261,-3.13326,1749115554347,7
976.781,-192.752,807.756,3.13733,-0.000530339,-3.13326,1749115554356,9
976.788,-192.708,807.747,3.13732,-0.000536279,-3.13326,1749115554364,8
976.79,-192.675,807.74,3.13732,-0.000540428,-3.13327,1749115554372,8
976.798,-192.643,807.734,3.13731,-0.000549518,-3.13327,1749115554381,9
976.806,-192.609,807.727,3.13732,-0.000559217,-3.13328,1749115554389,8
976.813,-192.578,807.722,3.13732,-0.000570055,-3.13328,1749115554398,9
976.815,-192.555,807.719,3.13732,-0.000574671,-3.13329,1749115554405,7
976.817,-192.533,807.716,3.13733,-0.000575616,-3.13329,1749115554415,10
976.814,-192.526,807.713,3.13733,-0.000572087,-3.1333,1749115554423,8
976.811,-192.519,807.71,3.13733,-0.000568158,-3.1333,1749115554430,7
976.811,-192.504,807.706,3.13733,-0.00056311,-3.13331,1749115554439,9
976.809,-192.487,807.702,3.13734,-0.00056561,-3.13332,1749115554447,8
976.808,-192.473,807.7,3.13734,-0.000555101,-3.13333,1749115554456,9
976.802,-192.474,807.7,3.13733,-0.000545848,-3.13333,1749115554464,8
976.795,-192.474,807.699,3.13732,-0.000542244,-3.13334,1749115554472,8
976.786,-192.479,807.695,3.13732,-0.000539428,-3.13335,1749115554481,9
976.777,-192.485,807.69,3.13732,-0.000535611,-3.13335,1749115554489,8
976.771,-192.489,807.686,3.13732,-0.000532719,-3.13336,1749115554497,8
976.763,-192.509,807.687,3.13732,-0.00053627,-3.13337,1749115554505,8
976.756,-192.521,807.691,3.13732,-0.000544205,-3.13338,1749115554515,10
976.749,-192.528,807.695,3.13732,-0.000554697,-3.1334,1749115554523,8
976.744,-192.536,807.698,3.13732,-0.000561397,-3.13341,1749115554530,7
976.744,-192.531,807.7,3.13732,-0.000571372,-3.13342,1749115554539,9
976.74,-192.541,807.704,3.13732,-0.000584094,-3.13343,1749115554548,9
976.737,-192.551,807.708,3.13732,-0.000597469,-3.13344,1749115554555,7
976.736,-192.557,807.71,3.13732,-0.000611437,-3.13345,1749115554565,10
976.73,-192.574,807.715,3.13732,-0.00062395,-3.13346,1749115554573,8
976.727,-192.587,807.721,3.13732,-0.000632997,-3.13346,1749115554580,7
976.721,-192.597,807.725,3.13733,-0.000642106,-3.13346,1749115554589,9
976.715,-192.606,807.729,3.13733,-0.000656034,-3.13346,1749115554597,8
976.702,-192.63,807.737,3.13733,-0.000666827,-3.13347,1749115554606,9
976.691,-192.653,807.744,3.13733,-0.000668938,-3.13347,1749115554614,8
976.682,-192.676,807.748,3.13733,-0.000681799,-3.13347,1749115554622,8
976.673,-192.696,807.752,3.13734,-0.00069546,-3.13348,1749115554631,9
976.665,-192.717,807.756,3.13735,-0.000703311,-3.13348,1749115554639,8
976.662,-192.727,807.761,3.13735,-0.000713157,-3.13348,1749115554648,9
976.66,-192.722,807.764,3.13736,-0.00072609,-3.13348,1749115554656,8
976.655,-192.721,807.767,3.13737,-0.000737948,-3.13347,1749115554665,9
976.653,-192.719,807.769,3.13738,-0.000741775,-3.13347,1749115554673,8
976.655,-192.712,807.765,3.13738,-0.000739467,-3.13347,1749115554680,7
976.655,-192.702,807.761,3.13739,-0.00074409,-3.13346,1749115554690,10
976.657,-192.694,807.756,3.13739,-0.000743765,-3.13345,1749115554697,7
976.655,-192.699,807.754,3.1374,-0.000748789,-3.13345,1749115554706,9
976.657,-192.69,807.75,3.1374,-0.00075317,-3.13345,1749115554714,8
976.658,-192.679,807.744,3.1374,-0.000760215,-3.13344,1749115554722,8
976.653,-192.68,807.742,3.1374,-0.000762626,-3.13343,1749115554731,9
976.654,-192.67,807.737,3.13741,-0.000767044,-3.13343,1749115554739,8
976.653,-192.66,807.731,3.13741,-0.000778309,-3.13343,1749115554747,8
976.657,-192.639,807.724,3.13742,-0.000787355,-3.13344,1749115554755,8
976.662,-192.618,807.716,3.13742,-0.000791758,-3.13345,1749115554765,10
976.666,-192.595,807.708,3.13743,-0.000800091,-3.13345,1749115554773,8
976.671,-192.577,807.7,3.13743,-0.00080951,-3.13345,1749115554780,7
976.671,-192.556,807.693,3.13744,-0.000826293,-3.13345,1749115554789,9
976.673,-192.534,807.687,3.13745,-0.000834799,-3.13346,1749115554798,9
976.674,-192.512,807.679,3.13745,-0.000842198,-3.13346,1749115554806,8
976.674,-192.489,807.673,3.13745,-0.000855122,-3.13346,1749115554815,9
976.671,-192.471,807.667,3.13745,-0.000854087,-3.13346,1749115554823,8
976.667,-192.452,807.661,3.13746,-0.000854362,-3.13345,1749115554831,8
976.661,-192.43,807.655,3.13747,-0.000859158,-3.13345,1749115554839,8
976.664,-192.405,807.651,3.13747,-0.000877703,-3.13345,1749115554848,9
976.67,-192.381,807.646,3.13748,-0.000889514,-3.13345,1749115554855,7
976.676,-192.355,807.641,3.13749,-0.00090064,-3.13345,1749115554865,10
976.69,-192.295,807.633,3.13749,-0.000905815,-3.13345,1749115554873,8
976.704,-192.235,807.624,3.13749,-0.00091596,-3.13345,1749115554880,7
976.716,-192.171,807.615,3.1375,-0.000923552,-3.13345,1749115554889,9
976.735,-192.095,807.603,3.1375,-0.0009286,-3.13345,1749115554897,8
976.755,-192.018,807.59,3.13749,-0.000933917,-3.13345,1749115554906,9
976.781,-191.92,807.577,3.13748,-0.000939635,-3.13345,1749115554915,9
976.806,-191.831,807.566,3.13747,-0.000947679,-3.13345,1749115554922,7
976.829,-191.754,807.556,3.13745,-0.000952738,-3.13345,1749115554932,10
976.852,-191.674,807.546,3.13745,-0.000958675,-3.13345,1749115554940,8
976.875,-191.587,807.536,3.13744,-0.00096452,-3.13345,1749115554948,8
976.897,-191.507,807.526,3.13743,-0.000956975,-3.13345,1749115554955,7
976.919,-191.426,807.516,3.13742,-0.000953625,-3.13344,1749115554965,10
976.94,-191.349,807.506,3.13741,-0.000954012,-3.13344,1749115554973,8
976.964,-191.269,807.497,3.13741,-0.000946183,-3.13343,1749115554981,8
976.985,-191.217,807.492,3.13741,-0.000946115,-3.13344,1749115554989,8
977.006,-191.166,807.488,3.13741,-0.000946359,-3.13344,1749115554998,9
977.028,-191.114,807.484,3.1374,-0.000947572,-3.13343,1749115555006,8
977.035,-191.075,807.48,3.13739,-0.000934086,-3.13343,1749115555015,9
977.042,-191.035,807.477,3.13739,-0.000921473,-3.13342,1749115555022,7
977.047,-191.01,807.475,3.13739,-0.000916867,-3.13342,1749115555032,10
977.047,-191.003,807.475,3.13738,-0.000910068,-3.13343,1749115555041,9
977.048,-190.997,807.474,3.13739,-0.000900564,-3.13342,1749115555048,7
977.051,-190.999,807.476,3.13739,-0.000898548,-3.13342,1749115555057,9
977.054,-191.002,807.477,3.1374,-0.000899619,-3.13341,1749115555065,8
977.059,-191.001,807.477,3.1374,-0.000903422,-3.13341,1749115555073,8
977.058,-191.02,807.478,3.13742,-0.000901657,-3.13341,1749115555082,9
977.058,-191.038,807.482,3.13744,-0.000895724,-3.1334,1749115555090,8
977.059,-191.047,807.486,3.13746,-0.00089718,-3.13339,1749115555098,8
977.061,-191.058,807.489,3.13747,-0.000895283,-3.13338,1749115555105,7
977.058,-191.081,807.495,3.13748,-0.000890135,-3.13337,1749115555115,10
977.057,-191.098,807.499,3.13749,-0.000890014,-3.13337,1749115555123,8
977.052,-191.131,807.508,3.1375,-0.000889511,-3.13337,1749115555131,8
977.046,-191.161,807.517,3.13751,-0.000888089,-3.13337,1749115555139,8
977.04,-191.192,807.525,3.13752,-0.000892263,-3.13337,1749115555148,9
977.039,-191.202,807.529,3.13752,-0.000894174,-3.13336,1749115555157,9
977.038,-191.212,807.534,3.13753,-0.000898154,-3.13336,1749115555165,8
977.038,-191.223,807.538,3.13754,-0.000898195,-3.13337,1749115555173,8
977.039,-191.238,807.543,3.13755,-0.00089913,-3.13337,1749115555180,7
977.04,-191.254,807.549,3.13756,-0.000901971,-3.13337,1749115555190,10
977.041,-191.255,807.553,3.13757,-0.000902305,-3.13337,1749115555197,7
977.042,-191.257,807.556,3.13758,-0.000904421,-3.13337,1749115555206,9
977.044,-191.26,807.559,3.13759,-0.000905192,-3.13336,1749115555215,9
977.045,-191.257,807.559,3.13759,-0.000898339,-3.13336,1749115555223,8
977.042,-191.26,807.563,3.1376,-0.000894755,-3.13336,1749115555230,7
977.037,-191.27,807.568,3.13761,-0.00089503,-3.13336,1749115555239,9
977.031,-191.28,807.573,3.13761,-0.000893422,-3.13336,1749115555248,9
977.023,-191.291,807.575,3.13761,-0.000901211,-3.13336,1749115555256,8
977.014,-191.302,807.577,3.13762,-0.000903912,-3.13336,1749115555265,9
977.003,-191.313,807.579,3.13762,-0.000911196,-3.13336,1749115555273,8
976.997,-191.313,807.58,3.13763,-0.000920928,-3.13336,1749115555280,7
976.993,-191.313,807.582,3.13764,-0.000929812,-3.13336,1749115555289,9
976.99,-191.309,807.584,3.13765,-0.000937961,-3.13335,1749115555297,8
976.987,-191.307,807.586,3.13766,-0.000947407,-3.13335,1749115555306,9
976.985,-191.306,807.589,3.13767,-0.000951635,-3.13335,1749115555314,8
976.982,-191.305,807.591,3.13767,-0.000961603,-3.13335,1749115555322,8
976.976,-191.312,807.596,3.13768,-0.000968253,-3.13335,1749115555330,8
976.969,-191.32,807.601,3.13769,-0.000976995,-3.13335,1749115555339,9
976.962,-191.33,807.601,3.13769,-0.000984412,-3.13335,1749115555347,8
976.956,-191.338,807.601,3.1377,-0.000990153,-3.13335,1749115555356,9
976.948,-191.35,807.6,3.1377,-0.000994998,-3.13335,1749115555365,9
976.94,-191.366,807.604,3.1377,-0.000999858,-3.13335,1749115555373,8
976.932,-191.382,807.609,3.1377,-0.000999895,-3.13335,1749115555380,7
976.92,-191.393,807.612,3.13771,-0.00100338,-3.13335,1749115555389,9
976.91,-191.399,807.614,3.13771,-0.00100651,-3.13336,1749115555397,8
976.901,-191.404,807.615,3.13771,-0.00100157,-3.13336,1749115555406,9
976.891,-191.414,807.616,3.13772,-0.00100288,-3.13336,1749115555414,8
976.883,-191.424,807.617,3.13771,-0.000999236,-3.13336,1749115555423,9
976.882,-191.431,807.616,3.13771,-0.00100203,-3.13337,1749115555430,7
976.883,-191.436,807.614,3.13771,-0.00100176,-3.13338,1749115555439,9
976.883,-191.455,807.619,3.13771,-0.00100761,-3.13338,1749115555447,8
976.883,-191.473,807.623,3.13771,-0.00101468,-3.13339,1749115555455,8
976.887,-191.482,807.624,3.13771,-0.00102449,-3.1334,1749115555464,9
976.883,-191.504,807.628,3.13771,-0.0010267,-3.13341,1749115555472,8
976.879,-191.526,807.632,3.13771,-0.00103062,-3.13342,1749115555480,8
976.872,-191.547,807.633,3.13771,-0.00103566,-3.13342,1749115555489,9
976.867,-191.561,807.633,3.1377,-0.00104255,-3.13343,1749115555497,8
976.863,-191.574,807.632,3.1377,-0.0010467,-3.13344,1749115555506,9
976.859,-191.587,807.636,3.1377,-0.00105239,-3.13344,1749115555514,8
976.856,-191.603,807.64,3.13769,-0.00105751,-3.13345,1749115555522,8
976.853,-191.617,807.643,3.13769,-0.00105939,-3.13346,1749115555531,9
976.851,-191.627,807.644,3.13769,-0.00106237,-3.13346,1749115555539,8
976.845,-191.656,807.645,3.13769,-0.00106638,-3.13347,1749115555548,9
976.843,-191.69,807.647,3.13769,-0.00106954,-3.13347,1749115555556,8
976.84,-191.724,807.65,3.13769,-0.00107548,-3.13347,1749115555565,9
976.835,-191.761,807.655,3.13769,-0.00108443,-3.13348,1749115555574,9
976.831,-191.794,807.662,3.1377,-0.00109081,-3.13348,1749115555580,6
976.827,-191.828,807.669,3.13771,-0.00109612,-3.13349,1749115555590,10
976.817,-191.868,807.68,3.13771,-0.00109883,-3.13349,1749115555597,7
976.805,-191.908,807.69,3.13772,-0.00110445,-3.13348,1749115555606,9
976.792,-191.946,807.694,3.13773,-0.00109979,-3.13348,1749115555614,8
976.779,-191.986,807.698,3.13774,-0.00109681,-3.13348,1749115555622,8
976.764,-192.03,807.704,3.13775,-0.00109226,-3.13348,1749115555631,9
976.758,-192.061,807.707,3.13776,-0.00109221,-3.13348,1749115555639,8
976.75,-192.093,807.71,3.13777,-0.00109615,-3.13347,1749115555647,8
976.746,-192.128,807.715,3.13778,-0.00109598,-3.13347,1749115555656,9
976.744,-192.165,807.72,3.13779,-0.00109112,-3.13347,1749115555665,9
976.74,-192.203,807.725,3.13779,-0.00108985,-3.13347,1749115555673,8
976.736,-192.242,807.731,3.1378,-0.00109168,-3.13347,1749115555680,7
976.731,-192.28,807.737,3.13782,-0.00109535,-3.13348,1749115555689,9
976.727,-192.318,807.744,3.13783,-0.00109858,-3.13348,1749115555697,8
976.723,-192.359,807.75,3.13784,-0.00110107,-3.13347,1749115555706,9
976.721,-192.37,807.752,3.13784,-0.00111083,-3.13347,1749115555714,8
976.719,-192.379,807.755,3.13785,-0.00111541,-3.13347,1749115555722,8
976.718,-192.388,807.76,3.13785,-0.0011072,-3.13347,1749115555731,9
976.718,-192.393,807.762,3.13786,-0.00109974,-3.13347,1749115555739,8
976.717,-192.4,807.764,3.13787,-0.0010932,-3.13347,1749115555748,9
976.717,-192.407,807.766,3.13787,-0.00108615,-3.13346,1749115555756,8
976.717,-192.411,807.768,3.13788,-0.00107672,-3.13346,1749115555765,9
976.717,-192.414,807.768,3.13788,-0.00106092,-3.13346,1749115555772,7
976.72,-192.406,807.769,3.13788,-0.00104682,-3.13346,1749115555780,8
976.723,-192.38,807.768,3.13788,-0.00103363,-3.13346,1749115555789,9
976.728,-192.349,807.765,3.13788,-0.00101833,-3.13345,1749115555797,8
976.732,-192.317,807.762,3.13787,-0.00100418,-3.13345,1749115555806,9
976.744,-192.269,807.752,3.13787,-0.00098961,-3.13344,1749115555813,7
976.755,-192.217,807.743,3.13787,-0.00098107,-3.13343,1749115555822,9
976.766,-192.165,807.733,3.13786,-0.000972141,-3.13342,1749115555831,9
976.779,-192.123,807.726,3.13786,-0.000961724,-3.13341,1749115555839,8
976.794,-192.078,807.72,3.13787,-0.000949131,-3.1334,1749115555847,8
976.807,-192.034,807.713,3.13786,-0.000941233,-3.1334,1749115555856,9
976.822,-191.989,807.705,3.13785,-0.000930358,-3.13339,1749115555864,8
976.822,-191.974,807.701,3.13786,-0.000909783,-3.13338,1749115555873,9
976.822,-191.969,807.701,3.13787,-0.000890757,-3.13338,1749115555880,7
976.821,-191.967,807.701,3.13787,-0.000874035,-3.13337,1749115555889,9
976.82,-191.955,807.697,3.13787,-0.000864728,-3.13336,1749115555897,8
976.819,-191.942,807.693,3.13787,-0.000852753,-3.13335,1749115555906,9
976.819,-191.928,807.688,3.13787,-0.000838186,-3.13335,1749115555914,8
976.818,-191.913,807.683,3.13787,-0.000825792,-3.13334,1749115555922,8
976.817,-191.898,807.677,3.13787,-0.000811933,-3.13334,1749115555931,9
976.815,-191.885,807.672,3.13787,-0.000804452,-3.13334,1749115555939,8
976.823,-191.849,807.662,3.13787,-0.000795962,-3.13333,1749115555947,8
976.829,-191.829,807.655,3.13787,-0.000791122,-3.13333,1749115555956,9
976.836,-191.808,807.646,3.13787,-0.000785968,-3.13333,1749115555964,8
976.842,-191.787,807.637,3.13787,-0.00078179,-3.13333,1749115555972,8
976.841,-191.78,807.635,3.13787,-0.000774399,-3.13333,1749115555981,9
976.846,-191.746,807.629,3.13787,-0.000762192,-3.13333,1749115555989,8
976.858,-191.713,807.624,3.13788,-0.000745057,-3.13333,1749115556044,55
976.857,-191.691,807.619,3.13789,-0.000724408,-3.13333,1749115556136,92
976.855,-191.672,807.614,3.13789,-0.000704771,-3.13333,1749115556188,52
976.863,-191.631,807.607,3.13789,-0.000677917,-3.13334,1749115556197,9
976.868,-191.591,807.599,3.13789,-0.000660847,-3.13334,1749115556206,9
976.888,-191.517,807.588,3.13788,-0.000650185,-3.13334,1749115556214,8
976.91,-191.443,807.576,3.13788,-0.000633188,-3.13334,1749115556223,9
976.93,-191.367,807.565,3.13788,-0.000618862,-3.13335,1749115556231,8
976.952,-191.301,807.555,3.13788,-0.000604226,-3.13336,1749115556239,8
976.975,-191.237,807.544,3.13787,-0.000589015,-3.13336,1749115556247,8
977.001,-191.173,807.538,3.13788,-0.000579551,-3.13336,1749115556256,9
977.028,-191.112,807.533,3.13788,-0.000572796,-3.13336,1749115556264,8
977.057,-191.051,807.528,3.13788,-0.000564007,-3.13336,1749115556272,8
977.086,-190.989,807.525,3.13788,-0.000552543,-3.13336,1749115556281,9
977.105,-190.951,807.524,3.13789,-0.000541565,-3.13336,1749115556289,8
977.126,-190.914,807.525,3.13789,-0.000529484,-3.13335,1749115556298,9
977.146,-190.877,807.526,3.13789,-0.000518091,-3.13336,1749115556306,8
977.166,-190.841,807.528,3.1379,-0.000512099,-3.13335,1749115556314,8
977.187,-190.805,807.53,3.1379,-0.000499422,-3.13335,1749115556322,8
977.195,-190.808,807.532,3.13791,-0.000479685,-3.13335,1749115556331,9
977.196,-190.811,807.535,3.13791,-0.000472396,-3.13334,1749115556339,8
977.211,-190.784,807.532,3.13791,-0.000469089,-3.13334,1749115556348,9
977.226,-190.757,807.529,3.1379,-0.000465561,-3.13334,1749115556357,9
977.229,-190.743,807.528,3.1379,-0.000460158,-3.13333,1749115556365,8
977.234,-190.728,807.527,3.1379,-0.000446012,-3.13333,1749115556373,8
977.236,-190.713,807.528,3.13791,-0.00043611,-3.13332,1749115556380,7
977.238,-190.698,807.528,3.13791,-0.000425141,-3.13331,1749115556389,9
977.242,-190.672,807.526,3.13791,-0.000416524,-3.1333,1749115556398,9
977.244,-190.646,807.524,3.13791,-0.00041026,-3.1333,1749115556405,7
977.246,-190.618,807.522,3.13791,-0.000402701,-3.13329,1749115556415,10
977.242,-190.59,807.517,3.1379,-0.000393994,-3.13328,1749115556423,8
977.237,-190.559,807.511,3.1379,-0.00038141,-3.13328,1749115556430,7
977.23,-190.528,807.506,3.1379,-0.000372455,-3.13328,1749115556439,9
977.228,-190.504,807.5,3.1379,-0.000376861,-3.13327,1749115556447,8
977.225,-190.481,807.494,3.13789,-0.000383131,-3.13327,1749115556456,9
977.223,-190.455,807.488,3.13789,-0.000384863,-3.13327,1749115556464,8
977.219,-190.429,807.482,3.13789,-0.000389732,-3.13327,1749115556472,8
977.217,-190.404,807.476,3.13789,-0.000384717,-3.13327,1749115556481,9
977.211,-190.394,807.47,3.13789,-0.000387577,-3.13327,1749115556489,8
977.21,-190.374,807.466,3.13789,-0.000401986,-3.13326,1749115556497,8
977.211,-190.365,807.464,3.13789,-0.000407745,-3.13326,1749115556506,9
977.209,-190.366,807.463,3.13789,-0.000412255,-3.13327,1749115556514,8
977.209,-190.366,807.462,3.1379,-0.00041766,-3.13326,1749115556522,8
977.213,-190.359,807.463,3.1379,-0.000426341,-3.13327,1749115556531,9
977.218,-190.354,807.463,3.1379,-0.00043864,-3.13327,1749115556539,8
977.22,-190.365,807.465,3.1379,-0.000445184,-3.13327,1749115556547,8
977.223,-190.378,807.467,3.1379,-0.000453351,-3.13327,1749115556556,9
977.224,-190.403,807.472,3.1379,-0.000458375,-3.13327,1749115556564,8
977.226,-190.428,807.478,3.13791,-0.000461449,-3.13328,1749115556573,9
977.229,-190.455,807.484,3.13791,-0.000466697,-3.13329,1749115556581,8
977.233,-190.479,807.49,3.13791,-0.000469607,-3.13329,1749115556590,9
977.239,-190.506,807.497,3.13792,-0.000475294,-3.1333,1749115556598,8
977.245,-190.533,807.505,3.13792,-0.000479665,-3.1333,1749115556605,7
977.231,-190.592,807.517,3.13792,-0.00048065,-3.13331,1749115556615,10
977.222,-190.646,807.527,3.13793,-0.000486442,-3.13331,1749115556623,8
977.213,-190.701,807.538,3.13793,-0.000489977,-3.13332,1749115556630,7
977.205,-190.757,807.55,3.13793,-0.000494738,-3.13333,1749115556639,9
977.195,-190.825,807.563,3.13793,-0.000499097,-3.13334,1749115556648,9
977.188,-190.878,807.576,3.13793,-0.000501289,-3.13334,1749115556663,15
977.181,-190.932,807.589,3.13794,-0.000500469,-3.13335,1749115556768,105
977.174,-190.981,807.6,3.13795,-0.000506325,-3.13335,1749115556873,105
977.16,-191.034,807.613,3.13795,-0.000510404,-3.13336,1749115556952,79
977.146,-191.088,807.628,3.13795,-0.000514315,-3.13337,1749115556972,20
977.129,-191.156,807.642,3.13796,-0.000514261,-3.13338,1749115556981,9
977.111,-191.204,807.65,3.13797,-0.000511112,-3.13338,1749115556989,8
977.098,-191.234,807.656,3.13797,-0.00051463,-3.13339,1749115556998,9
977.076,-191.302,807.666,3.13798,-0.000524585,-3.13339,1749115557006,8
977.054,-191.369,807.675,3.138,-0.000537615,-3.1334,1749115557016,10
977.032,-191.433,807.684,3.13802,-0.000553372,-3.13341,1749115557022,6
977.014,-191.488,807.693,3.13802,-0.000570264,-3.13342,1749115557031,9
976.992,-191.551,807.701,3.13803,-0.000592305,-3.13343,1749115557051,20
976.971,-191.612,807.708,3.13804,-0.000606182,-3.13345,1749115557056,5
976.952,-191.671,807.715,3.13806,-0.000618337,-3.13346,1749115557067,11
976.949,-191.679,807.714,3.13807,-0.000622037,-3.13347,1749115557074,7
