x,y,z,A,B,C,T,delta_ms
976.372,-193.764,807.96,3.13774,-0.000578739,-3.13322,1749115553639,0
976.368,-193.768,807.961,3.13778,-0.000594385,-3.13321,1749115553643,4
976.365,-193.772,807.962,3.13783,-0.00061003,-3.1332,1749115553647,4
976.373,-193.722,807.952,3.13783,-0.000616404,-3.13321,1749115553651,4
976.386,-193.654,807.94,3.13781,-0.000619686,-3.13323,1749115553655,4
976.392,-193.617,807.931,3.1378,-0.000623159,-3.13323,1749115553659,4
976.396,-193.591,807.925,3.13779,-0.000626697,-3.13323,1749115553663,4
976.4,-193.571,807.919,3.13778,-0.000629803,-3.13323,1749115553667,4
976.401,-193.555,807.915,3.13778,-0.000632477,-3.13323,1749115553671,4
976.404,-193.534,807.911,3.13777,-0.000640982,-3.13323,1749115553675,4
976.407,-193.506,807.908,3.13776,-0.000655318,-3.13322,1749115553679,4
976.408,-193.489,807.906,3.13776,-0.00066389,-3.13323,1749115553683,4
976.409,-193.475,807.904,3.13776,-0.000670541,-3.13324,1749115553687,4
976.409,-193.463,807.903,3.13776,-0.000675427,-3.13325,1749115553691,4
976.409,-193.453,807.902,3.13776,-0.000678549,-3.13325,1749115553695,4
976.409,-193.444,807.902,3.13775,-0.000682335,-3.13326,1749115553699,4
976.407,-193.436,807.902,3.13775,-0.000688117,-3.13326,1749115553703,4
976.406,-193.43,807.902,3.13775,-0.000692441,-3.13326,1749115553707,4
976.405,-193.426,807.902,3.13775,-0.000695309,-3.13326,1749115553711,4
976.403,-193.422,807.903,3.13775,-0.000698177,-3.13326,1749115553715,4
976.402,-193.42,807.903,3.13774,-0.000695459,-3.13326,1749115553719,4
976.402,-193.418,807.903,3.13774,-0.000692742,-3.13326,1749115553723,4
976.399,-193.416,807.904,3.13774,-0.000694562,-3.13327,1749115553727,4
976.397,-193.415,807.904,3.13774,-0.000696382,-3.13327,1749115553731,4
976.394,-193.414,807.904,3.13774,-0.000696207,-3.13327,1749115553735,4
976.392,-193.413,807.905,3.13774,-0.000696031,-3.13327,1749115553739,4
976.39,-193.414,807.904,3.13774,-0.000696129,-3.13327,1749115553743,4
976.389,-193.414,807.904,3.13773,-0.000696227,-3.13327,1749115553747,4
976.387,-193.415,807.904,3.13773,-0.00069725,-3.13327,1749115553751,4
976.384,-193.416,807.903,3.13773,-0.00069858,-3.13327,1749115553755,4
