x,y,z,A,B,C,T,delta_ms
976.372,-193.764,807.96,3.13774,-0.000578739,-3.13322,1749115553639,0
976.37,-193.766,807.96,3.13778,-0.000594385,-3.13321,1749115553643,4
976.368,-193.768,807.961,3.13781,-0.000602208,-3.13321,1749115553647,4
976.37,-193.757,807.959,3.13781,-0.00060694,-3.13321,1749115553651,4
976.373,-193.736,807.955,3.13781,-0.000610126,-3.13321,1749115553655,4
976.376,-193.716,807.951,3.13781,-0.000612733,-3.13322,1749115553659,4
976.379,-193.698,807.947,3.13781,-0.00061506,-3.13322,1749115553663,4
976.382,-193.682,807.944,3.1378,-0.000617166,-3.13322,1749115553667,4
976.384,-193.668,807.941,3.1378,-0.00061908,-3.13322,1749115553671,4
976.386,-193.655,807.938,3.1378,-0.000621514,-3.13322,1749115553675,4
976.388,-193.641,807.935,3.13779,-0.000624894,-3.13322,1749115553679,4
976.389,-193.629,807.932,3.13779,-0.000628439,-3.13322,1749115553683,4
976.391,-193.617,807.93,3.13779,-0.000631948,-3.13322,1749115553687,4
976.392,-193.606,807.928,3.13779,-0.000635292,-3.13322,1749115553691,4
976.393,-193.596,807.927,3.13778,-0.000638382,-3.13323,1749115553695,4
976.394,-193.586,807.925,3.13778,-0.000641312,-3.13323,1749115553699,4
976.395,-193.577,807.924,3.13778,-0.000644238,-3.13323,1749115553703,4
976.396,-193.569,807.922,3.13778,-0.000647073,-3.13323,1749115553707,4
976.396,-193.562,807.921,3.13778,-0.000649753,-3.13323,1749115553711,4
976.397,-193.555,807.92,3.13778,-0.000652302,-3.13324,1749115553715,4
976.398,-193.537,807.918,3.13777,-0.000654459,-3.13324,1749115553719,4
976.4,-193.52,807.915,3.13777,-0.000659377,-3.13324,1749115553723,4
976.401,-193.502,807.912,3.13777,-0.000663604,-3.13324,1749115553727,4
976.403,-193.487,807.909,3.13776,-0.000667603,-3.13325,1749115553731,4
976.403,-193.475,807.908,3.13776,-0.000671429,-3.13325,1749115553735,4
976.403,-193.465,807.906,3.13776,-0.000675072,-3.13325,1749115553739,4
976.403,-193.456,807.905,3.13775,-0.000678544,-3.13325,1749115553743,4
976.402,-193.448,807.905,3.13775,-0.000681865,-3.13325,1749115553747,4
976.401,-193.441,807.904,3.13775,-0.000685104,-3.13326,1749115553751,4
976.4,-193.435,807.904,3.13775,-0.000687984,-3.13326,1749115553755,4
976.399,-193.431,807.903,3.13774,-0.000690138,-3.13326,1749115553759,4
976.398,-193.427,807.903,3.13774,-0.000691829,-3.13326,1749115553763,4
976.396,-193.424,807.903,3.13774,-0.000693186,-3.13327,1749115553767,4
976.395,-193.422,807.903,3.13774,-0.000694333,-3.13327,1749115553771,4
976.393,-193.421,807.903,3.13774,-0.000695355,-3.13327,1749115553775,4
976.391,-193.42,807.902,3.13774,-0.000696218,-3.13327,1749115553779,4
976.39,-193.42,807.902,3.13774,-0.000696795,-3.13327,1749115553783,4
976.388,-193.42,807.902,3.13774,-0.000697134,-3.13327,1749115553787,4
976.386,-193.42,807.902,3.13773,-0.00069738,-3.13327,1749115553791,4
976.385,-193.421,807.901,3.13773,-0.000697605,-3.13327,1749115553795,4
976.383,-193.421,807.901,3.13773,-0.000698069,-3.13327,1749115553799,4
976.382,-193.422,807.901,3.13773,-0.000698751,-3.13328,1749115553803,4
976.381,-193.422,807.901,3.13773,-0.000699481,-3.13328,1749115553807,4
976.381,-193.421,807.9,3.13773,-0.000700426,-3.13328,1749115553811,4
976.38,-193.42,807.9,3.13773,-0.000701605,-3.13328,1749115553815,4
976.38,-193.42,807.9,3.13773,-0.000702766,-3.13328,1749115553819,4
976.38,-193.42,807.9,3.13773,-0.000703885,-3.13328,1749115553823,4
976.38,-193.419,807.9,3.13773,-0.000704924,-3.13328,1749115553827,4
976.38,-193.419,807.9,3.13773,-0.000705836,-3.13328,1749115553831,4
976.38,-193.419,807.9,3.13772,-0.000706689,-3.13328,1749115553835,4
976.381,-193.417,807.9,3.13772,-0.000707559,-3.13328,1749115553839,4
976.381,-193.416,807.901,3.13772,-0.000708378,-3.13328,1749115553843,4
976.382,-193.414,807.901,3.13772,-0.000709114,-3.13328,1749115553847,4
976.384,-193.413,807.901,3.13772,-0.000709743,-3.13328,1749115553851,4
976.386,-193.41,807.902,3.13771,-0.000710271,-3.13328,1749115553855,4
976.388,-193.408,807.903,3.13771,-0.000710703,-3.13328,1749115553859,4
976.391,-193.405,807.903,3.13771,-0.000711065,-3.13328,1749115553863,4
976.394,-193.402,807.904,3.13771,-0.000711425,-3.13328,1749115553867,4
976.397,-193.398,807.905,3.13771,-0.000711751,-3.13328,1749115553871,4
976.401,-193.395,807.906,3.1377,-0.000711975,-3.13328,1749115553875,4
976.405,-193.391,807.907,3.1377,-0.00071212,-3.13328,1749115553879,4
976.409,-193.388,807.908,3.1377,-0.000712278,-3.13328,1749115553883,4
976.413,-193.385,807.909,3.13769,-0.000712467,-3.13328,1749115553887,4
976.418,-193.382,807.91,3.13769,-0.000712446,-3.13328,1749115553891,4
976.423,-193.379,807.911,3.13769,-0.000712224,-3.13328,1749115553895,4
976.428,-193.376,807.912,3.13769,-0.000712059,-3.13328,1749115553899,4
976.434,-193.372,807.913,3.13768,-0.000711988,-3.13329,1749115553903,4
976.441,-193.368,807.914,3.13768,-0.000712071,-3.13329,1749115553907,4
976.447,-193.364,807.916,3.13768,-0.000712331,-3.13329,1749115553911,4
976.454,-193.36,807.917,3.13767,-0.000712685,-3.13329,1749115553915,4
976.461,-193.356,807.918,3.13767,-0.000713,-3.13329,1749115553919,4
976.469,-193.352,807.92,3.13767,-0.000713367,-3.13329,1749115553923,4
976.477,-193.349,807.921,3.13767,-0.000713804,-3.13329,1749115553927,4
976.485,-193.345,807.923,3.13766,-0.000714299,-3.13329,1749115553931,4
976.493,-193.341,807.925,3.13766,-0.000714873,-3.13329,1749115553935,4
976.501,-193.337,807.927,3.13766,-0.000715523,-3.13329,1749115553939,4
976.51,-193.333,807.929,3.13766,-0.000716211,-3.13329,1749115553943,4
976.518,-193.329,807.931,3.13765,-0.000716885,-3.13329,1749115553947,4
976.526,-193.324,807.933,3.13765,-0.000717503,-3.13329,1749115553951,4
976.533,-193.319,807.935,3.13765,-0.00071806,-3.13329,1749115553955,4
976.541,-193.314,807.937,3.13765,-0.000718555,-3.13329,1749115553959,4
976.548,-193.309,807.938,3.13764,-0.000718924,-3.13329,1749115553963,4
976.555,-193.303,807.94,3.13764,-0.000719119,-3.13329,1749115553967,4
976.562,-193.298,807.941,3.13764,-0.000719213,-3.13329,1749115553971,4
976.568,-193.293,807.943,3.13764,-0.00071928,-3.13329,1749115553975,4
976.574,-193.288,807.944,3.13764,-0.000719311,-3.13329,1749115553979,4
976.579,-193.283,807.945,3.13764,-0.000719281,-3.13329,1749115553983,4
