x,y,z,A,B,C
373.95,-381.053,-1612.61,2.98508,-1.44164,2.97594
373.952,-381.058,-1612.61,2.98475,-1.44164,2.9756
373.946,-381.064,-1612.62,2.98505,-1.44164,2.97594
374.005,-381.013,-1612.56,2.98504,-1.44165,2.97595
374.041,-381.013,-1612.57,2.9858,-1.44169,2.97663
374.022,-381.05,-1612.58,2.98464,-1.44158,2.97555
374.024,-381.049,-1612.58,2.98455,-1.44163,2.97541
374.037,-381.037,-1612.54,2.98474,-1.44175,2.9757
374.044,-381.033,-1612.54,2.98419,-1.44168,2.97511
373.925,-380.963,-1612.44,2.9835,-1.44175,2.97435
373.923,-380.963,-1612.44,2.98417,-1.44167,2.97505
373.916,-380.972,-1612.45,2.98398,-1.44166,2.97484
373.83,-380.998,-1612.52,2.98432,-1.44171,2.97527
373.822,-380.99,-1612.53,2.98418,-1.44171,2.97517
373.803,-380.95,-1612.35,2.98421,-1.44174,2.97515
373.787,-380.95,-1612.35,2.98425,-1.4417,2.97515
373.769,-380.947,-1612.36,2.98439,-1.44167,2.97533
373.863,-380.951,-1612.33,2.985,-1.44173,2.97585
373.861,-380.963,-1612.34,2.98474,-1.44171,2.97565
373.889,-380.933,-1612.29,2.98535,-1.44179,2.97621
373.874,-380.968,-1612.16,2.98521,-1.44184,2.97598
373.831,-380.948,-1612.18,2.98561,-1.44191,2.97647
373.835,-380.954,-1612.18,2.98501,-1.44183,2.97589
373.831,-380.958,-1612.18,2.98608,-1.44191,2.97695
373.855,-380.963,-1612.2,2.98572,-1.44187,2.97652
373.85,-380.937,-1612.21,2.98555,-1.44192,2.97643
373.853,-380.94,-1612.21,2.98552,-1.44194,2.97627
373.855,-380.945,-1612.21,2.98538,-1.44186,2.97624
373.842,-380.93,-1612.2,2.9856,-1.44188,2.97643
373.845,-380.938,-1612.2,2.98548,-1.44193,2.97633
373.881,-380.956,-1612.3,2.98529,-1.44187,2.97617
373.87,-380.937,-1612.17,2.98536,-1.44193,2.9761
373.831,-380.923,-1612.11,2.98526,-1.44192,2.97603
373.835,-380.932,-1612.11,2.98536,-1.44194,2.97613
373.839,-380.941,-1612.11,2.9857,-1.4419,2.97649
373.827,-380.928,-1612.04,2.98542,-1.44191,2.97619
373.815,-380.929,-1612.05,2.98611,-1.4419,2.97687
373.87,-380.936,-1612.11,2.9863,-1.44198,2.9771
373.881,-380.94,-1612.1,2.98595,-1.44189,2.97678
373.881,-380.946,-1612.1,2.9857,-1.44192,2.97655
373.812,-380.9,-1612.19,2.98508,-1.44189,2.97595
373.813,-380.898,-1612.2,2.98554,-1.44193,2.97637
373.807,-380.902,-1612.21,2.98527,-1.44196,2.97613
373.871,-380.953,-1612.29,2.98576,-1.44189,2.97664
373.864,-380.953,-1612.3,2.98575,-1.44186,2.97663
373.862,-380.912,-1612.25,2.98628,-1.44189,2.97706
373.852,-380.916,-1612.25,2.98699,-1.44194,2.97778
373.821,-380.917,-1612.21,2.98626,-1.44197,2.97709
373.819,-380.912,-1612.22,2.98619,-1.44189,2.97705
373.818,-380.907,-1612.22,2.98619,-1.44189,2.97703
373.797,-380.93,-1612.26,2.98645,-1.44183,2.97731
373.787,-380.93,-1612.26,2.98625,-1.44182,2.97713
373.819,-380.944,-1612.3,2.98639,-1.44185,2.97729
373.82,-380.943,-1612.3,2.98621,-1.44182,2.97707
373.833,-380.947,-1612.23,2.98626,-1.44181,2.97708
373.836,-380.949,-1612.24,2.98587,-1.44174,2.97663
373.879,-380.925,-1612.25,2.98618,-1.44184,2.97703
373.881,-380.928,-1612.25,2.98618,-1.44183,2.97701
373.888,-380.932,-1612.26,2.98558,-1.44185,2.97646
373.851,-380.907,-1612.2,2.98637,-1.44182,2.97723
373.853,-380.901,-1612.19,2.98647,-1.44187,2.97725
373.855,-380.902,-1612.19,2.98666,-1.4418,2.97744
373.877,-380.957,-1612.24,2.98653,-1.44178,2.97738
373.878,-380.952,-1612.25,2.98613,-1.44179,2.9769
373.844,-380.877,-1612.1,2.98652,-1.44183,2.97732
373.847,-380.878,-1612.1,2.98626,-1.44186,2.97709
373.844,-380.887,-1612.05,2.98673,-1.44185,2.97754
373.847,-380.885,-1612.04,2.98636,-1.4418,2.97716
373.848,-380.888,-1612.04,2.98629,-1.44182,2.9771
373.84,-380.857,-1612.02,2.98642,-1.44182,2.97717
373.836,-380.853,-1612.01,2.98702,-1.44184,2.97776
373.809,-380.843,-1611.95,2.98592,-1.44191,2.97673
373.811,-380.833,-1611.94,2.98636,-1.44191,2.97713
373.805,-380.832,-1611.93,2.98614,-1.44191,2.97698
373.773,-380.82,-1611.91,2.98619,-1.44189,2.97699
373.767,-380.822,-1611.91,2.9859,-1.44193,2.97665
373.764,-380.836,-1611.97,2.98601,-1.44191,2.97668
373.758,-380.831,-1611.97,2.98621,-1.44194,2.97696
373.709,-380.818,-1611.9,2.98585,-1.44196,2.97657
373.686,-380.809,-1611.89,2.98646,-1.44207,2.97715
373.934,-380.827,-1612.16,2.98486,-1.44183,2.97565
373.864,-380.821,-1612.32,2.98559,-1.44199,2.97635
373.943,-380.793,-1612.12,2.98935,-1.44236,2.98
373.966,-380.843,-1612.2,2.98856,-1.44179,2.97929
373.939,-380.691,-1612.42,2.98229,-1.44149,2.97319
373.981,-380.762,-1612.4,2.98609,-1.44189,2.97672
373.797,-380.724,-1612.09,2.98848,-1.4418,2.97915
373.856,-380.707,-1612.1,2.98783,-1.44199,2.97845
373.772,-380.711,-1611.99,2.98738,-1.44186,2.97814
373.812,-380.678,-1612.01,2.98743,-1.44184,2.97795
373.763,-380.671,-1611.9,2.98752,-1.44202,2.9782
373.758,-380.701,-1611.96,2.9873,-1.44182,2.97783
373.776,-380.714,-1611.91,2.99007,-1.44204,2.98066
373.689,-380.647,-1611.8,2.98935,-1.442,2.97991
373.7,-380.558,-1611.78,2.98532,-1.44182,2.97586
373.671,-380.634,-1611.7,2.98566,-1.44208,2.97625
373.713,-380.646,-1611.69,2.98933,-1.44179,2.97986
373.697,-380.544,-1611.57,2.99092,-1.44212,2.98134
373.702,-380.489,-1611.57,2.98692,-1.4418,2.97739
373.769,-380.494,-1611.59,2.98411,-1.44188,2.97458
373.654,-380.623,-1611.45,2.98831,-1.44197,2.97866
373.7,-380.623,-1611.47,2.99017,-1.44216,2.98064
373.618,-380.562,-1611.26,2.98845,-1.44197,2.97882
373.602,-380.538,-1611.25,2.98709,-1.44197,2.97753
373.622,-380.553,-1611.23,2.98738,-1.44209,2.97788
373.542,-380.518,-1611.28,2.98744,-1.44196,2.97788
373.555,-380.469,-1611.28,2.98772,-1.4421,2.97827
373.484,-380.559,-1611.49,2.9859,-1.44205,2.97644
373.485,-380.517,-1611.47,2.98621,-1.44206,2.97671
373.48,-380.511,-1611.47,2.9854,-1.44211,2.97587
373.516,-380.546,-1611.35,2.98724,-1.44201,2.97775
373.509,-380.537,-1611.35,2.98757,-1.44201,2.9781
373.493,-380.515,-1611.36,2.98762,-1.44195,2.97814
373.534,-380.517,-1611.37,2.98554,-1.44201,2.97603
373.476,-380.534,-1611.36,2.98559,-1.44215,2.97619
373.574,-380.502,-1611.28,2.98911,-1.44197,2.97958
373.606,-380.483,-1611.27,2.98982,-1.44214,2.98023
373.507,-380.425,-1610.99,2.98684,-1.4421,2.97728
373.538,-380.403,-1610.96,2.9862,-1.44214,2.97659
373.492,-380.326,-1610.92,2.98803,-1.44207,2.97843
373.483,-380.303,-1610.91,2.9901,-1.44191,2.98053
373.521,-380.278,-1610.9,2.98908,-1.44208,2.97943
373.399,-380.364,-1610.86,2.98762,-1.44196,2.97808
373.436,-380.395,-1610.84,2.98727,-1.44209,2.97766
373.409,-380.412,-1610.69,2.9881,-1.44199,2.97843
373.441,-380.392,-1610.68,2.98831,-1.44203,2.97867
373.421,-380.388,-1610.7,2.98888,-1.44211,2.9792
373.411,-380.356,-1610.68,2.98908,-1.44207,2.97937
373.389,-380.368,-1610.63,2.98842,-1.44208,2.97875
373.359,-380.363,-1610.6,2.98795,-1.44204,2.97824
373.37,-380.329,-1610.59,2.98929,-1.44211,2.97954
373.323,-380.273,-1610.59,2.98784,-1.44204,2.9781
373.312,-380.225,-1610.57,2.98781,-1.44201,2.97812
373.283,-380.264,-1610.44,2.98876,-1.44196,2.97903
373.281,-380.268,-1610.43,2.98989,-1.44192,2.98012
373.302,-380.267,-1610.41,2.98955,-1.44204,2.97986
373.307,-380.288,-1610.44,2.98745,-1.44206,2.97763
373.335,-380.278,-1610.42,2.98797,-1.44212,2.97821
373.284,-380.3,-1610.45,2.98949,-1.442,2.9797
373.288,-380.275,-1610.42,2.99054,-1.44201,2.98076
373.279,-380.247,-1610.24,2.98943,-1.44203,2.97965
373.248,-380.223,-1610.21,2.9878,-1.442,2.97804
373.285,-380.217,-1610.18,2.9889,-1.44205,2.97912
373.327,-380.183,-1610.17,2.98948,-1.44206,2.97966
373.341,-380.197,-1610.22,2.98903,-1.44207,2.97931
373.295,-380.227,-1610.26,2.98937,-1.44202,2.97971
373.315,-380.216,-1610.24,2.98851,-1.44206,2.9788
373.371,-380.407,-1610.66,2.98948,-1.44207,2.97977
373.371,-380.396,-1610.65,2.98886,-1.44208,2.97919
373.49,-380.433,-1610.86,2.98932,-1.44208,2.97963
373.487,-380.438,-1610.84,2.98837,-1.44204,2.9787
373.518,-380.424,-1610.84,2.98873,-1.4421,2.97911
373.454,-380.391,-1610.78,2.9881,-1.44205,2.97845
373.498,-380.383,-1610.77,2.98849,-1.44218,2.97883
373.534,-380.495,-1611.15,2.98895,-1.44203,2.97929
373.565,-380.493,-1611.16,2.98917,-1.44206,2.97955
373.582,-380.512,-1611.17,2.98787,-1.44216,2.97832
373.493,-380.523,-1611.17,2.98671,-1.44195,2.97721
373.528,-380.529,-1611.18,2.98799,-1.44207,2.9784
373.51,-380.61,-1611.36,2.98958,-1.44202,2.98011
373.55,-380.596,-1611.36,2.98809,-1.44203,2.97856
373.541,-380.601,-1611.37,2.98751,-1.44208,2.97792
373.588,-380.577,-1611.31,2.98675,-1.4419,2.97715
373.61,-380.587,-1611.32,2.988,-1.442,2.97844
373.549,-380.495,-1611.21,2.98715,-1.44203,2.9776
373.55,-380.459,-1611.28,2.98851,-1.44194,2.97895
373.594,-380.523,-1611.24,2.98833,-1.44201,2.9789
373.596,-380.552,-1611.24,2.98756,-1.44211,2.97808
373.635,-380.59,-1611.24,2.98776,-1.44207,2.97824
373.683,-380.598,-1611.25,2.98792,-1.44221,2.97839
373.598,-380.546,-1611.15,2.98873,-1.44212,2.97925
373.637,-380.546,-1611.14,2.98872,-1.44212,2.97909
373.639,-380.555,-1611.15,2.98738,-1.44217,2.9778
373.59,-380.521,-1611.1,2.98693,-1.44209,2.97734
373.598,-380.523,-1611.11,2.9873,-1.44225,2.9777
373.623,-380.621,-1611.5,2.98669,-1.4421,2.97708
373.634,-380.611,-1611.52,2.98743,-1.44217,2.97793
373.592,-380.602,-1611.52,2.98745,-1.44213,2.97789
373.636,-380.611,-1611.53,2.9878,-1.44215,2.97831
373.629,-380.632,-1611.55,2.98732,-1.44223,2.97778
373.56,-380.591,-1611.42,2.98683,-1.44211,2.9773
373.55,-380.592,-1611.44,2.98685,-1.44222,2.9773
373.482,-380.552,-1611.09,2.98666,-1.44209,2.97714
373.473,-380.543,-1611.13,2.98705,-1.44217,2.97745
373.558,-380.639,-1611.29,2.98573,-1.44202,2.9762
373.572,-380.643,-1611.3,2.98696,-1.44215,2.9775
373.633,-380.653,-1611.38,2.98639,-1.44217,2.9769
373.629,-380.651,-1611.39,2.98643,-1.44211,2.97691
373.646,-380.657,-1611.41,2.98654,-1.44223,2.97707
373.592,-380.685,-1611.46,2.98689,-1.44226,2.97747
373.574,-380.603,-1611.54,2.98861,-1.44202,2.97912
373.636,-380.628,-1611.53,2.98747,-1.44224,2.97793
373.614,-380.711,-1611.72,2.98874,-1.44207,2.97924
373.66,-380.735,-1611.72,2.98693,-1.44208,2.97749
373.634,-380.71,-1611.74,2.98775,-1.44213,2.97825
373.677,-380.733,-1611.75,2.98753,-1.44217,2.97808
373.663,-380.732,-1611.76,2.98761,-1.44223,2.97817
373.587,-380.668,-1611.59,2.98632,-1.44215,2.97684
373.601,-380.672,-1611.61,2.98686,-1.44222,2.97739
373.656,-380.733,-1611.64,2.98816,-1.44204,2.9787
373.711,-380.774,-1611.64,2.98747,-1.44216,2.978
373.697,-380.741,-1611.66,2.98748,-1.44218,2.97802
373.717,-380.739,-1611.67,2.98697,-1.44216,2.97751
