x,y,z,A,B,C
953.179,-71.434,1062.13,-1.69693,0.250045,-1.56551
953.182,-71.4262,1062.12,-1.69692,0.250003,-1.56553
953.176,-71.4223,1062.12,-1.69693,0.250041,-1.56548
953.226,-71.489,1062.16,-1.69692,0.250042,-1.56548
953.265,-71.4818,1062.16,-1.6969,0.250144,-1.56555
953.246,-71.4713,1062.13,-1.69699,0.249979,-1.56545
953.248,-71.4704,1062.13,-1.69693,0.249977,-1.56553
953.255,-71.514,1062.14,-1.69681,0.250021,-1.56546
953.262,-71.5171,1062.14,-1.69687,0.24994,-1.56549
953.13,-71.6019,1062.21,-1.69679,0.249863,-1.56558
953.128,-71.5964,1062.21,-1.69688,0.249935,-1.56552
953.122,-71.5894,1062.2,-1.69689,0.249909,-1.56554
953.048,-71.5009,1062.18,-1.69684,0.249961,-1.56546
953.041,-71.4939,1062.19,-1.69684,0.249943,-1.56542
952.996,-71.6727,1062.22,-1.69682,0.249951,-1.56547
952.98,-71.6664,1062.22,-1.69685,0.249951,-1.56551
952.965,-71.6556,1062.22,-1.69689,0.249962,-1.56546
953.053,-71.699,1062.22,-1.69684,0.25005,-1.56554
953.052,-71.6933,1062.2,-1.69686,0.250014,-1.5655
953.072,-71.7449,1062.23,-1.69678,0.250106,-1.56555
953.039,-71.8645,1062.19,-1.69673,0.250095,-1.56566
953,-71.8407,1062.21,-1.69667,0.250158,-1.56558
953.003,-71.8422,1062.21,-1.69674,0.250069,-1.56555
953,-71.8404,1062.2,-1.69668,0.250217,-1.56556
953.025,-71.8303,1062.2,-1.69671,0.250166,-1.56563
953.022,-71.8135,1062.22,-1.69666,0.250152,-1.56556
953.026,-71.8135,1062.22,-1.69664,0.250152,-1.56569
953.028,-71.8144,1062.22,-1.69672,0.25012,-1.56557
953.014,-71.8218,1062.23,-1.69671,0.25015,-1.56559
953.017,-71.8216,1062.22,-1.69665,0.250146,-1.5656
953.066,-71.73,1062.21,-1.6967,0.250111,-1.56556
953.036,-71.8573,1062.22,-1.69664,0.25013,-1.5657
952.989,-71.9138,1062.23,-1.69666,0.250114,-1.56567
952.993,-71.9156,1062.22,-1.69663,0.250132,-1.56568
952.997,-71.9151,1062.22,-1.69669,0.250168,-1.56565
952.975,-71.9777,1062.23,-1.69666,0.250135,-1.56567
952.964,-71.975,1062.22,-1.69669,0.25022,-1.56566
953.026,-71.9238,1062.22,-1.69662,0.250257,-1.56565
953.037,-71.9268,1062.22,-1.6967,0.250198,-1.5656
953.038,-71.9268,1062.21,-1.69666,0.250172,-1.56559
952.982,-71.8307,1062.26,-1.69668,0.250087,-1.56557
