x,y,z,A,B,C
352.448,-372.863,-1628.03,1.58641,0.00959592,-1.44423
352.391,-372.805,-1627.76,1.58654,0.00956005,-1.44427
352.376,-372.796,-1627.74,1.58651,0.00962713,-1.44422
352.366,-372.79,-1627.71,1.58657,0.00941376,-1.44424
352.447,-372.879,-1628.16,1.58648,0.00958491,-1.44421
352.411,-372.844,-1628.13,1.58648,0.00964004,-1.44419
352.403,-372.83,-1628.12,1.58644,0.0096207,-1.44428
352.404,-372.812,-1628.11,1.5865,0.00962194,-1.44427
352.429,-372.811,-1627.96,1.58647,0.00956611,-1.44425
352.434,-372.793,-1627.94,1.58654,0.00952328,-1.44424
352.432,-372.797,-1627.92,1.58645,0.00953206,-1.44426
352.463,-372.819,-1627.96,1.5865,0.00953062,-1.44431
352.468,-372.811,-1627.94,1.58656,0.00949547,-1.44423
352.431,-372.774,-1627.67,1.58653,0.00953462,-1.44442
352.41,-372.77,-1627.67,1.58649,0.00958502,-1.44436
352.502,-372.795,-1627.88,1.58643,0.00950936,-1.44432
352.5,-372.756,-1627.66,1.58644,0.00954661,-1.44437
352.401,-372.726,-1627.57,1.58648,0.00956894,-1.44436
352.379,-372.796,-1627.76,1.58647,0.00961212,-1.44436
352.274,-372.817,-1627.75,1.58648,0.00973246,-1.44439
352.239,-372.815,-1627.74,1.58636,0.00982466,-1.4444
352.233,-372.81,-1627.73,1.58644,0.00970513,-1.44436
352.31,-372.794,-1627.74,1.58646,0.00961747,-1.44435
352.309,-372.736,-1627.68,1.5865,0.00963302,-1.44441
352.301,-372.704,-1627.67,1.5865,0.00955096,-1.44437
352.35,-372.793,-1627.93,1.58647,0.00962418,-1.44436
352.335,-372.78,-1627.93,1.58644,0.00962522,-1.44431
352.35,-372.786,-1627.92,1.58643,0.00959343,-1.4443
352.404,-372.759,-1627.65,1.58659,0.0095517,-1.44436
352.424,-372.754,-1627.64,1.58648,0.00953128,-1.44433
352.388,-372.685,-1627.5,1.58655,0.0096198,-1.44437
352.395,-372.681,-1627.48,1.58652,0.00961979,-1.44436
352.412,-372.683,-1627.46,1.58651,0.0095872,-1.44433
352.29,-372.702,-1627.44,1.58652,0.00966451,-1.44434
352.29,-372.696,-1627.42,1.58649,0.00971752,-1.44434
352.334,-372.708,-1627.4,1.58652,0.00964626,-1.44438
352.344,-372.701,-1627.39,1.5865,0.00958137,-1.44433
352.344,-372.711,-1627.36,1.58651,0.00956848,-1.44427
