x,y,z,A,B,C
912.515,-70.7402,746.782,3.14019,0.000889414,-3.13857
912.415,-70.97,746.842,3.14033,0.000873979,-3.13861
912.414,-70.9961,746.848,3.14029,0.00093502,-3.13856
912.351,-70.9975,746.861,3.14037,0.000732345,-3.13859
912.534,-70.5887,746.768,3.14026,0.000888409,-3.13855
912.506,-70.6232,746.802,3.14025,0.000942093,-3.13853
912.491,-70.6363,746.816,3.14021,0.000918642,-3.13861
912.492,-70.6322,746.834,3.14027,0.00092829,-3.13861
912.482,-70.7913,746.835,3.14026,0.000869374,-3.13858
912.475,-70.7983,746.856,3.14033,0.000836823,-3.13858
912.47,-70.8343,746.85,3.14024,0.000833163,-3.1386
912.506,-70.7938,746.829,3.14029,0.000839372,-3.13865
912.503,-70.7957,746.839,3.14035,0.000811556,-3.13857
912.434,-71.0718,746.873,3.14031,0.000849215,-3.13876
912.425,-71.0773,746.874,3.14027,0.000892971,-3.1387
912.526,-70.8893,746.852,3.14022,0.000808256,-3.13866
912.501,-71.1133,746.889,3.14022,0.000847561,-3.1387
912.398,-71.1755,746.919,3.14026,0.000875996,-3.1387
912.414,-70.9827,746.848,3.14025,0.000917074,-3.13869
912.337,-70.9819,746.824,3.14024,0.00103819,-3.13873
912.317,-71.0252,746.822,3.14011,0.00111228,-3.13873
912.286,-71.0033,746.832,3.14021,0.00100505,-3.13869
912.301,-71.1156,746.844,3.14023,0.000920009,-3.13869
912.282,-71.1277,746.865,3.14021,0.00100949,-3.13874
912.269,-71.1082,746.889,3.14023,0.000977992,-3.13873
912.298,-70.9938,746.876,3.14023,0.000963974,-3.13872
912.331,-70.8826,746.867,3.14022,0.000971514,-3.13869
912.348,-70.8277,746.866,3.14021,0.000952969,-3.13866
912.369,-70.8624,746.874,3.14026,0.000923569,-3.13867
912.393,-70.913,746.882,3.14028,0.000884948,-3.13865
912.402,-71.0067,746.909,3.1403,0.000880083,-3.13866
912.412,-71.0856,746.933,3.14032,0.000877991,-3.13866
912.423,-71.1619,746.95,3.14032,0.000868604,-3.13866
912.398,-71.2264,746.957,3.14033,0.000887996,-3.13866
912.375,-71.2985,746.965,3.14032,0.000921768,-3.13866
912.36,-71.3705,746.968,3.14031,0.000934347,-3.13869
912.351,-71.4095,746.969,3.1403,0.00092168,-3.13868
912.342,-71.4388,746.964,3.14029,0.000903944,-3.13865
912.336,-71.5407,746.969,3.1403,0.000910827,-3.13866
912.328,-71.6054,746.969,3.14031,0.000906423,-3.13864
912.335,-71.6454,746.966,3.14031,0.000921937,-3.13863
912.345,-71.697,746.967,3.14031,0.000950592,-3.13864
912.295,-71.6405,746.969,3.14032,0.000940702,-3.13863
912.259,-71.586,746.975,3.14033,0.000934146,-3.13861
912.223,-71.5397,746.981,3.14035,0.000919664,-3.1386
912.178,-71.5071,746.975,3.14034,0.000905974,-3.13859
912.142,-71.4743,746.967,3.14033,0.00090495,-3.13861
912.122,-71.4738,746.964,3.14033,0.000907406,-3.13864
912.096,-71.5069,746.973,3.14033,0.000908229,-3.13864
912.07,-71.5549,746.982,3.14031,0.000896932,-3.13867
912.072,-71.5392,747.001,3.14029,0.000861058,-3.13866
912.078,-71.5136,747.018,3.14028,0.000852669,-3.13865
912.082,-71.5017,747.038,3.14027,0.000878544,-3.13864
912.123,-71.4139,747.023,3.14025,0.000883335,-3.13863
912.158,-71.3851,747.017,3.14025,0.000873836,-3.13863
912.2,-71.2595,746.98,3.14019,0.000869768,-3.13864
912.247,-71.1643,746.947,3.14014,0.000858442,-3.13862
912.309,-71.041,746.891,3.14009,0.000815807,-3.13865
912.363,-70.9585,746.848,3.14,0.000752405,-3.13869
912.407,-70.8973,746.811,3.13997,0.000708738,-3.1387
912.445,-70.865,746.784,3.13994,0.00069754,-3.13875
912.47,-70.8331,746.767,3.13994,0.000672738,-3.13876
912.461,-70.9161,746.779,3.13992,0.000653477,-3.1388
912.43,-70.9879,746.795,3.13992,0.00060623,-3.13881
912.393,-71.0452,746.811,3.13995,0.00056292,-3.13884
912.375,-71.1354,746.829,3.13995,0.000563777,-3.13886
912.352,-71.2264,746.85,3.13995,0.000531386,-3.13885
912.37,-71.2047,746.847,3.13993,0.000521355,-3.13884
912.393,-71.1902,746.853,3.13993,0.000543709,-3.13881
912.406,-71.1809,746.862,3.13992,0.000538694,-3.13877
912.371,-71.231,746.906,3.13991,0.000561917,-3.13874
