x,y,z,A,B,C
395.003,-361.867,-1620.9,3.05177,-1.40304,3.02861
394.987,-361.87,-1620.89,3.05244,-1.40301,3.02938
395.049,-361.792,-1620.82,3.0524,-1.40293,3.02925
395.068,-361.795,-1620.77,3.05186,-1.40301,3.02881
395.059,-361.796,-1620.75,3.05215,-1.40298,3.02902
395.093,-361.79,-1620.72,3.052,-1.40301,3.02887
394.981,-361.859,-1620.94,3.05096,-1.40294,3.02787
395.005,-361.846,-1620.91,3.05141,-1.40283,3.02824
394.952,-361.826,-1620.95,3.05078,-1.4029,3.02768
394.946,-361.844,-1620.92,3.05044,-1.40286,3.02738
394.97,-361.844,-1620.89,3.0509,-1.40295,3.02778
394.964,-361.873,-1620.92,3.05055,-1.40286,3.02741
394.986,-361.869,-1620.89,3.0508,-1.40291,3.02764
394.972,-361.875,-1620.88,3.05031,-1.40292,3.02714
394.996,-361.878,-1620.85,3.05087,-1.40287,3.02769
395.05,-361.893,-1621.01,3.05032,-1.40286,3.02721
395.022,-361.896,-1621.01,3.05054,-1.40284,3.02746
395.074,-361.901,-1620.98,3.05,-1.40291,3.02693
394.989,-361.909,-1621.04,3.04995,-1.40272,3.02685
395.017,-361.911,-1621.02,3.05011,-1.40277,3.02709
395.033,-361.912,-1621.08,3.04994,-1.40283,3.02695
395.039,-361.917,-1621.07,3.04969,-1.40282,3.02663
395.044,-361.913,-1621.05,3.04943,-1.40289,3.0264
394.996,-361.896,-1621.05,3.05006,-1.40275,3.02703
395.016,-361.889,-1621.03,3.04982,-1.40279,3.02674
394.993,-361.895,-1621.11,3.05029,-1.40273,3.02729
394.993,-361.894,-1621.1,3.04987,-1.40274,3.02686
394.912,-361.888,-1621.13,3.04998,-1.40278,3.02694
394.887,-361.894,-1621.12,3.04949,-1.40272,3.02651
394.893,-361.892,-1621.1,3.04919,-1.40277,3.02627
394.814,-361.885,-1621.11,3.04946,-1.40278,3.02653
394.799,-361.874,-1621.11,3.04988,-1.40271,3.02686
394.895,-361.864,-1621.15,3.05016,-1.40274,3.02719
394.877,-361.849,-1621.15,3.05015,-1.40265,3.02717
394.854,-361.856,-1621.14,3.04946,-1.4028,3.02658
394.898,-361.814,-1621.08,3.05,-1.4028,3.02698
394.87,-361.804,-1621.07,3.05013,-1.40286,3.02711
394.889,-361.841,-1621.19,3.05012,-1.40268,3.02706
394.904,-361.837,-1621.19,3.05072,-1.40274,3.02764
394.898,-361.847,-1621.19,3.05048,-1.40283,3.02744
394.887,-361.834,-1621.26,3.05009,-1.40272,3.02702
394.867,-361.825,-1621.26,3.05001,-1.40276,3.02695
394.859,-361.822,-1621.25,3.05018,-1.40266,3.02718
394.866,-361.817,-1621.23,3.05046,-1.40271,3.02743
395.04,-361.883,-1621.39,3.05079,-1.40261,3.02768
395.063,-361.891,-1621.37,3.05103,-1.40273,3.02802
395.053,-361.904,-1621.28,3.05116,-1.40276,3.02802
394.982,-361.824,-1621.08,3.05152,-1.40265,3.02822
394.997,-361.82,-1621.05,3.05196,-1.40273,3.02873
394.976,-361.834,-1621.02,3.05165,-1.40263,3.02841
395.029,-361.906,-1621.16,3.05118,-1.40272,3.02787
394.902,-361.845,-1621.04,3.05204,-1.40266,3.02865
394.847,-361.872,-1621.07,3.05147,-1.40281,3.02811
394.9,-361.855,-1621.07,3.05131,-1.40275,3.02794
394.807,-361.867,-1620.93,3.05111,-1.40275,3.02768
394.845,-361.92,-1621.04,3.05112,-1.40283,3.02773
394.877,-361.719,-1620.65,3.05165,-1.40285,3.02818
394.431,-361.941,-1620.93,3.05188,-1.40298,3.02849
392.336,-361.791,-1620.35,3.05258,-1.40305,3.0291
391.892,-361.849,-1620.34,3.05444,-1.40304,3.03089
390.938,-361.714,-1620.19,3.0532,-1.40306,3.02968
389.772,-361.684,-1620.04,3.05473,-1.40304,3.03108
386.393,-361.658,-1619.79,3.05506,-1.40288,3.03146
384.497,-361.518,-1619.61,3.05105,-1.40314,3.02757
384.153,-361.496,-1619.56,3.05055,-1.40317,3.02709
380.96,-361.761,-1619.43,3.05472,-1.4027,3.03105
379.987,-361.669,-1619.3,3.05974,-1.40328,3.03575
379.658,-361.723,-1619.36,3.05354,-1.40206,3.03006
379.198,-361.831,-1619.17,3.05068,-1.40374,3.02679
378.356,-362.03,-1619.33,3.06155,-1.40241,3.03764
377.503,-361.887,-1619.22,3.05795,-1.40292,3.03402
377.172,-361.978,-1619.39,3.05073,-1.40253,3.02713
376.416,-362.136,-1619.18,3.05334,-1.40301,3.02958
375.748,-362.153,-1619.58,3.06184,-1.40225,3.03803
374.903,-361.988,-1619.5,3.06036,-1.40294,3.03656
374.181,-362.046,-1619.52,3.0535,-1.40206,3.03007
373.634,-362.163,-1619,3.05831,-1.40301,3.03483
372.972,-362.165,-1619.05,3.06506,-1.40203,3.04121
372.419,-362.006,-1619.43,3.05572,-1.40218,3.03222
371.642,-362.111,-1618.89,3.05382,-1.40333,3.03038
370.846,-362.18,-1618.7,3.0575,-1.40308,3.03386
370.713,-362.206,-1618.8,3.06583,-1.40251,3.04194
370.076,-362.061,-1618.58,3.05576,-1.40191,3.03243
369.439,-362.238,-1618.68,3.05367,-1.40312,3.03032
368.777,-362.333,-1618.57,3.06271,-1.40185,3.03926
368.199,-362.224,-1618.55,3.06413,-1.403,3.04045
367.163,-362.153,-1618.2,3.06044,-1.4028,3.03691
366.076,-362.251,-1618.02,3.0597,-1.40295,3.03607
365.194,-362.271,-1617.96,3.06361,-1.40216,3.04002
364.53,-362.121,-1617.93,3.06401,-1.40285,3.04049
363.995,-362.224,-1617.95,3.05075,-1.40283,3.02744
363.227,-362.321,-1617.86,3.05246,-1.40265,3.02928
362.451,-362.423,-1617.78,3.06428,-1.40277,3.04073
362.03,-362.22,-1618.01,3.05956,-1.40225,3.03608
361.313,-362.218,-1617.93,3.05163,-1.4029,3.02851
360.775,-362.407,-1617.82,3.05635,-1.40233,3.03307
360.051,-362.409,-1617.72,3.06483,-1.40298,3.04138
359.605,-362.321,-1617.95,3.05935,-1.40229,3.03596
358.944,-362.411,-1617.53,3.05334,-1.40307,3.03017
358.23,-362.532,-1617.46,3.05627,-1.40248,3.03296
357.313,-362.357,-1617.16,3.06288,-1.40293,3.03951
