x,y,z,A,B,C
1147.76,-152.319,774.415,-2.98178,-0.255613,1.56454
1147.74,-152.334,774.412,-2.98174,-0.255721,1.56467
1147.8,-152.413,774.49,-2.98165,-0.255706,1.56459
1147.81,-152.455,774.486,-2.98175,-0.255625,1.56467
1147.8,-152.475,774.485,-2.98172,-0.25567,1.5646
1147.83,-152.507,774.491,-2.98175,-0.255648,1.56458
1147.74,-152.285,774.424,-2.98169,-0.255467,1.56462
1147.77,-152.311,774.436,-2.98157,-0.25553,1.56459
1147.72,-152.271,774.456,-2.98166,-0.255433,1.56462
1147.71,-152.296,774.438,-2.98162,-0.255372,1.56467
1147.73,-152.327,774.438,-2.9817,-0.255458,1.56459
1147.73,-152.297,774.409,-2.98162,-0.255391,1.56459
1147.74,-152.328,774.414,-2.98167,-0.255438,1.56456
1147.73,-152.338,774.407,-2.98168,-0.255358,1.56454
1147.75,-152.373,774.404,-2.98162,-0.255446,1.56454
1147.82,-152.217,774.389,-2.98163,-0.255353,1.56462
1147.79,-152.213,774.386,-2.9816,-0.255388,1.56466
1147.84,-152.249,774.381,-2.98168,-0.255304,1.56464
1147.76,-152.184,774.374,-2.98149,-0.255277,1.56465
1147.79,-152.209,774.371,-2.98153,-0.255308,1.56472
1147.81,-152.147,774.37,-2.9816,-0.255286,1.56474
1147.81,-152.16,774.365,-2.9816,-0.255245,1.56466
1147.82,-152.18,774.369,-2.98167,-0.255208,1.56467
1147.77,-152.17,774.387,-2.98151,-0.255298,1.56471
1147.79,-152.199,774.393,-2.98156,-0.255262,1.56465
1147.77,-152.116,774.388,-2.98149,-0.255333,1.56476
1147.77,-152.127,774.389,-2.98151,-0.255266,1.56473
1147.69,-152.087,774.395,-2.98155,-0.255287,1.5647
1147.67,-152.089,774.39,-2.98149,-0.255201,1.56476
1147.67,-152.113,774.391,-2.98155,-0.255155,1.56481
1147.6,-152.095,774.399,-2.98156,-0.255201,1.5648
1147.58,-152.093,774.409,-2.98147,-0.255263,1.56474
1147.68,-152.059,774.419,-2.9815,-0.255313,1.56478
1147.66,-152.063,774.435,-2.98141,-0.255301,1.5648
1147.64,-152.066,774.428,-2.98157,-0.255203,1.56484
1147.68,-152.134,774.469,-2.98156,-0.255293,1.56471
1147.65,-152.136,774.48,-2.98163,-0.255322,1.5647
1147.68,-152.02,774.442,-2.98144,-0.2553,1.56471
1147.69,-152.026,774.447,-2.98149,-0.255406,1.56469
1147.69,-152.028,774.436,-2.98159,-0.255376,1.5647
1147.68,-151.952,774.45,-2.98148,-0.255299,1.56468
1147.66,-151.955,774.459,-2.98153,-0.255291,1.56469
1147.66,-151.957,774.462,-2.98142,-0.255307,1.56477
1147.66,-151.977,774.467,-2.98146,-0.255359,1.56474
1147.85,-151.841,774.4,-2.98135,-0.255404,1.56468
1147.87,-151.863,774.392,-2.98147,-0.255457,1.56476
1147.85,-151.949,774.378,-2.9815,-0.255481,1.56463
1147.76,-152.137,774.459,-2.98139,-0.25553,1.5645
1147.77,-152.178,774.463,-2.98145,-0.255611,1.56456
1147.75,-152.198,774.448,-2.98136,-0.255549,1.56456
1147.81,-152.072,774.377,-2.98146,-0.255481,1.56447
1147.68,-152.174,774.438,-2.98139,-0.255617,1.56442
1147.62,-152.142,774.412,-2.98155,-0.255538,1.5644
1147.68,-152.147,774.428,-2.98149,-0.255506,1.5644
1147.57,-152.274,774.416,-2.98149,-0.255472,1.56434
1147.62,-152.164,774.363,-2.98157,-0.255482,1.56436
1147.61,-152.556,774.563,-2.98159,-0.255572,1.56429
1147.2,-152.232,774.345,-2.98172,-0.255625,1.56433
1145.05,-152.586,774.507,-2.98178,-0.255749,1.56423
1144.61,-152.549,774.452,-2.98173,-0.256055,1.5642
1143.65,-152.601,774.593,-2.98177,-0.255853,1.5642
1142.47,-152.628,774.63,-2.98173,-0.256104,1.56411
1139.08,-152.522,774.678,-2.98155,-0.256143,1.5642
1137.18,-152.502,774.83,-2.9819,-0.255504,1.56419
1136.83,-152.511,774.854,-2.98194,-0.255425,1.56418
1133.64,-152.302,774.61,-2.98138,-0.256068,1.56418
1132.66,-152.329,774.707,-2.98189,-0.25696,1.5638
1132.34,-152.242,774.655,-2.98074,-0.255805,1.56451
1131.86,-152.377,774.551,-2.98252,-0.255507,1.56362
1131.04,-152.126,774.357,-2.98096,-0.257175,1.56415
1130.18,-152.146,774.505,-2.98154,-0.256628,1.56392
1129.87,-151.951,774.417,-2.98127,-0.255386,1.56422
1129.1,-152.073,774.264,-2.98173,-0.255871,1.56398
1128.47,-151.611,774.253,-2.98079,-0.257209,1.56429
1127.63,-151.593,774.423,-2.98152,-0.25703,1.56409
1126.91,-151.497,774.37,-2.98074,-0.255798,1.56456
1126.31,-151.959,774.255,-2.98163,-0.256697,1.56435
1125.66,-151.84,774.257,-2.98051,-0.257725,1.56436
1125.15,-151.405,774.421,-2.98082,-0.25618,1.56451
1124.32,-151.857,774.319,-2.98205,-0.255984,1.56422
1123.51,-151.961,774.255,-2.98172,-0.256569,1.56416
1123.38,-151.852,774.231,-2.98099,-0.2579,1.56421
1122.73,-152.007,774.379,-2.98054,-0.256159,1.56475
1122.1,-151.834,774.206,-2.98182,-0.255937,1.56436
1121.43,-151.872,774.116,-2.98036,-0.257315,1.56478
1120.86,-151.83,774.228,-2.98152,-0.257663,1.56426
1119.79,-152.069,774.305,-2.98138,-0.25703,1.56439
1118.69,-152.138,774.214,-2.98155,-0.256922,1.56424
1117.81,-152.102,774.199,-2.98066,-0.257495,1.56456
1117.14,-152.066,774.354,-2.98137,-0.257628,1.56447
1116.61,-151.993,774.254,-2.98158,-0.255422,1.56443
1115.84,-151.995,774.162,-2.98136,-0.255687,1.56463
1115.06,-151.994,774.065,-2.98129,-0.257667,1.56445
1114.67,-151.726,774.271,-2.98083,-0.256829,1.56457
1113.95,-151.722,774.278,-2.98164,-0.255576,1.56462
1113.4,-151.78,774.092,-2.98096,-0.2563,1.5647
1112.67,-151.804,774.095,-2.98149,-0.257777,1.56451
1112.25,-151.524,774.186,-2.98087,-0.256797,1.56465
1111.55,-151.87,774.099,-2.98178,-0.255877,1.56456
1110.83,-151.864,773.983,-2.98112,-0.256302,1.56463
1109.89,-152.071,774.163,-2.98148,-0.257448,1.56457
1109.2,-152.013,774.272,-2.98114,-0.256777,1.56463
1108.55,-152.356,774.144,-2.98151,-0.255965,1.56474
1107.91,-152.373,774.042,-2.98112,-0.256585,1.56466
1107.18,-152.458,774.118,-2.98111,-0.25725,1.56466
1106.48,-151.851,774.221,-2.98105,-0.256353,1.5649
1105.76,-151.879,774.109,-2.98175,-0.256101,1.56424
1105.29,-151.953,773.878,-2.98154,-0.257389,1.56432
1104.61,-151.97,773.949,-2.98123,-0.257512,1.56428
1103.96,-151.971,774.014,-2.98164,-0.256367,1.56439
1103.16,-151.835,773.996,-2.98128,-0.255928,1.5645
1102.41,-151.878,773.905,-2.98133,-0.25694,1.56442
1101.8,-151.789,774.031,-2.98131,-0.256915,1.56457
1101.06,-151.839,774.083,-2.98165,-0.256096,1.56462
1100.25,-151.538,774.082,-2.98139,-0.256096,1.56451
1099.49,-151.513,774.034,-2.98164,-0.257046,1.56428
1098.85,-151.525,774.116,-2.98127,-0.256619,1.56466
1098.3,-151.753,774.07,-2.98197,-0.255827,1.56439
1097.67,-151.723,773.923,-2.98124,-0.256331,1.56464
1096.94,-151.694,773.888,-2.98159,-0.257304,1.56428
1096.17,-151.753,774.187,-2.98136,-0.256892,1.56452
1095.76,-151.7,774.096,-2.98181,-0.256037,1.56445
1094.97,-151.946,774.021,-2.9815,-0.256926,1.56434
1094.38,-152.111,773.968,-2.98179,-0.257119,1.56435
1093.58,-151.796,774.045,-2.98144,-0.257122,1.56453
1092.85,-151.761,774.036,-2.98143,-0.256291,1.56451
1092.34,-152.008,773.984,-2.98139,-0.256284,1.56448
1091.7,-152.128,773.968,-2.98193,-0.257275,1.56422
1091.09,-152.109,774.025,-2.98117,-0.256759,1.56442
1090.12,-152.163,774.039,-2.98212,-0.255852,1.56431
1089.46,-152.094,773.85,-2.98154,-0.256801,1.5644
1088.77,-152.183,773.871,-2.98185,-0.257504,1.56417
1088.22,-151.937,774.003,-2.98149,-0.256575,1.56461
1087.35,-151.823,773.93,-2.98155,-0.256147,1.56463
1086.69,-151.815,773.828,-2.98127,-0.256645,1.56467
1085.97,-151.842,773.882,-2.98144,-0.25713,1.56466
1085.34,-151.656,773.983,-2.98118,-0.256373,1.56489
1084.64,-151.682,773.933,-2.98174,-0.255794,1.56474
1083.91,-151.532,773.791,-2.98125,-0.257053,1.56483
1083.18,-151.528,773.867,-2.98138,-0.257154,1.56473
1082.53,-151.508,773.902,-2.98135,-0.256034,1.56478
1081.73,-151.683,773.821,-2.98128,-0.255957,1.5649
1081.04,-151.685,773.735,-2.98124,-0.256791,1.5648
1080.34,-151.791,773.865,-2.98126,-0.257007,1.56476
1079.67,-151.761,773.929,-2.98141,-0.256295,1.56472
1076.9,-151.805,773.903,-2.98112,-0.25712,1.56487
1075.54,-151.453,773.794,-2.98122,-0.25572,1.56513
1074.24,-151.379,773.838,-2.98093,-0.257308,1.56495
1072,-151.363,773.818,-2.98126,-0.256973,1.56494
1066.93,-151.685,773.699,-2.98146,-0.256964,1.56486
1066.49,-151.674,773.871,-2.98141,-0.256688,1.56494
1065.82,-151.686,773.919,-2.98161,-0.25625,1.56482
1065.22,-151.784,773.827,-2.98142,-0.256028,1.56487
1064.61,-151.816,773.724,-2.98154,-0.256586,1.56472
1063.92,-151.792,773.775,-2.98136,-0.257029,1.56487
1063.26,-151.76,773.817,-2.98165,-0.256768,1.56476
1062.59,-151.676,773.823,-2.9816,-0.256438,1.56483
1061.93,-151.715,773.773,-2.98194,-0.256199,1.56466
1061.23,-151.77,773.723,-2.98146,-0.256694,1.56481
1060.54,-151.835,773.781,-2.98197,-0.25676,1.56455
1059.87,-151.794,773.742,-2.98142,-0.256336,1.56487
1059.11,-151.72,773.759,-2.98176,-0.256748,1.56474
1058.44,-151.696,773.782,-2.98147,-0.256725,1.56483
1057.81,-151.482,773.682,-2.98175,-0.256531,1.56471
1056.94,-151.638,773.755,-2.98171,-0.256251,1.56472
1056.3,-151.642,773.737,-2.98199,-0.256612,1.56455
1055.52,-151.864,773.811,-2.98188,-0.256536,1.56469
1054.9,-151.804,773.825,-2.98188,-0.256652,1.56461
1054.18,-151.801,773.931,-2.98202,-0.256334,1.56451
1053.51,-151.758,773.862,-2.98187,-0.256244,1.56466
1052.81,-151.82,773.849,-2.98215,-0.256439,1.56453
1052.17,-151.764,773.851,-2.98187,-0.256612,1.56459
1051.44,-151.85,773.89,-2.98185,-0.256235,1.56478
1050.78,-151.71,773.841,-2.98152,-0.256086,1.56477
1050.02,-151.785,773.834,-2.98196,-0.256675,1.56456
1049.3,-151.839,773.868,-2.98177,-0.256494,1.56461
1048.59,-151.927,773.891,-2.98203,-0.256253,1.56452
1047.92,-151.929,773.893,-2.98181,-0.256082,1.5647
1047.2,-152.197,773.928,-2.98217,-0.256324,1.56455
1046.53,-151.965,773.81,-2.98208,-0.256407,1.56462
1045.17,-152.11,773.913,-2.9818,-0.256435,1.5648
1044.81,-152.099,773.892,-2.98206,-0.256278,1.5646
1043.92,-152.079,773.849,-2.98206,-0.256201,1.56463
1041.29,-152.157,773.832,-2.98171,-0.256057,1.56476
1038.15,-152.178,773.776,-2.98235,-0.256261,1.56457
1035.26,-152.248,773.79,-2.98206,-0.256295,1.5647
1034.8,-152.176,773.769,-2.98164,-0.257005,1.56493
1033.96,-152.124,773.816,-2.98188,-0.256497,1.56483
1030.19,-151.868,773.823,-2.98208,-0.25646,1.56485
1029.76,-151.756,773.753,-2.98207,-0.256481,1.56466
1029.02,-151.87,773.741,-2.98212,-0.256924,1.56476
1028.35,-151.812,773.7,-2.98233,-0.257006,1.56467
1027.66,-151.891,773.714,-2.98224,-0.257027,1.56471
1027.05,-151.809,773.736,-2.98202,-0.256744,1.5649
1026.33,-151.836,773.747,-2.98247,-0.256748,1.56446
1025.63,-151.873,773.797,-2.98195,-0.257101,1.56463
1024.84,-151.918,773.909,-2.98248,-0.25716,1.56435
1024.26,-151.937,773.884,-2.98195,-0.256449,1.56468
1023.48,-152.018,773.842,-2.98269,-0.256271,1.56437
1022.75,-152.019,773.782,-2.98186,-0.256748,1.56464
1022.38,-151.926,773.753,-2.98246,-0.257396,1.56428
1021.76,-151.94,773.859,-2.98225,-0.256435,1.56466
1021.03,-151.925,773.718,-2.98259,-0.256543,1.56438
1020.34,-151.94,773.617,-2.98212,-0.256499,1.56474
1019.68,-151.918,773.518,-2.98245,-0.256794,1.56448
1018.99,-151.79,773.513,-2.98216,-0.257361,1.56466
1018.35,-151.758,773.564,-2.98271,-0.257064,1.5644
1017.6,-151.624,773.455,-2.98264,-0.256717,1.56449
1016.81,-151.68,773.413,-2.98257,-0.256834,1.56444
1016.32,-151.345,773.424,-2.98262,-0.257258,1.56426
1015.57,-151.388,773.459,-2.98255,-0.256727,1.56434
1014.98,-151.289,773.345,-2.98245,-0.256518,1.56436
1014.35,-151.005,773.243,-2.98262,-0.257252,1.56437
1013.78,-150.856,773.27,-2.98197,-0.257511,1.56462
1013.18,-150.796,773.305,-2.98277,-0.257448,1.56421
1012.53,-150.745,773.232,-2.98239,-0.256853,1.56449
1011.85,-150.774,773.138,-2.98304,-0.257232,1.56418
1010.94,-150.999,773.271,-2.98218,-0.25744,1.56454
1010.26,-151.031,773.331,-2.9828,-0.257239,1.56438
1009.42,-150.96,773.262,-2.98228,-0.257023,1.56456
1008.73,-150.903,773.239,-2.98272,-0.257491,1.56414
1008.1,-151.012,773.219,-2.98235,-0.257194,1.56432
1007.39,-150.97,773.201,-2.9824,-0.257289,1.56436
1006.76,-150.98,773.297,-2.98249,-0.257356,1.56421
1005.85,-150.737,773.254,-2.98229,-0.256901,1.56433
1005.16,-150.731,773.124,-2.98245,-0.256992,1.56423
1004.76,-150.481,773.085,-2.98233,-0.257826,1.56441
1004.11,-150.465,773.185,-2.98252,-0.257391,1.56427
1003.45,-150.477,773.228,-2.98257,-0.256891,1.56441
1002.82,-150.442,773.086,-2.98271,-0.257137,1.56415
1002.11,-150.501,772.975,-2.98236,-0.257451,1.56444
1001.57,-150.435,772.967,-2.98271,-0.257746,1.56422
1000.86,-150.49,773.032,-2.98233,-0.257789,1.56434
1000.29,-150.429,773.046,-2.98205,-0.25743,1.5645
999.518,-150.422,772.986,-2.98249,-0.256951,1.56431
998.862,-150.373,772.887,-2.98276,-0.256963,1.56431
998.122,-150.301,772.958,-2.98239,-0.257915,1.56443
997.477,-150.202,773.038,-2.98261,-0.257609,1.56426
