x,y,z,A,B,C
395.242,-369.207,-1620.2,3.04963,-1.4027,3.03042
395.24,-369.205,-1620.19,3.04981,-1.40276,3.03054
395.215,-369.204,-1620.12,3.0497,-1.40274,3.0305
395.217,-369.193,-1620.12,3.0497,-1.40271,3.03047
395.2,-369.206,-1620.05,3.04958,-1.40269,3.03031
395.191,-369.227,-1620.03,3.04966,-1.40272,3.03035
395.197,-369.222,-1620.11,3.04988,-1.40273,3.03055
395.192,-369.229,-1620.11,3.05007,-1.40273,3.0307
395.181,-369.23,-1620.1,3.04987,-1.40279,3.03053
395.162,-369.238,-1620.11,3.04978,-1.40274,3.03052
395.146,-369.24,-1620.12,3.04957,-1.40271,3.03032
395.182,-369.249,-1620.21,3.04966,-1.4028,3.03034
395.179,-369.248,-1620.21,3.04988,-1.40276,3.03061
395.174,-369.246,-1620.21,3.04937,-1.4027,3.03004
395.187,-369.234,-1620.21,3.04935,-1.40274,3.03007
395.189,-369.232,-1620.2,3.04939,-1.40275,3.03016
395.172,-369.199,-1620.08,3.04978,-1.40274,3.03055
395.235,-369.235,-1620.22,3.05006,-1.40279,3.03087
395.237,-369.238,-1620.22,3.05001,-1.40275,3.03076
395.24,-369.242,-1620.09,3.05092,-1.40274,3.03173
395.241,-369.243,-1620.09,3.0504,-1.40275,3.0311
395.202,-369.2,-1619.97,3.05009,-1.40277,3.03076
395.21,-369.205,-1619.96,3.05052,-1.40278,3.03126
395.22,-369.214,-1619.94,3.05027,-1.4028,3.03099
395.18,-369.177,-1619.85,3.05014,-1.40281,3.03078
395.184,-369.176,-1619.84,3.05024,-1.40272,3.0309
395.171,-369.188,-1619.86,3.04985,-1.40281,3.03058
395.179,-369.192,-1619.85,3.05001,-1.40278,3.03062
395.242,-369.203,-1619.96,3.0504,-1.40272,3.03107
395.25,-369.196,-1619.96,3.05041,-1.40277,3.03116
395.256,-369.193,-1619.95,3.05061,-1.40275,3.03131
395.253,-369.172,-1619.95,3.05041,-1.40277,3.03113
395.256,-369.174,-1619.95,3.05049,-1.40274,3.03121
395.227,-369.193,-1620.07,3.04985,-1.40271,3.03056
395.232,-369.194,-1620.06,3.04962,-1.40277,3.03029
395.236,-369.193,-1620.06,3.04937,-1.40272,3.03007
395.201,-369.213,-1620.1,3.05,-1.40265,3.03072
395.187,-369.234,-1620.08,3.04959,-1.40271,3.03024
395.188,-369.25,-1620.09,3.04974,-1.40274,3.03039
395.18,-369.263,-1620.09,3.04924,-1.40269,3.02992
395.16,-369.25,-1620.06,3.04955,-1.40274,3.03008
395.144,-369.254,-1620.06,3.04939,-1.40276,3.03004
395.158,-369.256,-1620.08,3.04905,-1.40274,3.02969
395.144,-369.252,-1620.08,3.04943,-1.40273,3.03012
395.214,-369.22,-1620.21,3.04985,-1.40279,3.03052
395.217,-369.219,-1620.21,3.0496,-1.40277,3.03029
395.219,-369.222,-1620.2,3.04939,-1.40277,3.03009
395.243,-369.244,-1620.35,3.04997,-1.40277,3.03072
395.248,-369.24,-1620.36,3.04951,-1.40275,3.03034
395.233,-369.259,-1620.36,3.04967,-1.40275,3.0304
