x,y,z,A,B,C
1148.64,-149.755,774.095,-2.97674,-0.253802,1.57561
1148.63,-149.756,774.097,-2.9768,-0.253838,1.57555
1148.6,-149.826,774.098,-2.97678,-0.253819,1.57561
1148.6,-149.831,774.109,-2.97675,-0.253815,1.5756
1148.58,-149.896,774.096,-2.97673,-0.253793,1.57555
1148.57,-149.919,774.075,-2.97676,-0.253808,1.57552
1148.58,-149.834,774.08,-2.97676,-0.253846,1.5755
1148.58,-149.84,774.074,-2.97676,-0.253877,1.57546
1148.57,-149.842,774.072,-2.97682,-0.253851,1.57547
1148.55,-149.83,774.064,-2.97678,-0.25383,1.57556
1148.53,-149.819,774.063,-2.97675,-0.253793,1.57557
1148.58,-149.73,774.053,-2.97683,-0.253817,1.57548
1148.58,-149.73,774.055,-2.9768,-0.253851,1.57554
1148.57,-149.73,774.056,-2.97674,-0.253758,1.57549
1148.58,-149.734,774.069,-2.97678,-0.253759,1.57553
1148.58,-149.743,774.07,-2.97679,-0.253767,1.57558
1148.55,-149.868,774.104,-2.97677,-0.25383,1.57559
1148.63,-149.73,774.067,-2.97682,-0.253883,1.57562
1148.63,-149.727,774.064,-2.97678,-0.25387,1.57558
1148.62,-149.859,774.06,-2.97676,-0.25402,1.57566
1148.62,-149.859,774.059,-2.97677,-0.253934,1.57553
1148.57,-149.972,774.102,-2.9768,-0.253886,1.57549
1148.58,-149.987,774.097,-2.9768,-0.253957,1.57557
1148.59,-150.003,774.088,-2.97683,-0.25392,1.57554
1148.54,-150.089,774.125,-2.97684,-0.253898,1.57545
1148.54,-150.102,774.126,-2.97675,-0.253906,1.57548
1148.53,-150.086,774.114,-2.97685,-0.253851,1.57553
1148.54,-150.096,774.11,-2.97681,-0.253874,1.57543
1148.61,-149.989,774.099,-2.97675,-0.253932,1.57551
1148.62,-149.991,774.106,-2.97679,-0.25394,1.57557
1148.63,-149.997,774.109,-2.97677,-0.253971,1.57553
1148.62,-149.997,774.129,-2.97679,-0.253939,1.57554
1148.62,-150.004,774.128,-2.97676,-0.253948,1.57556
1148.61,-149.878,774.109,-2.97675,-0.253839,1.57554
1148.61,-149.886,774.107,-2.97681,-0.253808,1.57549
1148.62,-149.893,774.108,-2.97676,-0.253761,1.57551
1148.59,-149.848,774.09,-2.97668,-0.253857,1.57556
1148.57,-149.863,774.068,-2.97675,-0.253795,1.57548
1148.57,-149.857,774.053,-2.97678,-0.253824,1.57546
1148.56,-149.849,774.04,-2.97674,-0.253736,1.5755
1148.54,-149.885,774.052,-2.97678,-0.253792,1.57535
1148.52,-149.88,774.049,-2.9768,-0.253769,1.57545
1148.54,-149.865,774.046,-2.97679,-0.25371,1.57544
1148.53,-149.858,774.051,-2.97677,-0.253772,1.57551
1148.61,-149.738,774.082,-2.97683,-0.253848,1.57548
1148.61,-149.741,774.083,-2.9768,-0.253804,1.5755
1148.61,-149.744,774.08,-2.97681,-0.25377,1.5755
1148.65,-149.6,774.058,-2.9768,-0.253867,1.57557
1148.66,-149.595,774.062,-2.97679,-0.253788,1.57563
1148.64,-149.594,774.044,-2.97679,-0.253813,1.57555
1148.64,-149.586,774.046,-2.97681,-0.253782,1.57552
1148.64,-149.585,774.046,-2.97681,-0.253816,1.57555
1148.69,-149.635,774.06,-2.97678,-0.25392,1.57554
1148.69,-149.625,774.068,-2.97678,-0.253899,1.57548
1148.69,-149.623,774.089,-2.97684,-0.253854,1.57551
1148.69,-149.637,774.094,-2.97683,-0.253783,1.57558
1148.67,-149.604,774.054,-2.97683,-0.253846,1.57552
1148.68,-149.608,774.049,-2.97678,-0.253819,1.57553
1148.67,-149.611,774.05,-2.97679,-0.253861,1.57561
1148.67,-149.683,774.045,-2.97676,-0.253889,1.57545
1148.67,-149.692,774.042,-2.97682,-0.253851,1.57551
1148.66,-149.697,774.038,-2.97682,-0.253952,1.57548
1148.59,-149.805,774.078,-2.97671,-0.253789,1.57545
1148.58,-149.808,774.084,-2.97674,-0.253788,1.57553
1148.56,-149.8,774.076,-2.97682,-0.25389,1.57548
1148.57,-149.822,774.088,-2.97675,-0.253821,1.57553
1148.55,-149.921,774.116,-2.97676,-0.253851,1.57552
1148.56,-149.939,774.117,-2.97679,-0.253765,1.5755
1148.56,-149.959,774.116,-2.97676,-0.253711,1.57551
1148.55,-150.085,774.144,-2.97679,-0.253885,1.57547
1148.56,-150.1,774.141,-2.97682,-0.253804,1.57543
1148.61,-149.972,774.11,-2.97677,-0.253785,1.57549
1148.61,-149.984,774.113,-2.97679,-0.2538,1.57551
1148.67,-149.914,774.118,-2.97677,-0.2539,1.57559
1148.67,-149.922,774.122,-2.97678,-0.253862,1.57562
1148.65,-149.919,774.144,-2.97672,-0.253794,1.57555
1148.64,-149.921,774.147,-2.9768,-0.253823,1.5755
1148.67,-149.979,774.174,-2.97643,-0.253806,1.57582
1148.57,-149.871,774.178,-2.97716,-0.253456,1.5754
1148.63,-149.825,774.105,-2.97642,-0.253608,1.57571
1148.63,-149.849,774.088,-2.97708,-0.253695,1.57553
1148.59,-149.826,774.194,-2.97635,-0.254237,1.57578
1148.52,-150,774.09,-2.97682,-0.253644,1.57545
1148.4,-150.253,773.996,-2.97676,-0.254324,1.57586
1148.21,-150.515,774.214,-2.97766,-0.253715,1.57526
1148.18,-150.58,774.213,-2.97639,-0.253276,1.57538
1148.28,-150.474,774.134,-2.97736,-0.254017,1.57541
1148.28,-150.506,774.149,-2.97678,-0.253849,1.57546
1148.58,-150.399,774.204,-2.97676,-0.2537,1.57547
1148.64,-150.402,774.185,-2.97657,-0.253343,1.57543
1148.7,-150.436,774.142,-2.97688,-0.25387,1.57536
1148.52,-150.575,774.234,-2.97694,-0.253846,1.5754
1148.58,-150.601,774.216,-2.97682,-0.253814,1.57547
1148.49,-150.701,774.258,-2.97705,-0.253945,1.57535
1148.52,-150.724,774.247,-2.97668,-0.253801,1.57544
1148.55,-150.765,774.232,-2.97715,-0.253793,1.57534
1148.56,-150.779,774.196,-2.97661,-0.253724,1.57541
1148.58,-150.853,774.22,-2.97714,-0.254056,1.57535
1148.42,-150.693,774.346,-2.97664,-0.253729,1.57547
1148.38,-150.763,774.363,-2.97687,-0.253461,1.57538
1148.39,-150.758,774.359,-2.97664,-0.253618,1.57547
1148.19,-150.685,774.349,-2.97681,-0.254004,1.57551
1148.21,-150.708,774.36,-2.97686,-0.253761,1.57551
1148.32,-150.677,774.32,-2.97697,-0.253465,1.57538
1148.36,-150.711,774.287,-2.97693,-0.253637,1.57555
1148.43,-150.589,774.286,-2.9769,-0.253888,1.57546
1148.44,-150.709,774.347,-2.97676,-0.253989,1.57562
1148.49,-150.746,774.367,-2.97688,-0.253883,1.57552
