x,y,z,A,B,C
395.129,-369.244,-1620.04,3.05167,-1.40259,3.03259
395.131,-369.255,-1620.03,3.05055,-1.40262,3.03153
395.136,-369.262,-1620.03,3.05112,-1.40269,3.03201
395.2,-369.256,-1620.3,3.05141,-1.40266,3.03239
395.195,-369.256,-1620.31,3.05124,-1.40272,3.03218
395.202,-369.315,-1620.57,3.05141,-1.40267,3.03247
395.223,-369.331,-1620.57,3.05121,-1.40275,3.03224
395.275,-369.365,-1620.63,3.05059,-1.40282,3.03172
395.289,-369.368,-1620.66,3.05081,-1.40276,3.03193
395.288,-369.366,-1620.67,3.05107,-1.40281,3.03225
395.271,-369.369,-1620.69,3.05171,-1.40277,3.0328
395.288,-369.38,-1620.71,3.05105,-1.40279,3.03221
395.437,-369.513,-1621.24,3.05118,-1.40303,3.03275
395.441,-369.528,-1621.27,3.05145,-1.40301,3.03294
395.446,-369.434,-1620.97,3.05221,-1.40301,3.03369
395.486,-369.461,-1621,3.05165,-1.40289,3.03309
395.52,-369.476,-1621.03,3.05182,-1.40301,3.03334
395.512,-369.489,-1621.07,3.05241,-1.40296,3.03385
395.555,-369.566,-1621.29,3.05226,-1.40296,3.03373
395.552,-369.61,-1621.37,3.05198,-1.40297,3.03349
395.556,-369.645,-1621.42,3.05185,-1.40297,3.03318
395.61,-369.672,-1621.53,3.05171,-1.40298,3.03319
395.558,-369.591,-1621.39,3.052,-1.40295,3.03346
395.469,-369.515,-1621.14,3.05068,-1.40303,3.03218
395.463,-369.517,-1621.18,3.05149,-1.40295,3.03308
395.432,-369.459,-1621.02,3.05136,-1.40303,3.03287
395.412,-369.466,-1621.07,3.0506,-1.40301,3.03215
395.416,-369.469,-1621.1,3.05074,-1.40303,3.03227
395.412,-369.453,-1621.12,3.05164,-1.40292,3.03323
395.394,-369.464,-1621.16,3.05183,-1.40297,3.03349
395.43,-369.472,-1621.18,3.05158,-1.40301,3.03315
395.407,-369.481,-1621.24,3.05163,-1.40299,3.03325
395.427,-369.491,-1621.27,3.05114,-1.40298,3.03283
395.477,-369.459,-1621.31,3.05243,-1.40305,3.03407
395.491,-369.473,-1621.35,3.05185,-1.40307,3.03353
395.509,-369.485,-1621.39,3.05165,-1.40308,3.03328
395.394,-369.379,-1621.01,3.0519,-1.40302,3.0334
395.411,-369.383,-1621.05,3.05174,-1.40308,3.03325
395.376,-369.371,-1620.89,3.05159,-1.40303,3.03299
395.384,-369.37,-1620.93,3.05175,-1.40297,3.03317
395.383,-369.372,-1620.98,3.05169,-1.40299,3.03311
