x,y,z,A,B,C
1148.51,-149.901,774.059,-2.97658,-0.254127,1.57582
1148.51,-149.909,774.048,-2.97663,-0.253944,1.57585
1148.51,-149.913,774.04,-2.9767,-0.254048,1.57575
1148.61,-149.644,774.047,-2.97667,-0.254093,1.57585
1148.6,-149.634,774.047,-2.97673,-0.254072,1.57579
1148.64,-149.38,773.988,-2.97667,-0.254093,1.57593
1148.66,-149.378,773.972,-2.97676,-0.254069,1.57588
1148.71,-149.324,773.937,-2.97684,-0.253976,1.57594
1148.73,-149.303,773.934,-2.97678,-0.254005,1.57595
1148.73,-149.287,773.936,-2.97682,-0.254053,1.57601
1148.72,-149.263,773.933,-2.97676,-0.254155,1.57594
1148.74,-149.253,773.923,-2.9768,-0.254047,1.576
1148.94,-148.74,773.789,-2.97705,-0.254098,1.57634
1148.95,-148.704,773.774,-2.97702,-0.25414,1.57627
1148.92,-149.004,773.868,-2.977,-0.254265,1.57627
1148.96,-148.982,773.84,-2.9769,-0.25416,1.57625
1149,-148.953,773.825,-2.97702,-0.2542,1.57631
1149,-148.913,773.812,-2.97695,-0.254293,1.57625
1149.06,-148.695,773.735,-2.97695,-0.254268,1.57628
1149.07,-148.624,773.691,-2.97696,-0.254223,1.57631
1149.07,-148.565,773.656,-2.97697,-0.254201,1.57613
1149.14,-148.469,773.629,-2.97699,-0.25418,1.57627
1149.07,-148.598,773.71,-2.97695,-0.254225,1.57627
1148.96,-148.839,773.786,-2.97705,-0.254013,1.57627
1148.96,-148.799,773.785,-2.97695,-0.254139,1.57638
1148.91,-148.95,773.843,-2.97704,-0.254127,1.57628
1148.9,-148.901,773.836,-2.97703,-0.253998,1.57632
1148.9,-148.874,773.833,-2.97705,-0.254024,1.5763
1148.9,-148.855,773.849,-2.97693,-0.254161,1.5764
1148.89,-148.811,773.838,-2.97697,-0.254197,1.57646
1148.93,-148.796,773.83,-2.97702,-0.254162,1.57635
1148.91,-148.737,773.822,-2.97699,-0.254166,1.57641
1148.93,-148.709,773.811,-2.97699,-0.254084,1.57647
1148.99,-148.668,773.843,-2.97704,-0.254306,1.57644
1149,-148.635,773.829,-2.97707,-0.254213,1.57645
1149.03,-148.596,773.816,-2.97709,-0.25418,1.5764
1148.87,-148.962,773.923,-2.97702,-0.254216,1.57629
1148.89,-148.926,773.919,-2.97709,-0.254195,1.57628
1148.84,-149.078,773.93,-2.97704,-0.254166,1.57618
1148.85,-149.039,773.932,-2.97698,-0.254185,1.57621
1148.86,-148.992,773.93,-2.97699,-0.254177,1.57621
1148.85,-148.946,773.911,-2.97695,-0.254227,1.57622
1148.89,-148.915,773.898,-2.97704,-0.254207,1.57612
1148.8,-149.224,773.964,-2.977,-0.254225,1.57614
1148.82,-149.194,773.964,-2.9769,-0.254284,1.57611
1148.82,-149.18,773.97,-2.97698,-0.254346,1.57597
1148.83,-149.15,773.966,-2.97698,-0.25427,1.57594
1148.83,-149.11,773.961,-2.97691,-0.25431,1.576
1148.84,-149.073,773.953,-2.97695,-0.254355,1.576
1148.87,-149.048,773.952,-2.9769,-0.254309,1.57589
1148.85,-149.005,773.956,-2.9769,-0.254264,1.57602
1148.85,-148.975,773.96,-2.9769,-0.254254,1.57591
1148.96,-149.023,773.949,-2.97693,-0.254318,1.57594
1148.96,-148.989,773.936,-2.97691,-0.254429,1.576
1148.99,-148.961,773.926,-2.97704,-0.254362,1.57585
1148.99,-148.832,773.856,-2.97691,-0.254273,1.57583
1149.02,-148.804,773.853,-2.97696,-0.254306,1.57584
1148.98,-149,773.869,-2.97707,-0.254282,1.57572
1149.03,-148.977,773.857,-2.977,-0.254273,1.57566
1149.07,-148.944,773.843,-2.97693,-0.254327,1.57575
1149.06,-148.923,773.833,-2.9769,-0.254343,1.57569
1149.11,-148.907,773.815,-2.97698,-0.25431,1.57572
1149.12,-148.876,773.804,-2.97692,-0.254314,1.57575
1149.16,-148.85,773.8,-2.97694,-0.254295,1.57578
1149.16,-148.81,773.803,-2.97694,-0.254394,1.57566
1149.18,-148.778,773.786,-2.97681,-0.2544,1.57569
1149.2,-148.746,773.771,-2.97689,-0.254297,1.57574
1149.23,-148.709,773.766,-2.97693,-0.254419,1.57575
1149.27,-148.686,773.757,-2.97692,-0.254292,1.57578
1149.28,-148.646,773.758,-2.97688,-0.254409,1.57576
1149.31,-148.618,773.747,-2.97698,-0.254303,1.5757
1149.17,-148.405,773.753,-2.97697,-0.254295,1.57574
1149.18,-148.364,773.756,-2.97686,-0.25426,1.57574
1149.21,-148.333,773.748,-2.97686,-0.254254,1.57585
1149.21,-148.29,773.741,-2.97694,-0.254158,1.57579
1149.24,-148.259,773.743,-2.97697,-0.254314,1.57579
1149.22,-148.2,773.762,-2.97687,-0.254357,1.57577
1149.26,-148.167,773.755,-2.97683,-0.254239,1.57574
1149.28,-148.13,773.75,-2.97694,-0.254259,1.5758
1149.28,-148.088,773.751,-2.97693,-0.254257,1.57578
1149.29,-148.058,773.754,-2.97694,-0.254229,1.57575
1149.3,-148.004,773.753,-2.97688,-0.254272,1.57575
1149.33,-147.971,773.746,-2.97695,-0.254238,1.57579
1149.34,-147.932,773.735,-2.97704,-0.254178,1.57572
1149.06,-148.247,773.701,-2.97703,-0.254191,1.57561
1149.07,-148.221,773.687,-2.97707,-0.25411,1.5755
1149.07,-148.186,773.69,-2.97709,-0.254177,1.57551
1149.07,-148.154,773.682,-2.97696,-0.254263,1.57562
1149.04,-148.104,773.677,-2.97701,-0.25423,1.57554
1149.03,-148.07,773.665,-2.97704,-0.254237,1.57556
1149.05,-148.045,773.652,-2.97707,-0.254218,1.57562
1149.14,-148.195,773.671,-2.97697,-0.254294,1.57552
1149.17,-148.177,773.666,-2.97695,-0.254267,1.57554
1149.23,-148.184,773.635,-2.97697,-0.254319,1.57547
1149.27,-148.179,773.62,-2.977,-0.254356,1.57546
1149.06,-148.734,773.814,-2.97689,-0.254423,1.57539
1149.08,-148.724,773.796,-2.97694,-0.25427,1.57536
