x,y,z,A,B,C,button,T,delta_ms
88.0335,-345.485,-505.03,-0.942793,-1.27508,-0.815694,0,1754044117036,0
88.0343,-345.473,-505.016,-0.942812,-1.27506,-0.815703,0,1754044117044,8
88.0358,-345.461,-505.001,-0.942725,-1.27503,-0.815677,0,1754044117052,8
88.1176,-345.57,-505.155,-0.942883,-1.27505,-0.815875,0,1754044117061,9
88.124,-345.573,-505.153,-0.942944,-1.27505,-0.81593,0,1754044117068,7
88.1305,-345.562,-505.151,-0.942904,-1.27512,-0.815918,0,1754044117076,8
88.1167,-345.557,-505.183,-0.943062,-1.27499,-0.815955,0,1754044117084,8
88.1202,-345.547,-505.184,-0.943063,-1.27499,-0.815938,0,1754044117092,8
88.0661,-345.606,-505.215,-0.943039,-1.27506,-0.816022,0,1754044117100,8
88.0626,-345.599,-505.214,-0.942749,-1.27503,-0.815719,0,1754044117108,8
88.0601,-345.585,-505.215,-0.942912,-1.27503,-0.815902,0,1754044117116,8
88.0512,-345.541,-505.326,-0.942838,-1.27496,-0.815963,0,1754044117125,9
88.0456,-345.527,-505.331,-0.942861,-1.27494,-0.816008,0,1754044117132,7
88.0225,-345.556,-505.072,-0.941964,-1.27508,-0.815052,0,1754044117140,8
88.0132,-345.555,-505.054,-0.942198,-1.275,-0.815264,0,1754044117148,8
88.0907,-345.499,-505.094,-0.942364,-1.27494,-0.815289,0,1754044117156,8
88.0986,-345.497,-505.079,-0.942396,-1.27497,-0.815339,0,1754044117164,8
88.1062,-345.49,-505.066,-0.942475,-1.27496,-0.815446,0,1754044117172,8
88.0571,-345.54,-505.097,-0.942505,-1.27505,-0.815536,0,1754044117180,8
88.0521,-345.536,-505.083,-0.942536,-1.27503,-0.815588,0,1754044117188,8
88.0238,-345.52,-504.993,-0.942606,-1.2751,-0.815691,0,1754044117196,8
88.0178,-345.519,-504.975,-0.942782,-1.27509,-0.815939,0,1754044117204,8
88.0128,-345.518,-504.954,-0.942668,-1.27506,-0.815757,0,1754044117212,8
88.0349,-345.384,-504.909,-0.942603,-1.27519,-0.815775,0,1754044117220,8
88.0329,-345.37,-504.892,-0.942627,-1.27515,-0.815781,0,1754044117228,8
88.024,-345.548,-505.143,-0.94255,-1.27513,-0.81584,0,1754044117236,8
88.0189,-345.542,-505.138,-0.942427,-1.27516,-0.815724,0,1754044117244,8
88.0107,-345.533,-505.134,-0.942272,-1.27511,-0.815578,0,1754044117252,8
88.0595,-345.338,-504.946,-0.942735,-1.27516,-0.816104,0,1754044117260,8
88.0666,-345.303,-504.931,-0.942411,-1.27519,-0.815835,0,1754044117268,8
88.0526,-345.401,-505.006,-0.942476,-1.2752,-0.815915,0,1754044117276,8
88.0492,-345.383,-504.992,-0.942397,-1.2752,-0.815809,0,1754044117284,8
88.052,-345.363,-504.978,-0.942505,-1.27518,-0.815932,0,1754044117292,8
88.0907,-345.495,-505.08,-0.942566,-1.27517,-0.816001,0,1754044117301,9
