x,y,z,A,B,C,button,T,delta_ms
757.537,133.039,1078.32,-1.29277,-1.57029,-2.86219,0,1754103109065,0
757.524,132.999,1078.3,-1.36206,-1.57027,-2.93159,0,1754103109073,8
757.637,133.202,1078.36,-1.26067,-1.57017,-2.83011,0,1754103109081,8
757.63,133.174,1078.35,-1.21247,-1.57023,-2.78189,0,1754103109089,8
757.627,133.144,1078.33,-1.32813,-1.57019,-2.89761,0,1754103109097,8
757.589,133.125,1078.29,-1.0781,-1.57015,-2.6476,0,1754103109105,8
757.578,133.091,1078.29,-1.1153,-1.57019,-2.68482,0,1754103109113,8
757.58,133.088,1078.28,-1.03289,-1.57024,-2.60246,0,1754103109121,8
757.568,133.053,1078.26,-0.944332,-1.57022,-2.51385,0,1754103109129,8
757.602,133.203,1078.33,-1.16202,-1.57021,-2.7315,0,1754103109137,8
757.588,133.171,1078.31,-1.0774,-1.57028,-2.6469,0,1754103109145,8
757.578,133.143,1078.29,-1.15362,-1.57022,-2.72315,0,1754103109153,8
757.587,133.133,1078.3,-0.987203,-1.57019,-2.55675,0,1754103109161,8
757.575,133.103,1078.29,-1.14358,-1.57021,-2.71311,0,1754103109169,8
757.563,133.067,1078.27,-1.0109,-1.57021,-2.58048,0,1754103109177,8
757.61,133.276,1078.35,-1.09796,-1.57016,-2.66741,0,1754103109185,8
757.594,133.254,1078.34,-1.01046,-1.57019,-2.57991,0,1754103109193,8
757.565,133.017,1078.22,-1.03895,-1.57018,-2.6086,0,1754103109201,8
757.549,132.98,1078.21,-0.954869,-1.57014,-2.52452,0,1754103109209,8
757.5,132.835,1078.14,-1.14103,-1.57015,-2.71062,0,1754103109217,8
757.496,132.97,1078.23,-0.964962,-1.57014,-2.53467,0,1754103109225,8
757.477,132.926,1078.22,-0.880913,-1.5701,-2.45054,0,1754103109233,8
757.562,132.957,1078.21,-0.745652,-1.57009,-2.31541,0,1754103109241,8
757.557,132.918,1078.18,-0.809635,-1.57007,-2.37937,0,1754103109249,8
757.573,132.956,1078.17,-0.747317,-1.57012,-2.31707,0,1754103109257,8
757.572,132.913,1078.14,-0.72037,-1.57017,-2.29012,0,1754103109265,8
757.568,132.876,1078.11,-0.649025,-1.57019,-2.21879,0,1754103109273,8
757.558,132.9,1078.08,-0.562528,-1.57015,-2.13229,0,1754103109281,8
757.55,132.862,1078.05,-0.683209,-1.57015,-2.25302,0,1754103109289,8
757.542,132.823,1078.02,-0.636973,-1.57017,-2.20679,0,1754103109297,8
757.554,132.915,1078.13,-0.646523,-1.5702,-2.21632,0,1754103109305,8
757.538,132.879,1078.12,-0.636048,-1.57019,-2.20582,0,1754103109313,8
757.571,132.963,1078.17,-0.505827,-1.57022,-2.07562,0,1754103109321,8
757.56,132.93,1078.15,-0.661537,-1.57023,-2.23127,0,1754103109329,8
757.547,132.894,1078.13,-0.527153,-1.57021,-2.0969,0,1754103109337,8
757.608,133.182,1078.27,-0.751799,-1.57018,-2.32147,0,1754103109345,8
757.601,133.163,1078.26,-0.713641,-1.57027,-2.28326,0,1754103109353,8
757.636,133.252,1078.33,-0.675676,-1.57031,-2.24519,0,1754103109361,8
757.636,133.232,1078.33,-0.659176,-1.5703,-2.22874,0,1754103109369,8
757.57,133.219,1078.38,-0.69504,-1.57034,-2.26465,0,1754103109377,8
757.554,133.193,1078.37,-0.761753,-1.57032,-2.33139,0,1754103109385,8
757.593,133.219,1078.38,-0.823341,-1.57031,-2.3929,0,1754103109393,8
757.584,133.192,1078.38,-0.624689,-1.57025,-2.19425,0,1754103109401,8
757.573,133.16,1078.38,-0.790868,-1.57027,-2.36041,0,1754103109409,8
757.595,133.235,1078.33,-0.984283,-1.57016,-2.55388,0,1754103109417,8
757.584,133.215,1078.32,-0.991246,-1.5702,-2.5608,0,1754103109425,8
757.571,133.188,1078.3,-1.08025,-1.57016,-2.64982,0,1754103109433,8
757.582,133.165,1078.32,-0.815162,-1.57029,-2.38475,0,1754103109441,8
