x,y,z,A,B,C,button,T,delta_ms
766.843,146.01,1075.13,-0.763795,1.24868,2.53299,0,1754044117036,0
766.842,146.017,1075.13,-0.763783,1.24867,2.53298,0,1754044117040,4
766.841,146.024,1075.14,-0.76377,1.24866,2.53298,0,1754044117044,4
766.84,146.032,1075.14,-0.763803,1.24864,2.53298,0,1754044117048,4
766.839,146.039,1075.15,-0.763836,1.24863,2.53298,0,1754044117052,4
766.806,145.969,1075.1,-0.763775,1.24864,2.5329,0,1754044117056,4
766.772,145.9,1075.05,-0.763715,1.24865,2.53282,0,1754044117060,4
766.761,145.883,1075.04,-0.763677,1.24866,2.53278,0,1754044117064,4
766.757,145.884,1075.04,-0.763647,1.24866,2.53276,0,1754044117068,4
766.754,145.885,1075.04,-0.76368,1.24869,2.53278,0,1754044117072,4
766.75,145.886,1075.05,-0.763713,1.24872,2.53279,0,1754044117076,4
766.758,145.87,1075.05,-0.763611,1.24866,2.53275,0,1754044117080,4
766.765,145.854,1075.05,-0.76351,1.2486,2.53271,0,1754044117084,4
766.764,145.854,1075.06,-0.763509,1.2486,2.53272,0,1754044117088,4
766.762,145.854,1075.06,-0.763509,1.2486,2.53273,0,1754044117092,4
766.79,145.839,1075.04,-0.763535,1.24863,2.5327,0,1754044117096,4
766.817,145.825,1075.01,-0.763561,1.24866,2.53267,0,1754044117100,4
766.819,145.825,1075.01,-0.763687,1.24865,2.53281,0,1754044117104,4
766.821,145.825,1075.01,-0.763813,1.24863,2.53294,0,1754044117108,4
766.822,145.825,1075.02,-0.763739,1.24863,2.53286,0,1754044117112,4
766.823,145.825,1075.03,-0.763665,1.24863,2.53277,0,1754044117116,4
766.829,145.775,1075.05,-0.763682,1.2486,2.53273,0,1754044117120,4
766.835,145.726,1075.07,-0.763699,1.24857,2.53269,0,1754044117124,4
766.839,145.712,1075.08,-0.76369,1.24856,2.53265,0,1754044117128,4
766.842,145.709,1075.08,-0.763673,1.24855,2.53262,0,1754044117132,4
766.849,145.839,1075.07,-0.764112,1.24859,2.53309,0,1754044117136,4
766.855,145.969,1075.06,-0.76455,1.24864,2.53355,0,1754044117140,4
766.86,145.978,1075.06,-0.764427,1.24861,2.53344,0,1754044117144,4
766.864,145.987,1075.06,-0.764304,1.24858,2.53333,0,1754044117148,4
766.826,145.966,1075.09,-0.764215,1.24855,2.53331,0,1754044117152,4
766.788,145.944,1075.11,-0.764126,1.24853,2.5333,0,1754044117156,4
766.784,145.952,1075.11,-0.764118,1.24854,2.53328,0,1754044117160,4
766.78,145.959,1075.11,-0.764111,1.24856,2.53326,0,1754044117164,4
766.776,145.965,1075.12,-0.764071,1.24855,2.53321,0,1754044117168,4
766.771,145.971,1075.12,-0.764032,1.24855,2.53316,0,1754044117172,4
766.797,145.957,1075.1,-0.764039,1.24859,2.53313,0,1754044117176,4
766.822,145.943,1075.07,-0.764046,1.24864,2.53311,0,1754044117180,4
766.824,145.949,1075.07,-0.764028,1.24863,2.53308,0,1754044117184,4
766.826,145.956,1075.08,-0.76401,1.24862,2.53305,0,1754044117188,4
766.839,146.002,1075.08,-0.763993,1.24866,2.53302,0,1754044117192,4
766.851,146.047,1075.09,-0.763976,1.24869,2.53299,0,1754044117196,4
766.854,146.056,1075.09,-0.763895,1.24869,2.53287,0,1754044117200,4
766.856,146.066,1075.09,-0.763813,1.24869,2.53275,0,1754044117204,4
766.859,146.076,1075.09,-0.763857,1.24867,2.53283,0,1754044117208,4
766.861,146.087,1075.09,-0.763902,1.24866,2.53291,0,1754044117212,4
766.849,146.109,1075.16,-0.76396,1.24872,2.53292,0,1754044117216,4
766.837,146.131,1075.23,-0.764018,1.24878,2.53294,0,1754044117220,4
