x,y,z,A,B,C,button,T,delta_ms
766.843,146.01,1075.13,-0.763795,1.24868,2.53299,0,1754044117036,0
766.842,146.014,1075.13,-0.763789,1.24867,2.53299,0,1754044117040,4
766.842,146.017,1075.13,-0.763783,1.24867,2.53298,0,1754044117044,4
766.842,146.021,1075.14,-0.763788,1.24866,2.53298,0,1754044117048,4
766.841,146.025,1075.14,-0.763797,1.24866,2.53298,0,1754044117052,4
766.835,146.015,1075.13,-0.763794,1.24865,2.53297,0,1754044117056,4
766.826,145.999,1075.12,-0.763782,1.24865,2.53295,0,1754044117060,4
766.818,145.984,1075.11,-0.763769,1.24865,2.53293,0,1754044117064,4
766.811,145.973,1075.1,-0.763756,1.24865,2.53291,0,1754044117068,4
766.806,145.964,1075.1,-0.763748,1.24866,2.53289,0,1754044117072,4
766.801,145.957,1075.09,-0.763745,1.24866,2.53289,0,1754044117076,4
766.793,145.944,1075.09,-0.763728,1.24866,2.53286,0,1754044117080,4
766.786,145.93,1075.08,-0.763703,1.24866,2.53284,0,1754044117084,4
766.779,145.914,1075.07,-0.76368,1.24865,2.53282,0,1754044117088,4
766.772,145.898,1075.06,-0.763653,1.24865,2.53279,0,1754044117092,4
766.767,145.88,1075.05,-0.763626,1.24865,2.53277,0,1754044117096,4
766.768,145.867,1075.05,-0.763606,1.24865,2.53275,0,1754044117100,4
766.772,145.86,1075.04,-0.763604,1.24865,2.53275,0,1754044117104,4
766.778,145.855,1075.04,-0.763616,1.24865,2.53276,0,1754044117108,4
766.784,145.849,1075.04,-0.763624,1.24864,2.53277,0,1754044117112,4
766.79,145.844,1075.04,-0.763623,1.24864,2.53277,0,1754044117116,4
766.797,145.834,1075.04,-0.76362,1.24863,2.53276,0,1754044117120,4
766.804,145.821,1075.04,-0.763628,1.24862,2.53276,0,1754044117124,4
766.811,145.808,1075.04,-0.763644,1.24861,2.53275,0,1754044117128,4
766.818,145.794,1075.04,-0.763659,1.24861,2.53274,0,1754044117132,4
766.826,145.793,1075.04,-0.763714,1.24861,2.53278,0,1754044117136,4
766.832,145.805,1075.04,-0.763806,1.24861,2.53285,0,1754044117140,4
766.836,145.819,1075.05,-0.763885,1.24861,2.53292,0,1754044117144,4
766.84,145.834,1075.05,-0.763941,1.2486,2.53297,0,1754044117148,4
766.84,145.846,1075.06,-0.763978,1.24859,2.533,0,1754044117152,4
766.837,145.857,1075.07,-0.764013,1.24858,2.53304,0,1754044117156,4
766.834,145.869,1075.08,-0.764054,1.24857,2.53309,0,1754044117160,4
766.829,145.885,1075.08,-0.764093,1.24857,2.53314,0,1754044117164,4
766.824,145.907,1075.09,-0.764127,1.24857,2.53319,0,1754044117168,4
766.818,145.931,1075.09,-0.764158,1.24857,2.53323,0,1754044117172,4
766.814,145.953,1075.09,-0.764191,1.24857,2.53328,0,1754044117176,4
766.811,145.963,1075.09,-0.764185,1.24858,2.53328,0,1754044117180,4
766.808,145.961,1075.09,-0.764138,1.24857,2.53324,0,1754044117184,4
766.805,145.959,1075.09,-0.7641,1.24858,2.5332,0,1754044117188,4
766.803,145.96,1075.1,-0.764072,1.24858,2.53317,0,1754044117192,4
766.805,145.968,1075.1,-0.76405,1.2486,2.53314,0,1754044117196,4
766.811,145.978,1075.1,-0.764029,1.24861,2.53311,0,1754044117200,4
766.818,145.988,1075.09,-0.764001,1.24862,2.53306,0,1754044117204,4
766.825,145.999,1075.09,-0.763978,1.24864,2.53302,0,1754044117208,4
766.833,146.01,1075.09,-0.763963,1.24865,2.53299,0,1754044117212,4
766.84,146.023,1075.09,-0.763956,1.24866,2.53297,0,1754044117216,4
766.843,146.038,1075.11,-0.763954,1.24868,2.53295,0,1754044117220,4
766.845,146.056,1075.12,-0.76395,1.24869,2.53294,0,1754044117224,4
766.846,146.074,1075.14,-0.763945,1.2487,2.53292,0,1754044117228,4
766.848,146.08,1075.14,-0.763945,1.24871,2.53291,0,1754044117232,4
766.85,146.071,1075.14,-0.76395,1.24871,2.53289,0,1754044117236,4
766.85,146.057,1075.14,-0.763961,1.24872,2.53288,0,1754044117240,4
766.851,146.043,1075.14,-0.763986,1.24872,2.53289,0,1754044117244,4
766.852,146.029,1075.14,-0.764024,1.24873,2.53292,0,1754044117248,4
766.853,146.013,1075.13,-0.764063,1.24873,2.53294,0,1754044117252,4
766.851,146.006,1075.14,-0.76408,1.24873,2.53293,0,1754044117256,4
766.848,146.004,1075.15,-0.764073,1.24874,2.5329,0,1754044117260,4
766.845,146.001,1075.16,-0.764075,1.24874,2.53289,0,1754044117264,4
766.843,145.998,1075.16,-0.764093,1.24874,2.53288,0,1754044117268,4
766.84,145.991,1075.17,-0.76411,1.24874,2.53287,0,1754044117272,4
766.838,145.992,1075.17,-0.764122,1.24875,2.53286,0,1754044117276,4
766.835,146.005,1075.18,-0.764135,1.24875,2.53286,0,1754044117280,4
766.832,146.019,1075.2,-0.764145,1.24876,2.53286,0,1754044117284,4
766.829,146.032,1075.21,-0.764144,1.24876,2.53285,0,1754044117288,4
766.825,146.047,1075.23,-0.764133,1.24877,2.53283,0,1754044117292,4
766.819,146.056,1075.24,-0.764114,1.24877,2.5328,0,1754044117296,4
766.815,146.054,1075.24,-0.764111,1.24878,2.53279,0,1754044117300,4
766.812,146.042,1075.22,-0.76413,1.24878,2.5328,0,1754044117304,4
766.81,146.031,1075.21,-0.764138,1.24878,2.5328,0,1754044117308,4
766.808,146.021,1075.2,-0.76413,1.24878,2.5328,0,1754044117312,4
766.806,146.015,1075.2,-0.764121,1.24879,2.5328,0,1754044117316,4
766.804,146.014,1075.2,-0.764117,1.24879,2.5328,0,1754044117320,4
766.801,146.012,1075.2,-0.764113,1.2488,2.5328,0,1754044117324,4
766.798,146.01,1075.21,-0.764111,1.2488,2.53281,0,1754044117328,4
766.795,146.008,1075.21,-0.764121,1.2488,2.53282,0,1754044117332,4
